features_begin_index,features_mid_index,leaf_node_num,tn,fp,fn,tp,acc
1,1,3,91,0,17,11,0.8571428571428571
1,2,3,85,6,4,24,0.9159663865546218
1,3,3,85,6,3,25,0.9243697478991597
1,4,3,84,7,2,26,0.9243697478991597
1,5,3,89,2,2,26,0.9663865546218487
1,6,3,87,4,3,25,0.9411764705882353
1,7,3,88,3,4,24,0.9411764705882353
1,8,3,89,2,6,22,0.9327731092436975
1,9,3,89,2,2,26,0.9663865546218487
1,10,3,89,2,2,26,0.9663865546218487
1,11,3,88,3,2,26,0.957983193277311
1,12,3,88,3,2,26,0.957983193277311
1,13,3,88,3,2,26,0.957983193277311
1,14,3,89,2,4,24,0.9495798319327731
1,15,3,89,2,2,26,0.9663865546218487
1,16,3,89,2,2,26,0.9663865546218487
1,17,3,89,2,2,26,0.9663865546218487
1,18,3,89,2,2,26,0.9663865546218487
1,19,3,89,2,3,25,0.957983193277311
1,20,3,88,3,3,25,0.9495798319327731
1,21,3,88,3,3,25,0.9495798319327731
1,22,3,89,2,3,25,0.957983193277311
1,23,3,89,2,3,25,0.957983193277311
1,24,3,89,2,3,25,0.957983193277311
1,25,3,89,2,2,26,0.9663865546218487
1,26,3,90,1,2,26,0.9747899159663865
1,27,3,90,1,2,26,0.9747899159663865
1,28,3,90,1,2,26,0.9747899159663865
1,29,3,90,1,2,26,0.9747899159663865
1,30,3,89,2,2,26,0.9663865546218487
1,31,3,89,2,2,26,0.9663865546218487
1,32,3,90,1,2,26,0.9747899159663865
1,33,3,90,1,2,26,0.9747899159663865
1,34,3,90,1,3,25,0.9663865546218487
1,35,3,90,1,3,25,0.9663865546218487
1,36,3,90,1,3,25,0.9663865546218487
1,37,3,89,2,3,25,0.957983193277311
1,38,3,90,1,3,25,0.9663865546218487
1,39,3,90,1,3,25,0.9663865546218487
1,40,3,90,1,3,25,0.9663865546218487
1,41,3,90,1,3,25,0.9663865546218487
1,42,3,90,1,3,25,0.9663865546218487
1,43,3,90,1,3,25,0.9663865546218487
1,44,3,90,1,3,25,0.9663865546218487
1,45,3,90,1,3,25,0.9663865546218487
1,46,3,90,1,3,25,0.9663865546218487
1,47,3,90,1,1,27,0.9831932773109243
1,48,3,91,0,1,27,0.9915966386554622
2,2,3,87,4,9,19,0.8907563025210085
2,3,3,88,3,2,26,0.957983193277311
2,4,3,88,3,4,24,0.9411764705882353
2,5,3,89,2,2,26,0.9663865546218487
2,6,3,86,5,4,24,0.9243697478991597
2,7,3,87,4,1,27,0.957983193277311
2,8,3,86,5,0,28,0.957983193277311
2,9,3,86,5,0,28,0.957983193277311
2,10,3,86,5,0,28,0.957983193277311
2,11,3,87,4,0,28,0.9663865546218487
2,12,3,86,5,0,28,0.957983193277311
2,13,3,86,5,0,28,0.957983193277311
2,14,3,89,2,2,26,0.9663865546218487
2,15,3,88,3,1,27,0.9663865546218487
2,16,3,86,5,1,27,0.9495798319327731
2,17,3,86,5,1,27,0.9495798319327731
2,18,3,86,5,1,27,0.9495798319327731
2,19,3,88,3,1,27,0.9663865546218487
2,20,3,88,3,1,27,0.9663865546218487
2,21,3,88,3,1,27,0.9663865546218487
2,22,3,89,2,1,27,0.9747899159663865
2,23,3,90,1,1,27,0.9831932773109243
2,24,3,90,1,1,27,0.9831932773109243
2,25,3,90,1,1,27,0.9831932773109243
2,26,3,90,1,1,27,0.9831932773109243
2,27,3,89,2,1,27,0.9747899159663865
2,28,3,89,2,1,27,0.9747899159663865
2,29,3,88,3,1,27,0.9663865546218487
2,30,3,88,3,1,27,0.9663865546218487
2,31,3,89,2,1,27,0.9747899159663865
2,32,3,89,2,1,27,0.9747899159663865
2,33,3,88,3,1,27,0.9663865546218487
2,34,3,88,3,1,27,0.9663865546218487
2,35,3,88,3,1,27,0.9663865546218487
2,36,3,89,2,1,27,0.9747899159663865
2,37,3,89,2,1,27,0.9747899159663865
2,38,3,88,3,1,27,0.9663865546218487
2,39,3,89,2,1,27,0.9747899159663865
2,40,3,89,2,1,27,0.9747899159663865
2,41,3,89,2,1,27,0.9747899159663865
2,42,3,89,2,1,27,0.9747899159663865
2,43,3,89,2,1,27,0.9747899159663865
2,44,3,89,2,1,27,0.9747899159663865
2,45,3,89,2,1,27,0.9747899159663865
2,46,3,88,3,1,27,0.9663865546218487
2,47,3,90,1,2,26,0.9747899159663865
2,48,3,91,0,1,27,0.9915966386554622
3,3,3,88,3,9,19,0.8991596638655462
3,4,3,87,4,6,22,0.9159663865546218
3,5,3,87,4,4,24,0.9327731092436975
3,6,3,86,5,3,25,0.9327731092436975
3,7,3,87,4,2,26,0.9495798319327731
3,8,3,87,4,4,24,0.9327731092436975
3,9,3,86,5,3,25,0.9327731092436975
3,10,3,89,2,3,25,0.957983193277311
3,11,3,87,4,3,25,0.9411764705882353
3,12,3,87,4,3,25,0.9411764705882353
3,13,3,86,5,3,25,0.9327731092436975
3,14,3,89,2,2,26,0.9663865546218487
3,15,3,89,2,2,26,0.9663865546218487
3,16,3,88,3,2,26,0.957983193277311
3,17,3,89,2,2,26,0.9663865546218487
3,18,3,89,2,2,26,0.9663865546218487
3,19,3,88,3,2,26,0.957983193277311
3,20,3,88,3,2,26,0.957983193277311
3,21,3,88,3,2,26,0.957983193277311
3,22,3,89,2,2,26,0.9663865546218487
3,23,3,89,2,2,26,0.9663865546218487
3,24,3,88,3,2,26,0.957983193277311
3,25,3,88,3,2,26,0.957983193277311
3,26,3,88,3,2,26,0.957983193277311
3,27,3,88,3,2,26,0.957983193277311
3,28,3,89,2,2,26,0.9663865546218487
