username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050330,2.333333333,94.03333333,374.6666667,1.0,10.375,35.5,2.0,8.0,26.16666667,6.833333333,5.666666667,1.166666667,0.525,9.582416377000001,1.333333333,0.11805555599999999,5.166666667,0.536111111,1.8333333330000001,1.6666666669999999,0.201388889,11.83333333,1.488888889,1.333333333,0.159722222,0.166666667,12.33333333,1.509722222,3.166666667,0.381944445,15.5,1.891666667,17.83333333,2.109722222,1.8333333330000001,22.33333333,2.558333333,57.5,6.751388888999999,0.0,0.0,0.0,0.0,0.0,2.166666667,0
Y1050331,1.8333333330000001,112.1944445,277.8333333,1.0,6.083333333,12.16666667,1.166666667,26.0,47.66666667,5.5,3.166666667,2.333333333,0.285669192,9.208335903,4.0,0.38762626299999997,5.166666667,0.595959596,0.166666667,8.833333332999999,0.8320707070000001,13.66666667,1.200441919,2.333333333,0.16477272699999998,0.0,25.83333333,2.689709596,11.16666667,0.9968434340000001,37.0,3.68655303,20.83333333,1.9403409090000001,0.166666667,42.5,4.353219697,100.5,10.03566919,0.166666667,0.166666667,0.166666667,0.166666667,0.444444444,1.5,0
Y1050332,2.833333333,457.20833330000005,1277.666667,2.5,46.19444445,112.5,2.666666667,62.47222222,163.5,16.16666667,14.66666667,1.5,0.8974747470000001,10.72557852,12.0,0.78141835,15.0,0.942550505,4.5,36.0,2.4280303030000003,29.83333333,2.11361532,10.83333333,0.73655303,1.333333333,82.0,5.669570707,48.16666667,3.2441287880000003,130.1666667,8.913699496,51.83333333,3.5371843430000003,4.833333333,146.33333330000002,9.913699496,333.1666667,22.65225168,1.6666666669999999,1.6666666669999999,1.0,1.6666666669999999,5.625,4.166666667,1
Y1050333,2.5,50.72222222,216.83333330000002,1.333333333,8.847222222000001,26.16666667,1.333333333,1.35,4.166666667,2.0,0.666666667,1.333333333,0.083333333,3.136005373,0.5,0.0625,1.8333333330000001,0.47916666700000005,0.166666667,0.5,0.0625,0.666666667,0.29861111100000004,0.166666667,0.020833333,0.0,0.666666667,0.29861111100000004,0.666666667,0.083333333,1.333333333,0.381944445,2.666666667,0.7986111109999999,0.166666667,3.333333333,0.881944445,7.5,2.083333333,0.166666667,0.166666667,0.166666667,0.166666667,0.0,1.8333333330000001,0
Y1050334,1.6666666669999999,47.225,204.66666669999998,1.0,5.166666667,12.33333333,1.333333333,7.277777778,26.16666667,3.666666667,2.333333333,1.333333333,0.197916667,3.372283051,1.5,0.128472222,3.666666667,0.333333333,0.666666667,2.5,0.208333333,11.33333333,1.315972222,2.166666667,0.222222222,0.166666667,13.33333333,1.5104166669999999,4.833333333,0.440972222,18.16666667,1.951388889,16.0,1.763888889,0.666666667,21.83333333,2.284722222,56.66666667,6.059027778,0.5,0.5,0.333333333,0.5,1.5555555559999998,1.8333333330000001,0
Y1050335,1.333333333,129.2222222,330.3333333,0.666666667,10.33333333,20.66666667,1.333333333,19.16666667,45.83333333,5.5,3.833333333,1.6666666669999999,0.323152338,4.0330978989999995,1.6666666669999999,0.25716440399999996,5.0,0.56372549,0.833333333,3.666666667,0.331447964,22.0,4.447963801,5.5,0.45437405700000005,0.333333333,28.83333333,5.489441931,9.5,0.811463047,38.33333333,6.300904977,31.83333333,5.42081448,1.0,43.83333333,6.9675716439999995,115.0,18.75716441,0.166666667,0.166666667,0.166666667,0.166666667,0.0,1.8333333330000001,0
Y1050336,1.166666667,307.9166667,552.3333332999999,0.666666667,29.83333333,51.16666667,0.833333333,34.5,57.5,7.333333333,5.333333333,2.0,0.283950617,5.376746186,3.333333333,0.302469136,7.0,0.460648148,0.5,4.0,0.334876543,24.33333333,1.3981481480000002,3.833333333,0.19830246899999998,0.0,36.33333333,2.392746914,7.833333333,0.5331790120000001,44.16666667,2.925925926,34.33333333,1.999228395,0.5,51.5,3.425925926,130.5,8.381944443,0.166666667,0.166666667,0.166666667,0.166666667,0.0,7.016666667000001,1
Y1050337,0.5,181.66666669999998,333.0,0.333333333,26.5,26.5,0.333333333,49.16666667,49.16666667,4.333333333,2.0,2.333333333,0.146031746,2.7421795369999997,2.5,0.16984127,4.333333333,0.333333333,0.166666667,4.5,0.46825396799999996,20.66666667,1.263492064,3.166666667,0.176190476,0.0,35.5,1.96984127,7.666666667,0.644444445,43.16666667,2.614285715,28.0,1.73968254,0.166666667,47.5,2.947619048,118.83333329999999,7.334920635,0.166666667,0.166666667,0.166666667,0.166666667,0.444444444,1.8333333330000001,0
Y1050338,1.5,51.16666667,187.66666669999998,0.666666667,7.166666667,12.83333333,0.666666667,14.83333333,26.83333333,2.333333333,1.333333333,1.0,0.173611111,3.1322349330000003,1.8333333330000001,0.270833333,1.6666666669999999,0.229166667,0.666666667,4.666666667,0.6180555560000001,4.5,0.5902777779999999,1.166666667,0.166666667,0.0,14.83333333,2.055555556,5.833333333,0.7847222220000001,20.66666667,2.840277778,6.5,0.8611111109999999,0.666666667,23.0,3.173611111,50.83333333,6.965277778,0.0,0.0,0.0,0.0,0.0,1.6666666669999999,0
Y1050339,1.333333333,70.75,182.66666669999998,1.0,9.694444445,17.0,1.0,5.777777778,11.83333333,2.666666667,1.166666667,1.5,0.30952381,3.849125639,1.0,0.27678571399999996,2.666666667,0.5,0.0,1.166666667,0.294642857,5.666666667,1.202380952,0.666666667,0.377976191,0.0,6.5,1.3125,1.8333333330000001,0.6726190479999999,8.333333332999999,1.985119048,8.833333332999999,2.05952381,0.0,11.0,2.485119048,28.16666667,6.529761905,0.166666667,0.166666667,0.166666667,0.166666667,1.4583333330000001,2.666666667,0
