,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,indicator
active_num_days,0.142884826951,-0.14062977513,0.0340828521672,-0.0098856497911,-0.189176612006,-0.149514846017,0.00644782351998,-0.109404932937,-0.0388871397732,0.25971163295,-0.0537992196443,-0.074725791787,0.0163352258956,0.237601216847,0.218376900739,-0.180079954122,-0.0887916752959,0.278347043848,0.288383082015,0.385662483712,-0.234384318175,0.109518657736,0.323092833277,0.0706891218603,
active_avg_count,0.149031350771,-0.0505530625278,0.0218256352733,0.0221769366309,0.0282871049452,0.324218620557,0.0674572186383,-0.0102170596407,-0.033471816632,-0.212841513941,0.275845044519,-0.00131053763945,-7.24158038383e-05,-0.0338559322725,-0.130709082251,0.0703003343979,-0.0148938088385,0.18085172594,-0.151984565443,-0.410235021491,0.151291743846,0.10666821967,0.426637435096,-0.161758674115,
active_sum_count,0.170833538935,-0.0598313019517,0.0363182328788,0.0316580063371,0.00212324226634,0.108084896307,-0.06033086966,-0.0857976701746,-0.140722916945,0.052702111778,0.155540532391,-0.0447756998463,-0.00374201461696,0.0904039250919,0.0696789730607,-0.00339508927469,0.090355802611,-0.0948552308632,-0.00288940216146,-0.0266013427553,0.0381153689194,-0.0296730456135,0.00594780229943,0.209377958067,
problem_num_days,0.136414236204,-0.170752879993,-0.012070600772,0.0137654471057,-0.128963203112,-0.0399662106292,-0.0621282750296,-0.15838736334,-0.146870695527,0.383635707604,0.069088107593,-0.084866473891,0.0391438262742,0.163769804579,0.319126853204,-0.11900225804,0.0014985546733,-0.0127047805615,0.0653401051524,-0.40357704372,0.232885050087,0.0836131895113,-0.0059352339715,-0.295006534357,
problem_avg_count,0.112795744051,-0.164922705581,0.0911635592851,0.0186114333345,0.131967207314,0.341997849439,0.222054786103,-0.0427085549035,-0.0795913372002,-0.0335099792796,0.394775247103,-0.0896433701139,-0.0907433003659,0.0712932868378,-0.112866359111,0.126485956242,-0.0435339825351,0.124897035557,-0.0400597591258,0.328166073159,-0.379991232304,-0.0420162040305,-0.0381473012537,-0.122300252215,
problem_sum_count,0.126520871166,-0.206558208266,0.0390793677826,0.0332464613256,0.0266237471452,0.218947577258,0.0505200245847,-0.125648987621,-0.181532979717,0.150051522548,0.352897109474,-0.129784764777,-0.0291979037937,0.0980517527839,0.104607302543,0.0474333122931,0.147935113595,-0.16049113569,0.0415752864779,0.00876262364637,0.159929876928,-0.097269039692,-0.275891700417,0.280499601426,
video_num_days,0.149862353708,-0.136044447514,-0.0229993338142,-0.0550462262103,-0.18679025927,-0.111871683068,-0.105417029276,-0.0586801054723,-0.0639072673609,0.268956323355,-0.116937418294,0.0107593985248,-0.0131539230138,-0.00931921314104,-0.00983149587364,0.0365288609594,-0.0498523069992,-0.0358622041401,-0.292317271653,-0.0564947934689,-0.00944423181837,-0.0639803058985,-0.0249302443786,0.101809078473,
video_avg_count,0.137156760113,0.133155207535,0.153681745743,-0.0480127908132,0.181229669847,0.127283937859,0.0729240051687,0.121842705222,0.0829465420755,-0.157445887453,-0.0858615135457,0.104354738924,0.126931636571,0.0313294696826,0.32821851309,0.0402699421475,0.0352390692747,0.565915418087,0.333454820414,-0.0969008885089,0.129044169827,-0.228321736205,-0.157168392108,0.0642305074028,
video_sum_count,0.169961486571,0.105520518338,0.0647503709577,-0.0376938795254,0.0822255130156,-0.00824519123692,-0.084418290914,0.00143333702553,-0.0445876599795,-0.0122748710694,-0.0377523462237,0.0849675218549,-0.00654142702264,0.0499795738697,0.0159396678427,-0.00180868308326,0.101499834112,-0.0298165526779,-0.0705063109894,-0.0627394550563,-0.100270099877,-0.0263730352479,0.0511963154399,0.0448535762939,
forum_num_days,0.0294843899861,-0.0211986322989,0.0373319454386,0.1562001802,-0.134812070875,-0.134312770034,-0.239954568135,0.836443861286,-0.233132156483,-0.0293645032458,0.218997648581,-0.248457449464,-0.0121832244564,0.00417833039173,0.0575287884123,-0.0463798540457,-0.0543363909644,0.0313487612263,-0.00723435574871,0.00403095327584,-0.016683051608,0.0340139555249,-0.00117346816136,-0.0194598050034,
