,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,indicator
active_num_days,0.144934074388,-0.119626329566,-0.0641317172777,-0.0634315759782,-0.12253346423,-0.193278479626,-0.0104306538635,-0.123080658067,0.092537835064,0.246394412116,-0.0093509996695,-0.222620384084,-0.0252588519083,0.0871154449904,0.156515715196,0.108598675277,
active_avg_count,0.15099319363,-0.0559917205067,-0.013896230374,-0.0144482770741,0.0185892251687,0.319825203252,-0.0980393104253,0.0242646987329,0.0465679703543,-0.149137482003,0.193904717862,0.169821111085,0.125239919219,-0.125182883529,-0.0860035298353,-0.0210808088237,
active_sum_count,0.173323693902,-0.0414874147212,-0.0204099573092,-0.00560718570712,0.0517006399313,0.0545944698771,-0.174035205567,-0.0457254236965,0.122115508168,0.0929744242116,0.0906130483727,0.000803004407497,0.0295345149246,-0.030467454186,-0.0438854049386,0.0037715347145,
problem_num_days,0.139152726423,-0.158503289707,-0.00535598745815,-0.048279213832,-0.0466816136349,-0.0761333651914,-0.152425381289,-0.245318375687,0.123810481169,0.317793293953,0.0681496831933,-0.152357865429,-0.108034651756,0.0330277170976,0.067231284301,0.211853397641,
problem_avg_count,0.116786879198,-0.146977876017,-0.100606475149,-0.0783515293737,0.166656555081,0.339197617749,-0.0497424894839,-0.055389877678,0.119848063271,-0.00894366426276,0.29183041204,0.194284547553,0.212048244588,-0.147717648837,-0.201548979422,0.042676856764,
problem_sum_count,0.130408049215,-0.198932945143,-0.0351022570742,-0.0635788060021,0.0974907314706,0.178220174264,-0.169565267787,-0.137219577869,0.172436262734,0.21790950529,0.236517109253,0.0652262424635,0.0668134862969,-0.126639274408,-0.119570897084,0.0893132650031,
video_num_days,0.155593354768,-0.0952980892198,-0.0180409190424,-0.0818992372566,-0.137795948009,-0.176276821994,-0.0833820705207,-0.110437075796,-0.00296484120966,0.231017133794,-0.0884485775788,-0.110603211324,-0.0920768962788,0.0852157741948,0.00755829574238,-0.0632893267668,
video_avg_count,0.135239799055,0.111470878254,-0.110741660301,-0.0345454381578,0.164106554814,0.213452541761,0.037746695374,0.169378474068,-0.00156442615648,-0.212242176038,-0.0360057470568,0.0291279423901,0.0253363732519,0.320844996625,0.261518709394,-0.0158698466069,
video_sum_count,0.17189574072,0.112184900396,-0.0148277020459,0.00395589543673,0.104912199484,-0.026701368379,-0.0742454057923,0.0213533518421,0.0144728652422,-0.0151109414512,-0.0522088880434,0.0145301970551,0.0500149410261,0.0532506351943,0.015138770753,-0.0473457792133,
forum_num_days,0.0265652877263,-0.0400927716542,-0.0736731113708,0.160764002909,-0.0877035603371,-0.060571202146,-0.14640433131,0.759512888283,-0.287318827428,0.460396476855,0.157885363222,0.152666313505,0.0267524768566,-0.0281402182486,0.00526308345091,0.0731212369658,
num_watched,0.161486438868,-0.104211198329,0.00554347981813,-0.133009669803,-0.00406431816536,0.0332896360637,-0.239282291979,0.0284912448293,-0.0869448747152,-0.0568538535015,-0.119200895193,-0.0223078957407,-0.0464794078022,0.0854738876562,-0.0212950196389,-0.0196486837274,
num_complete,0.155156714348,-0.098289475111,0.114905986352,-0.0856592957649,0.0650877072818,0.085616247356,-0.19336589681,-0.0601129584893,-0.22401266085,-0.00678298628022,-0.119446938136,0.0789381217386,-0.17157878923,0.0149519956917,0.00207333192467,0.0568806477031,
num_incomplete,0.101006684741,-0.0692383827558,-0.238495705019,-0.17623733629,-0.154884914873,-0.0976015335444,-0.230344564472,0.211001676836,0.255801985483,-0.141201735369,-0.0636977537868,-0.235583658254,0.251182650158,0.201783845285,-0.0630761804034,-0.17957363346,
complete_rate,0.152815566743,-0.111036532079,0.0752341687795,-0.0508210892307,-0.080468151748,0.11485073113,0.0647364335314,-0.159059752974,-0.281409003391,0.100650883625,-0.0153921137588,0.114290078832,-0.154967795245,0.137427865286,0.11166588839,0.0866651423866,
incomplete_rate,0.0539638115776,-0.0449563603543,-0.269933563488,-0.185197014846,-0.352582852193,-0.0804480699532,0.0966384244145,0.22133489185,0.320163066939,-0.199805949117,-0.0947858897038,-0.0407574741053,0.108000337966,-0.171984173343,-0.0376160550912,0.0984266621196,
watched_time_hour,0.114063412863,-0.135206497551,-0.0216277515589,-0.0689473821891,-0.266709609264,0.0372275391042,0.231606143178,0.00511976707064,-0.0757629744936,-0.0112842097971,0.134194839837,0.115595771198,-0.393837167275,0.0480252509616,-0.321055877576,-0.646476453612,
watched_time_weekday,0.100979767943,-0.0995642704461,-0.108546824563,-0.142574179734,-0.30496276567,0.213339538818,0.0961106903587,0.00283637671074,-0.200718984714,-0.239350490684,-0.035287359078,0.253047225895,-0.0319286192706,0.167853436146,0.280426152057,0.286799873443,
seek_video_sum,0.159278085492,-0.0360493763774,-0.0638378642921,-0.168911655139,0.0965777013357,-0.106082417124,-0.147062615601,0.0367763772104,-0.120619132635,-0.089368867916,0.00465565393053,-0.0904431588039,-0.0535194266989,-0.0250892600188,-0.100940905506,0.0197442719471,
seek_video_avg,0.145250804811,-0.0297316521342,-0.165730926641,-0.164540331212,-0.0818930160771,-0.135202316954,0.119553629821,0.00140315768721,-0.0453945504453,-0.0353613328909,0.105438927429,-0.0547797941906,-0.111715854701,-0.211969887038,-0.10036912341,0.0939865334575,
pause_video_sum,0.162762826218,-0.0933845948569,-0.00121061624355,-0.122060257264,-0.00902876937475,0.0416967173499,-0.247061561593,0.00482231329413,-0.0988557485147,-0.0410381571937,-0.119797942963,0.00874311141158,-0.0450876099138,0.0704223270786,-0.0300930660269,-0.0288827801464,
pause_video_avg,0.14847145452,-0.0950109886627,-0.0947493204871,-0.12738816445,-0.247735638546,0.0493802041364,0.0883235234863,-0.0229178084072,-0.0456264845967,-0.00765828523497,-0.0808978895188,0.11909567673,-0.0658168680188,-0.00152368274278,0.0421709204683,0.103030730042,
stop_video_sum,0.124239815533,-0.0449070769356,0.337310939367,-0.102287529676,0.0296519187142,-0.00107432577563,0.0117095064634,0.151939147814,-0.00265002102088,-0.115023349363,-0.164769333914,-0.121716439349,-0.0518525428254,-0.322170190655,-0.0420571096309,0.0598531776214,
stop_video_avg,0.111058185754,-0.0676418702912,0.324821110021,-0.0885016479338,-0.0653855870807,0.127649613752,0.233396659502,0.0758690734801,-0.106483536193,0.0246136127964,0.10212469825,-0.294394017932,0.243446027328,0.20260793554,-0.141813846555,0.0479199356285,
