,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,indicator
active_num_days,0.144600739706,-0.128351359407,0.0252425756066,0.10113004806,0.0585550200189,-0.119709225923,0.304692211051,-0.00513446165738,0.105680386297,0.0795938050119,0.0803455610102,-0.0509608708031,0.105766753527,0.037857639944,-0.0761781708363,
active_avg_count,0.13642205747,-0.0487651436302,0.0691608553995,0.1479176018,-0.130514831534,0.243201089724,-0.312228843412,0.143308472539,-0.124182041607,0.0616989670258,0.019780607807,0.0222224505223,0.0065745473925,-0.0338067348393,-0.104103123494,
active_sum_count,0.171582480383,-0.0924001185566,-0.0401956582777,0.0388866472653,-0.128557275978,0.0686487154116,0.0179510512788,0.0889407600196,-0.0218582074768,0.128249845227,0.0187103560584,-0.0765447788365,0.107024709782,0.0555307804061,-0.110567978275,
problem_num_days,0.138112697318,-0.16728095837,0.0243416737741,0.0892459629347,-0.0416605504209,-0.11127435037,0.282933048736,-0.0111434932445,0.109871008789,0.192027280741,0.123631980721,-0.136194730036,0.109754364829,0.0701964137456,-0.206212850717,
problem_avg_count,0.095244199811,-0.123732041016,0.109637436389,0.193235491454,-0.0768767265159,0.299399530889,-0.31062262757,0.211058715359,-0.208335496591,0.274156697445,0.159359867905,0.0128003267166,0.099364701606,0.0238173942152,-0.0304491294668,
problem_sum_count,0.128319906756,-0.195796639625,0.0184014809136,0.13715393238,-0.137924540673,0.101403638706,-0.035321303891,0.141536702447,-0.0735064859844,0.338658767448,0.123531051145,-0.127166296018,0.131003782079,0.106993921335,-0.187942399005,
video_num_days,0.149630279684,-0.134581293139,0.0547036265706,0.0439329081179,-0.0286795510852,-0.0975082461817,0.337615956649,-0.0966325153214,0.103509671893,0.0744177818363,0.0633848378835,-0.0469090589196,-0.0019141966512,-0.0546399936434,-0.0352034140712,
video_avg_count,0.142815327559,0.175282801679,-0.0450293783377,0.0733630870408,-0.00414337887081,0.0782042436294,-0.275440664443,-0.0886860558559,-0.0673705927829,-0.146584129054,-0.0257789680408,0.0157906603864,0.0487828092092,-0.0299758123696,0.0243344777409,
video_sum_count,0.175234664845,0.0973264660503,-0.0878788430923,-0.0448544921073,-0.103854346477,-0.00268421955305,-0.00285695091135,-0.0463967405811,0.0311222835892,-0.0418838215924,-0.0696800514863,-0.059230694394,0.0323839531095,-0.00592681133287,-0.0749771892071,
forum_num_days,0.0416913045782,0.0924641559393,0.00194597686416,-0.0957013025254,-0.0881314585225,-0.0305114477913,-0.0846988973931,0.517598969033,0.595336350884,0.303694600288,-0.355140283138,0.207543647025,-0.0766631882691,-0.18690031811,0.113179839259,
num_watched,0.163427266281,-0.119491450566,0.0329831863825,-0.00258077794006,-0.205728383253,0.074149989745,0.0303929279748,-0.114390523442,0.000116995993567,-0.0775327078234,-0.0144636688182,0.0217257693179,-0.0937315929382,-0.0837470900771,0.0859177492987,
num_complete,0.15950552059,-0.10659259912,0.0235218101339,-0.127655556147,-0.165822544637,0.101659847707,0.00203888473628,-0.151324899923,0.028708365756,-0.0133034158779,0.0847802402547,-0.00699734203016,-0.159053579332,-0.150069851067,0.0142131857727,
num_incomplete,0.101266665236,-0.0992237941789,0.0422016392478,0.312528802217,-0.21526019944,-0.0275775416215,0.0881784883301,0.0287249595004,-0.0717068469864,-0.204605564345,-0.25722087674,0.0842565021114,0.11154246492,0.119640066188,0.228061208574,
complete_rate,0.14427116321,-0.068987089834,0.193872961315,-0.0908636620743,0.117205024736,0.112594516531,-0.0424701998147,-0.151283932029,0.174110181548,0.0628381791411,0.172279017215,-0.0884958556983,-0.0825909984696,-0.320736327266,0.0474048692474,
incomplete_rate,0.0454974205478,-0.0714253235521,0.099482723188,0.431400973383,0.0465450408322,-0.0597512105202,0.173471414563,0.185847359099,-0.0622194756961,-0.180605249759,-0.339492015087,-0.00447418317958,0.0118108074298,0.296938457209,0.051725335889,
watched_time_hour,0.115960562431,-0.125528052286,0.155323352011,0.122560749409,0.114378774376,0.00475939169701,0.0794936267503,-0.089863702916,0.280354647879,-0.00684056181922,0.137192339506,0.0853873904156,-0.243693481007,0.00460612933394,-0.183453122017,
watched_time_weekday,0.0778731519669,-0.0338367587477,0.251822398009,0.22225784931,0.147940305449,0.146386952864,-0.193341835579,0.0314991677813,0.128337398606,-0.391625087459,-0.0881016421094,-0.236871972147,-0.0760953935541,-0.295772088322,-0.0349914809153,
seek_video_sum,0.164925985335,-0.0196954454644,0.00013876604241,0.0282586684691,-0.221957922634,-0.0514595081922,0.0154312529625,-0.0893882543976,-0.0116403074277,-0.10183359766,-0.0434153626801,0.0631182092745,-0.07512805024,-0.0597172749024,0.103901337285,
seek_video_avg,0.14947095231,0.0482700953254,0.128418011855,0.187741278413,0.0426342322349,-0.099672359853,0.0109210747485,-0.0273143298459,-0.0437777727058,0.0246333970481,0.0121223299471,0.196366014994,-0.170893293209,-0.0276325908392,0.18113738019,
pause_video_sum,0.166376283072,-0.110162800212,0.0130504140903,-0.0113931867389,-0.188831660189,0.0796957398058,0.038282207386,-0.0998293385662,-0.0138277099697,-0.0668892011058,-0.023666822858,-0.0286299258312,-0.10779776396,-0.117399957466,0.0370243013978,
pause_video_avg,0.145574118068,-0.0855073930173,0.182888121935,0.171534111161,0.129569402541,0.0885701100842,0.0887556614237,0.000126946891637,0.0879581701571,-0.0523041814581,-0.0390196150021,-0.134793128621,-0.102865001216,-0.114247279535,0.0278772145119,
