,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,indicator
active_num_days,0.137875186678,-0.158150294788,-0.0690134707214,0.0688657598961,0.0880004147771,-0.246500243328,0.125327811067,-0.12661378322,-0.0761135335283,-0.014091328394,0.185473470272,0.0624117048154,0.0212457679835,0.0672147993004,
active_avg_count,0.141802292725,-0.0309878867207,0.0065043254546,0.144876045324,-0.201829344549,0.290225008101,-0.03941797333,0.254912085156,-0.0763190744669,-0.0273417611407,0.0281764371652,0.0347616257488,-0.0364226722776,-0.0341853302511,
active_sum_count,0.171527825334,-0.0593889859278,-0.0541233658178,-0.00890140215813,-0.139039407541,0.0349901301321,0.0695396865283,0.0429057841052,-0.151562437196,-0.00193249368342,0.0963144014504,0.0481160288794,0.0465084469572,0.0222082728088,
problem_num_days,0.136986619829,-0.179860510125,-0.0528337557428,0.0431139729131,0.00302855170894,-0.201568037281,0.169073747413,-0.170188083879,-0.133975032016,-0.025365830174,0.238457337454,-0.0276496522798,0.0429998671001,0.0206055626181,
problem_avg_count,0.0979521202089,-0.105108045017,-0.0118783462171,0.210037085365,-0.216450386462,0.352134001652,-0.0702279504644,0.294835662662,-0.260334675998,-0.0939915550409,0.219166364468,0.152044657227,0.00535251127786,0.0606029654413,
problem_sum_count,0.13267825854,-0.16167270632,-0.0710308774386,0.0897311466897,-0.20332994684,0.102001107005,0.0501959253458,0.0603260414333,-0.327597616649,-0.0552790197008,0.287813022646,0.0689324602214,0.0821519949624,0.0242663352523,
video_num_days,0.144364681804,-0.158269033804,-0.00428439990321,0.0410890920355,0.0449774452651,-0.221486573648,0.216296813621,-0.215260835292,0.00623820800683,0.0162458397772,0.0953488480727,-0.0535375896905,0.0220391605085,-0.020474149231,
video_avg_count,0.145171377503,0.173458618416,-0.0456497497146,0.0549218484174,-0.0400802114526,0.222625891822,-0.0884882490245,0.0685410848003,0.135244427127,-0.0144733973521,-0.122612636048,0.0140846967605,-0.0222220622694,0.105055684795,
video_sum_count,0.171919907665,0.123764474891,-0.0382414165266,-0.0651520208863,-0.0575780560837,0.0243348238004,0.0195325504635,-0.0547631177717,0.0341755550114,0.0500213706034,-0.0555209040462,0.00231915791416,0.0304529864587,0.0461883170076,
forum_num_days,0.0467105699115,0.0901366944345,0.137860289779,-0.0629000470217,-0.145097143138,-0.258447967695,-0.199763965346,0.282313134688,-0.0962873036884,0.785045506393,0.213166355518,-0.14715270176,-0.0871990208196,0.0944522984769,
num_watched,0.163576634857,-0.113060511161,0.0296735861122,0.0154190043749,-0.161096304894,0.0615580724815,0.172446371398,-0.0678065133609,0.108697988673,0.0265494370345,-0.0857907113727,-0.103681330802,-0.0129816899841,-0.0305584128804,
num_complete,0.158055321145,-0.1068408106,0.0980093701573,-0.0841194932674,-0.113199977599,0.134416919089,0.153343935761,-0.101547162713,0.125305213947,0.00914300971185,0.0485598857881,-0.170105873711,-0.0559266442498,-0.0617436148864,
num_incomplete,0.0903846123717,-0.0691980470527,-0.177645954542,0.285623967658,-0.207835790755,-0.175697825462,0.132454829921,0.0633623410648,0.0033179634902,0.060874341627,-0.415283078775,0.138394972372,0.114235584092,0.0732739111248,
