,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,indicator
video_pause_sum,0.176120692506,0.0691247110851,0.0260407503921,0.106916368699,0.0456712945706,-0.127787254678,0.0465606346632,0.0638910022415,0.185113950064,-0.117844564898,0.0433359381477,-0.0986976687572,
video_pause_avg,0.161891102268,0.0626586315995,0.0693925175109,-0.0744191934203,-0.178650964364,-0.183602701793,0.0614471908684,0.161329426216,0.198239045029,0.0993592015947,0.0406885011686,-0.152603040497,
video_stop_sum,0.1170207889,-0.185182111701,0.273531182052,0.109650300409,0.0423672709779,0.0938899544037,-0.0186075610825,-0.113789603743,-0.00162618302909,-0.087049487435,0.115268719746,0.00837548270258,
video_stop_avg,0.071327040921,-0.197655553836,0.304820755366,-0.0147715274533,-0.0999324367196,0.216903667164,-0.0653023164075,0.154453210875,-0.11171326138,-0.086076566447,0.307909876265,-0.137735766753,
video_play_sum,0.176134410577,0.12014994931,-0.0511709581069,0.112790783904,0.0781029781375,0.042909229226,-0.0185993405307,0.0720115742144,0.0124688618885,-0.11848005908,0.00879139639592,0.0348195344764,
video_play_avg,0.172828303571,0.127157553781,-0.0323636118535,-0.0795558607473,-0.151482947585,0.0634972641795,-0.0519166805234,0.0374296698121,-0.111625267518,0.102420995958,0.0198593475431,-0.023697492013,
video_events_sum,0.177609489786,0.116288630797,-0.0373423266125,0.116640009073,0.0686032185296,0.0149911483365,-0.00898080848337,0.0730362835294,0.0428644136045,-0.12263847513,0.0179896723052,0.00892455282007,
video_events_avg,0.174752005853,0.122545481708,-0.0113827847461,-0.0699468628374,-0.163252640287,0.0210199627778,-0.0326472052275,0.0611016359306,-0.0586392742526,0.10879029339,0.0273173662434,-0.0578636811913,
mt_practice_sum,0.0723357843832,-0.263882117542,-0.281902118644,0.14532081884,-0.18572669038,0.0362082759751,0.0572489334583,0.00743454361293,0.0259904177941,-0.01635880578,0.0518727705111,0.0117837981578,
mt_unit_sum,0.0723357843832,-0.263882117542,-0.281902118644,0.14532081884,-0.18572669038,0.0362082759751,0.0572489334583,0.00743454361293,0.0259904177941,-0.01635880578,0.0518727705111,0.0117837981578,
mt_online_num_day,0.0596502614647,-0.277120156663,-0.242644688028,0.124073732901,-0.144711111485,-0.0400607017575,-6.6983983479e-05,0.0183742632934,0.0491966367065,-0.00571502045823,0.0427732778907,-0.0231880491395,
mt_online_practice_num_day,0.0723357843832,-0.263882117542,-0.281902118644,0.14532081884,-0.18572669038,0.0362082759751,0.0572489334583,0.00743454361293,0.0259904177941,-0.01635880578,0.0518727705111,0.0117837981578,
hw_mean,0.0889640362978,-0.240485548635,-0.244727681512,0.145186155609,-0.149722330854,-0.00325787099763,0.0651478839353,0.0200918674162,-0.0229149941581,-0.00985683368523,-0.032186066403,0.0187320535201,
qz_mean,0.0745961152025,-0.160739809261,-0.00262771183702,-0.170093124438,0.021658436451,-0.0229508376359,-0.0447901484979,0.0817752924708,-0.194942059625,-0.292171395912,-0.544871176917,-0.601871053947,
Regression P>|t|,0.0,0.0,0.003,0.327,0.03,0.724,0.533,0.813,0.024,0.912,0.0,0.0,0.0
