,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,indicator
active_num_days,0.132585526946,-0.176927411975,-0.0574669123599,-0.0746327091098,0.154082375861,-0.122311481089,-0.251717365129,0.0625308591467,-0.0923655237454,0.197067601075,0.0133667644445,-0.0864370887434,
active_avg_count,0.15725067487,0.00420687670086,0.0127131560941,-0.122466036978,0.042047919215,0.0762679086164,0.329074240415,-0.191923513848,0.0193818683939,0.0530886777532,0.0167712628428,-0.0526166182386,
active_sum_count,0.179903678293,-0.0230284071412,-0.0468244069691,0.0348302449426,0.175379071719,0.000531219732288,0.0425269717634,-0.0869891202636,0.0234141345933,0.0860523227385,0.0343747909218,-0.038112680869,
problem_num_days,0.138974026119,-0.15613330302,-0.0215574413321,-0.0306734707866,0.192268883008,-0.147339943076,-0.190542225649,0.10822271196,-0.0913488786352,0.251175529061,-0.0974075958029,-0.00914886228662,
problem_avg_count,0.103265123321,-0.0646777687357,-0.0231207790877,-0.178220530998,0.10776264993,0.136773608297,0.413760686822,-0.360179384364,-0.0543553229029,0.147295274756,0.138972173712,-0.182911685449,
problem_sum_count,0.148858397946,-0.0907877301416,-0.0577864003931,-0.0328585657707,0.253297611607,0.0346641009566,0.13100977103,-0.17352956131,-0.0297052393397,0.246882170367,0.0541721446369,-0.085133445734,
video_num_days,0.144236810139,-0.160901656776,0.00184959691831,-0.0783515127455,0.145477776878,-0.154996740598,-0.270291530765,0.102630132606,-0.0935320548557,0.10460946671,-0.0673414318583,0.0735877039122,
video_avg_count,0.163490981865,0.144479699453,-0.0264735658581,-0.0373208976853,-0.0533547555207,0.106828768132,0.194358962069,-0.0087764904861,0.0672363682592,-0.0257652708164,0.0420716795277,-0.065283288492,
video_sum_count,0.177526614534,0.115951011074,-0.0548836991607,0.101933900068,0.0816478340502,0.0514381349828,-0.0203903961067,0.0597638620068,0.00273084729657,-0.0985840735437,0.0115700019307,0.0276957720652,
forum_num_days,0.0,-2.71050543121e-20,0.0,-1.38777878078e-17,5.55111512313e-17,-1.11022302463e-16,-9.71445146547e-17,-2.77555756156e-17,1.94289029309e-16,-8.32667268469e-17,-2.51534904017e-17,-5.55111512313e-17,
num_watched,0.172124368084,-0.0985031091752,0.0259320927293,-0.0106838205779,0.212242283963,-0.0363296770784,0.0497496867984,-0.0354351629279,0.0516778129794,-0.0105550327882,-0.0545557878615,0.0898532215805,
num_complete,0.163871344148,-0.107151692323,0.0912432282811,0.0834051744604,0.18346917824,-0.0408573393236,0.136946140799,0.028572636054,-0.0187576866803,-0.0158171486211,-0.126384447615,0.173501720171,
num_incomplete,0.0862727737961,-0.0104063448688,-0.180946330764,-0.278043481916,0.160572212034,6.07198598875e-05,-0.23611147517,-0.199332581735,0.223935024218,0.0115184951353,0.189591345834,-0.211275085317,
complete_rate,0.133714336597,-0.145249395521,0.168417875257,-0.113286274609,-0.0298623749422,-0.0430044196518,0.222438387466,0.237955111675,-0.163614402632,0.0953653706131,-0.130500247108,0.171715452364,
incomplete_rate,0.0108899461584,-0.0162686778227,-0.178585131727,-0.385294664914,-0.0187848055388,0.0527168380697,-0.314791012358,-0.150869132697,0.26949312154,-0.286054833948,0.231662597416,0.0535715691026,
