,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,indicator
active_num_days,0.136925490154,-0.162650886545,-0.0915506682778,0.0336325006547,-0.0418267684036,0.270705302708,0.052441818064,0.17545391672,-0.0998309800968,0.172206424281,-0.0142969733241,-0.0711961701155,-0.0401554302469,0.0538125934001,0.0150402865346,-0.138255291983,0.214188599321,-0.116285648792,-0.102598999552,0.363990620086,
active_avg_count,0.140104677599,-0.027537222422,0.0249421443915,0.165986919876,0.240312583366,-0.256590649278,-0.0367309149073,-0.262899442904,-0.0189482374064,0.0588950731919,0.0226866784816,0.0695889084029,-0.0696284315457,-0.00484972725233,-0.0413172560021,0.0330177310022,-0.0751649153989,0.0262602888879,0.0790632194955,-0.376483389947,
active_sum_count,0.173843385679,-0.0527347563687,-0.0265110824177,-0.0182290585526,0.191581866453,0.00115726837815,-0.0273244793638,-0.0320778955131,-0.0508712154807,0.143453527383,0.0382400382827,0.0272411267223,-0.0658647490711,0.0240496929644,0.00303235394783,-0.036842088701,0.123067312879,0.122940394002,-0.02674419871,-0.0116511325784,
problem_num_days,0.135273813917,-0.173627840445,-0.0617492215845,0.015703398257,0.0720714136672,0.268632616976,-0.0170674079784,0.145139312687,-0.159626752228,0.205172871434,0.0648077335878,-0.138025893495,-0.0275210298578,-0.0375393499175,0.110232569936,-0.199287382223,0.169413867553,0.242428222474,-0.18176692665,-0.288176255664,
problem_avg_count,0.0901144433448,-0.110185899493,0.0219688748826,0.227267176663,0.276372696448,-0.335957845771,0.019720139245,-0.267687937269,-0.164655562019,0.248952503284,0.0257352740932,0.0573208602927,-0.136381157247,0.0872768304344,-0.0916066567779,0.0409752176954,0.0537399199572,-0.236581234479,0.119844575128,0.268965447012,
problem_sum_count,0.131457445201,-0.153103176817,-0.0426207584814,0.0773213629776,0.286322775048,-0.0822708506505,-0.0330056161719,-0.0401600939374,-0.181055359872,0.35767289649,0.0945083837285,-0.0203779675908,-0.10700352757,0.027927291988,-0.0273154818015,-0.127875459534,0.141407932148,0.163961227992,-0.0994747387664,0.0450806304103,
video_num_days,0.145627146136,-0.156017351829,-0.0268235653487,0.0265526047701,0.0010706157952,0.32558958417,-0.0328256967047,0.159096008102,-0.0447731139195,0.00670339806107,0.030666780067,-0.078006439973,-0.0233809149825,-0.0437427364587,0.118157180015,-0.0436612155898,-0.00142762027103,-0.167627241443,0.125480161809,-0.156457148629,
video_avg_count,0.156142466824,0.154131415752,0.00471681293031,0.0650372616575,0.0328280262363,-0.169675064568,-0.0350423018652,-0.134703508326,0.0289716183377,-0.103466365538,-0.0792501522465,0.066321647608,0.00606882066239,-0.0222119658486,-0.0767705791681,-0.0924716631019,-0.141627615705,0.0147939187956,-0.0832065731359,-0.200311527519,
video_sum_count,0.175131885585,0.116663183872,-0.0156121777354,-0.0746810200108,0.0501842421907,0.00767617043441,-0.0650716480198,0.0299290827828,0.0375422913726,-0.0780799379863,0.00160282856275,0.0597028018371,-0.0122367588996,0.0303940749819,-0.082604537745,-0.0675011982012,0.0753404739339,0.020985207951,0.0599088783659,0.0439338052761,
forum_num_days,0.0539775300092,0.100651905103,0.11098819885,-0.0416027528406,0.0199982710839,-0.0887150829841,0.471096004734,0.105230409681,0.276440468417,-0.0748564509778,0.663428428226,-0.0674043293595,-0.362317183113,0.133468208796,0.169484893487,0.0103467261733,0.028560172952,-0.065839967347,-0.00633775210699,0.021744743842,
