,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,indicator
active_num_days,0.135650053865,-0.155374149709,0.0681676527685,2.6358199715e-05,-0.225273829074,-0.140277043586,-0.111144094268,-0.152924511579,0.135208458908,0.0594840531386,0.167267436105,-0.0721433603217,0.182101264265,0.104423047801,0.205027971472,-0.172944676165,0.105562684709,0.0263498357379,-0.385809031278,-0.0932919232375,0.410472527487,-0.0902500351493,
active_avg_count,0.142536297455,-0.0479103914858,0.0343567997651,-0.0245839809325,0.151723386278,0.312366964108,0.246939122447,0.201266542182,0.030101940027,-0.0884380430806,0.0451494593839,-0.015371542182,-0.0531041885769,-0.0777220412385,-0.169196846862,0.0503473848658,-0.0216811069707,0.046356259712,0.226069963666,0.367993403731,-0.179844935758,-0.19859020574,
active_sum_count,0.172628292348,-0.0599231117983,0.0577803006511,0.0291970970279,0.0371261915797,0.0652367010671,0.178870710017,-0.0462843996794,0.12059006921,0.0485609959434,0.103769982081,-0.0181214441642,0.0377893120173,0.0614367216464,0.0565558974133,0.0127309744743,0.0259219833269,-0.12966204761,0.0644393887006,0.0617387198506,-0.0506273132346,0.0608941481114,
problem_num_days,0.129522980359,-0.192067323865,0.0320594635751,0.0075403397849,-0.146674388424,-0.0683603862553,0.0307296516406,-0.26367452638,0.183646522706,0.113984522469,0.289619008788,-0.00216448805033,0.0876150228032,0.0791882414519,0.180956362449,-0.0395127292095,0.146892681238,-0.236263918997,0.0710494800846,0.361847404238,-0.145109745534,-0.13804256841,
problem_avg_count,0.0910255435021,-0.15837224544,0.0889520984396,-0.0431151734373,0.263435594366,0.35271214555,0.176462757226,0.240240873131,0.226355285184,-0.0107129953763,0.215308489996,-0.0741900193933,0.0458580503527,0.136305859501,-0.0710211573367,-0.0247573700162,-0.0714561790008,0.280097682814,-0.0731083876646,-0.355674785532,0.308474064684,0.0881517305978,
problem_sum_count,0.118631451717,-0.208498316104,0.0821473329483,-0.00928426015461,0.106439686254,0.179251050589,0.201834940295,-0.0121323443292,0.291235757437,0.0761538895409,0.29981195258,-0.0686707499116,0.00142159996477,0.133745451586,0.0569671374037,0.0534803473124,0.0831594102903,-0.13044711925,0.032528832727,0.0301121037976,-0.108121570363,0.122031473297,
video_num_days,0.145229427602,-0.151882802142,-0.000871224290955,-0.0611863834218,-0.211638075657,-0.11105822814,-0.0401269399034,-0.268324328702,-0.010423123122,0.112126051087,0.0762827613155,0.0403452281861,0.00952968039568,0.0586386486541,-0.00881259029917,-0.00109477806813,-0.0559243536299,0.161930540381,0.206975859369,-0.0628575174358,-0.129831234464,-0.00269831369044,
video_avg_count,0.143230173699,0.151777604083,0.101921688265,-0.0414132400292,0.173257177101,0.119456648935,-0.0536548522284,0.0916670525959,-0.121664485349,-0.107120809963,-0.105752755902,0.0301449132437,0.102002638642,-0.0764096953183,0.162819494248,0.150133172937,0.227822295811,0.167888584862,-0.323596184722,0.507094464553,0.278707872737,-0.223232831241,
video_sum_count,0.173075902017,0.117504840683,0.0600609410086,-0.00930320511138,0.0654391558681,-0.0296952552342,0.0322731264099,-0.0461724460204,-0.038921304717,0.0201641571894,-0.0455438702854,0.0548438132214,0.0484639411903,0.0179976413558,0.0333286354923,0.0270926123185,0.0521764483294,-0.00278802053134,0.119004229603,-0.0389138139299,0.0299511584358,0.108697869595,
forum_num_days,0.0574336709757,0.0612587705636,-0.00243392664533,-0.0157108476557,-0.0979795059288,-0.210172443564,0.325447544386,0.387704277456,-0.0952130410569,0.776124381363,-0.0948720350656,-0.0870892893514,-0.0871164688448,-0.0315310444059,0.0687712891743,-0.0606065887817,-0.0763431069142,0.0372966775436,-0.109608968132,0.0580942158183,0.00705834341064,-0.0665170752613,
num_watched,0.160375298673,-0.124548842046,0.000226244482887,-0.10778650591,0.0185453219645,0.0422248451801,0.141601999235,-0.181437630379,-0.216285954867,-0.0117168168398,-0.0554433011205,0.064908790612,-0.0162761239733,0.00422955352726,-0.023531411665,0.0359763063681,-0.0516834106889,0.0631232764731,-0.0409146473625,-0.109990943152,-0.0296867113722,-0.190462262509,
num_complete,0.157105809371,-0.10274642901,-0.107224949012,-0.0546043388304,0.125511976453,0.0315813010648,0.057747735857,-0.184150083457,-0.247905574045,0.0394709704327,0.0684406554997,0.0942477570854,-0.0862652115787,-0.0664145691134,-0.0388604741504,-0.10086128243,-0.00887212744512,0.0257674585837,0.090814501716,-0.0927695297929,0.100674814363,-0.21929125193,
num_incomplete,0.0796288744194,-0.109041345399,0.263388754546,-0.178445739212,-0.25381880492,0.0449359276651,0.268702336296,-0.0743769712507,-0.0191076907442,-0.130657759455,-0.328311847166,-0.0429034351487,0.164225990517,0.174988096428,0.027052557728,0.351358903967,-0.127980401681,0.119721489723,-0.341046970406,-0.0913155031636,-0.33268190362,-0.0144136718005,
complete_rate,0.148714028795,-0.108157798586,-0.162856587724,-0.060451152373,0.0188932645893,0.0747714060093,-0.184762051686,-0.0523455621083,-0.177727533959,0.124403111988,0.186841167927,0.14862801903,-0.0204277293259,-0.0637186735506,0.0271759354868,-0.0293295115718,-0.247433106917,0.321253726429,-0.0475149317701,0.0521195851037,-0.055679205781,0.0906958009306,
incomplete_rate,0.0271740653829,-0.0833948955185,0.274542841357,-0.152029187543,-0.439817095121,0.0861597423658,0.0334059190307,0.147110470786,0.192235434662,-0.10946944391,-0.358105953161,-0.0491577034611,-0.0399798698628,0.0339177178528,-0.0721651130859,-0.245900919707,0.198149050233,0.0714115198999,0.335382159274,0.0269415588627,0.20833530447,-0.0140328923739,
watched_time_hour,0.123651212937,-0.150881748504,-0.0608658263376,-0.0836310931444,-0.145922389744,0.0648948183276,-0.154848287315,-0.0281479552321,0.0576039055393,0.0451600843941,0.0458224598762,-0.238624991163,-0.639474538407,-0.321650465323,-0.0289458795507,0.41627549135,0.318211589354,0.0058513598757,-0.116071691785,-0.0865589009733,0.0362779788808,0.106002324483,
watched_time_weekday,0.0795284143011,-0.0841757763518,0.0077029989976,-0.188333530578,-0.189619110084,0.335389038413,-0.155460872181,0.391169373469,-0.276097798914,-0.082641866906,0.0933391044687,0.315604850605,-0.00766561165833,-0.0744199037487,0.346694817522,-0.171062545095,0.0602064689531,-0.42001884862,-0.101531684531,-0.168798183928,-0.145264235221,-0.016203061316,
seek_video_sum,0.160066942864,-0.0299580842836,0.0915961399551,-0.164378216136,0.073756207288,-0.0937211672852,0.121717559016,-0.101461502438,-0.162391094051,-0.0945239923508,-0.0387825013192,-0.0255340397204,-0.0567009230781,0.0535512390465,-0.056771182708,0.113389366658,-0.284170777389,-0.277953031129,-0.00610064095282,0.0560617090963,0.218878275067,0.158233870627,
seek_video_avg,0.149913140246,-0.0233472373048,0.127747791851,-0.203046599235,-0.0758953385948,-0.0989139161763,-0.0765479912668,0.0633026782598,0.00273767474564,-0.0747163918288,0.0639083018274,-0.0994423069699,-0.13707080098,-0.0292300315081,-0.270369658187,-0.00557127869937,-0.491185743001,-0.333430455395,-0.0450092898617,0.138760055977,0.27823428883,0.0507985736786,
pause_video_sum,0.162718734498,-0.111837316483,0.00414301312372,-0.0866164576165,0.0136728748147,0.042401678143,0.136130945547,-0.181690137326,-0.225272940512,0.00201024849138,-0.0243230973777,0.120538318179,-0.0163946719096,-0.0155762278432,-0.0305104518042,0.0291580472199,-0.00729400962606,0.106087690732,-0.00261292051275,-0.0523953890516,-0.016199337289,-0.11484847001,
pause_video_avg,0.150117712304,-0.124730470696,0.0143194386973,-0.107382714768,-0.222277114889,0.113295434063,-0.146330866729,0.0120289952162,-0.0809064636507,0.0604035367226,0.025214672091,0.176008033519,-0.039758404235,-0.0517795304669,-0.0421432814349,-0.173834237657,-0.0445116344035,0.380647661833,0.153116484077,0.129739537263,0.0196107066076,0.144686852199,
stop_video_sum,0.132534834422,-0.0773445041807,-0.291180283596,-0.0660816647665,0.0832649634167,-0.000460660846824,0.0644460582179,-0.0352224970086,-0.0549041819179,-0.0467109806114,-0.174564280443,-0.21635876843,-0.0762596648211,0.161937432383,-0.11821099544,-0.230156614776,0.151725397677,-0.101172349099,-0.0212589086761,-0.0967735530066,0.00562685504696,-0.23005379654,
stop_video_avg,0.101135965239,-0.0792770828998,-0.348207796371,-0.111873336691,0.00951091790931,0.0672077751192,-0.205523115989,0.0989077960682,0.0631371395956,0.0273841760729,-0.165734469842,-0.194944323574,0.127082611226,0.223078202375,0.198277047636,0.161278355575,-0.115520360599,0.0330877387407,0.0762563258428,0.0920590931692,-0.0382569650807,0.156274281991,
video_forward_seek_sum,0.107585040802,0.0786062448909,0.253258654561,-0.164354426753,0.310201792032,0.0144904092849,-0.183699133973,-0.147425977886,0.0473701671369,0.124470434253,-0.166549501086,-0.0279905692239,-0.0101500208324,-0.0550584496369,0.210966844003,-0.0548669551193,0.0529451540659,0.0344145452737,0.0430546422283,-0.0410305316233,0.0133401234316,0.035186996009,
video_forward_seek_avg,0.0997993620934,0.077111206509,0.270408338456,-0.201033269942,0.230929096713,0.016976246956,-0.257718916459,-0.0704037369558,0.176476907475,0.138074801536,-0.111965769709,-0.137184295465,-0.0606654221784,-0.102587366337,0.0298459328212,-0.216094272678,-0.111054122081,-0.0291834341882,0.0130013898017,-0.0520451721946,-0.247393100979,-0.0886076464159,
