username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050160,1.5,118.25,217.75,1.5,9.70833333325,18.25,1.5,10.2083333332,19.5,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.75,5.01620664375,0.75,1.5,0.5625,2.0,0.75,0.0,0.0,5.5,2.375,2.5,1.0625,5.25,2.625,1.25,0.3125,0.0,0.0,10.75,5.0,3.75,1.375,14.5,6.375,8.5,3.6875,0.0,0.0,16.5,7.125,39.5,17.1875,0.0,0.0,0.0,0.0,0.0,30.5,0.0,30.0
Y1050161,0.75,58.0,58.25,0.25,9.75,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.75,0.0,40.0
Y1050162,2.75,437.416666675,1261.25,2.75,20.2916666675,58.0,2.75,96.4999999825,278.5,0.0,0.0,0.0,11.25,8.75,2.5,0.77440476175,0.22559523825,11.2238196002,4.0,10.25,0.88214285725,11.0,0.98333333325,0.25,0.01785714275,48.0,3.79404761925,80.5,7.4666666675,95.0,8.72261904675,28.25,2.59761904775,0.25,0.01785714275,143.0,12.5166666675,109.0,10.0821428565,252.0,22.5988095225,133.75,12.2648809532,0.25,0.01785714275,263.25,23.5988095225,649.25,58.4803571425,0.0,0.0,0.0,0.0,0.0,38.75,0.0,30.0
Y1050163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050165,0.25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050166,1.0,13.25,26.5,0.25,0.25,0.25,0.5,2.25,4.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.31796453325,0.75,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.25,1.25,2.25,2.25,2.25,2.25,0.0,0.0,2.5,2.5,7.0,7.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0
Y1050167,1.0,172.625,345.25,0.5,46.5,46.5,0.75,10.625,13.75,0.0,0.0,0.0,5.0,2.25,2.75,0.22474747475,0.27525252525,2.3931621665,2.0,1.75,0.1843434345,4.25,0.41666666675,0.25,0.02777777775,1.0,0.106060606,0.75,0.08333333325,4.25,0.42676767675,0.5,0.0505050505,0.0,0.0,5.25,0.53282828275,1.25,0.13383838375,6.5,0.66666666675,8.5,0.8434343435,0.25,0.02777777775,11.5,1.16666666675,26.75,2.7045454545,0.0,0.0,0.0,0.0,0.0,49.0,0.0,30.0
Y1050168,0.75,23.625,41.0,0.5,1.5,1.5,0.25,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.25,1.818384991,1.75,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.5,0.25,1.0,0.5,0.0,0.0,0.0,0.0,0.0,6.25,0.0,10.0
Y1050169,1.0,118.833333325,288.0,1.0,10.0,23.5,1.0,17.5,43.5,0.0,0.0,0.0,3.25,0.75,2.5,0.1704545455,0.3295454545,3.30204984225,1.75,2.0,0.38636363625,3.25,0.5,0.0,0.0,15.25,3.02272727275,7.0,0.63636363625,12.75,1.159090909,3.0,0.27272727275,0.0,0.0,28.0,4.18181818175,10.0,0.909090909,38.0,5.09090909,18.75,1.909090909,0.0,0.0,41.25,5.59090909,98.0,12.59090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
