username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050171,3.0,142.6125,480.5,2.0,23.875,60.75,2.25,7.6875,21.5,0.0,0.0,0.0,7.5,7.5,0.0,0.75,5.94622035,1.25,1.0,0.099431818,7.25,0.727272727,1.0,0.090909091,0.75,0.076704546,1.25,0.122159091,6.75,0.681818182,2.25,0.23011363699999998,0.0,7.5,0.758522727,3.5,0.352272727,11.0,1.110795455,15.25,1.548295454,1.0,0.090909091,18.5,1.860795454,45.75,4.610795455,0.5,0.5,0.25,0.5,0.75,19.5,0,10
Y1050172,0.75,236.25,236.25,0.25,11.5,11.5,0.5,36.75,36.75,0.0,0.0,0.0,2.25,2.0,0.25,0.25,3.1211978289999998,0.75,1.5,0.1875,2.0,0.46875,0.5,0.0625,3.25,0.40625,2.25,0.28125,26.75,7.5,1.0,0.125,0.25,30.0,7.90625,3.5,0.4375,33.5,8.34375,29.5,8.0625,0.5,0.0625,35.75,8.84375,99.25,25.3125,0.5,0.5,0.25,0.5,0.0,23.25,0,10
Y1050173,3.0,301.0833333,643.75,2.25,24.5,48.25,2.0,48.66666667,70.0,0.0,0.0,0.0,7.75,5.25,2.5,0.6375,7.64712636,3.25,4.5,0.5875,7.5,0.979166667,1.5,0.233333333,10.0,1.045833333,7.25,0.7958333329999999,33.75,5.483333334,5.0,0.8291666670000001,0.0,43.75,6.529166667,12.25,1.625,56.0,8.154166667,44.5,7.033333334,1.5,0.233333333,63.75,9.154166667,165.75,24.575,1.25,1.25,0.5,1.25,1.5,80.75,1,70
Y1050174,5.5,151.1964286,776.0,3.75,23.27083333,85.0,1.5,17.625,30.5,0.0,0.0,0.0,4.5,3.25,1.25,0.6166666670000001,8.53759269,3.0,1.5,0.46666666700000003,4.25,0.75,0.75,0.161111111,6.75,0.9055555559999999,1.25,0.194444444,15.25,2.705555556,1.75,0.25,0.0,22.0,3.611111111,3.0,0.444444445,25.0,4.055555556,20.5,3.544444445,0.75,0.161111111,29.5,5.055555556,75.75,12.81666667,4.25,3.0,2.0,3.75,6.255833332999999,81.0,1,80
Y1050175,3.25,224.02083340000001,735.25,3.25,20.02083334,66.25,3.25,15.39583333,51.75,0.0,0.0,0.0,10.75,7.75,3.0,0.693722944,14.18306955,1.5,5.5,0.5689935070000001,9.5,0.857142857,1.25,0.104978355,3.75,0.343885282,6.0,0.606601732,19.5,1.770292208,6.75,0.563311688,0.25,23.25,2.1141774890000002,13.0,1.187770563,36.25,3.3019480519999997,34.0,3.0165043289999995,1.25,0.104978355,47.0,4.301948052,118.5,10.72537879,0.75,0.5,0.5,0.5,0.75,31.0,0,30
Y1050176,4.25,236.8875,983.75,2.75,29.20833333,81.0,3.75,29.25833333,103.25,0.0,0.0,0.0,10.25,10.25,0.0,1.0,10.22580574,1.25,6.25,0.5960567210000001,10.25,1.0,0.0,0.0,28.5,2.75971251,13.5,1.300335082,36.25,3.64957265,5.75,0.6192453379999999,0.0,64.75,6.40928516,19.25,1.91958042,84.0,8.328865579,52.0,5.246090715,0.0,0.0,94.25,9.328865579,230.25,22.90382187,17.25,3.25,1.75,4.25,9.436666667,79.0,1,90
Y1050177,2.75,336.3958333,882.25,1.25,43.875,69.75,1.5,53.5,88.0,0.0,0.0,0.0,6.75,3.5,3.25,0.360714286,8.457489673,1.75,6.5,0.7142857140000001,5.25,0.557142857,0.25,0.025,22.25,2.278571429,28.5,3.064285714,7.75,0.7964285720000001,8.0,0.8,0.25,30.0,3.075,36.75,3.8892857139999997,66.75,6.964285714,18.0,1.842857143,0.25,0.025,73.5,7.714285714,158.5,16.54642857,2.0,1.25,0.5,1.25,1.5,43.25,0,20
Y1050178,0.5,203.0,203.0,0.5,13.75,13.75,0.5,33.25,33.25,0.0,0.0,0.0,5.25,2.75,2.5,0.261363636,3.3688462560000003,3.0,4.0,0.384090909,4.0,0.381818182,1.0,0.09318181800000001,12.5,1.218181818,3.0,0.293181818,6.5,0.615909091,1.0,0.097727273,0.0,19.0,1.8340909090000002,4.0,0.39090909100000004,23.0,2.225,9.5,0.904545455,1.0,0.09318181800000001,28.25,2.725,61.75,5.947727273,0.5,0.5,0.25,0.5,0.4375,48.75,0,20
Y1050179,5.0,277.9583333,1467.5,3.75,26.10833333,103.0,4.5,44.26666667,214.0,0.0,0.0,0.0,12.75,11.5,1.25,0.853263674,12.07155615,1.0,8.75,0.67621259,12.25,0.972136223,3.0,0.179437565,72.0,4.010835913999999,33.5,2.0803018580000003,48.0,3.913119195,15.75,1.279863261,2.25,120.0,7.92395511,51.5,3.512383901,171.5,11.43633901,73.5,6.028895769,3.5,0.221104231,184.25,12.43633901,432.75,30.12267802,4.0,1.5,2.25,2.5,7.9725,92.0,1,95
Y1050180,4.0,56.54166667,176.0,0.5,5.75,11.5,0.75,4.75,14.25,0.0,0.0,0.0,2.5,2.0,0.5,0.2,2.856006208,0.75,0.75,0.075,2.25,0.225,0.5,0.05,1.0,0.1,2.0,0.2,2.75,0.275,0.75,0.075,0.25,3.75,0.375,3.0,0.3,6.75,0.675,5.25,0.525,0.5,0.05,9.25,0.925,21.75,2.175,0.5,0.5,0.25,0.5,0.5,64.0,0,40
Y1050181,3.0,107.35,322.5,2.0,23.25,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0,20
Y1050182,4.75,220.8375,1061.75,3.75,16.91666667,62.75,4.5,26.6875,121.0,0.0,0.0,0.0,13.25,9.0,4.25,0.6721813729999999,11.99838903,1.0,8.5,0.6669730389999999,13.0,0.984375,2.0,0.15257353,7.75,0.634497549,18.75,1.428002451,49.0,3.9828431369999997,21.75,1.697610294,1.0,56.75,4.617340686,41.5,3.202818627,98.25,7.820159314,79.75,6.342218137000001,2.0,0.15257353,111.5,8.820159315,291.5,23.1351103,2.25,1.75,0.5,2.0,7.041666667,81.25,1,90
Y1050184,0.25,15.5,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.25,0.75,0.916666667,28.25,0,10
Y1050185,6.25,157.9821429,942.0,3.25,23.36666667,86.25,3.5,15.18333333,53.25,1.5,0.833333333,2.5,12.0,9.25,2.75,0.823274552,7.730667617000001,2.5,5.5,0.360443904,10.75,0.928929766,3.0,0.43371845600000003,3.0,0.233657647,10.0,0.6731529340000001,12.75,0.9942991790000001,5.5,0.360443904,0.75,15.75,1.227956826,16.25,1.066205534,32.0,2.294162359,26.75,1.855351171,3.0,0.43371845600000003,44.25,3.305031925,106.0,7.88826391,12.5,3.25,3.75,5.0,10.0,89.75,1,99
