username,qz_mean,video_stop_backward_seek_sum,video_pause_backward_seek_avg,final_score
Y1050274,0.404623818743,-1.21112771882,-0.771117734315,80.0
Y1050275,0.157105318665,-0.717689337068,0.172697252678,20.0
Y1050276,-0.842829265474,-0.0640626004666,0.205754117341,40.0
Y1050277,-1.31926250911,0.213666197947,0.126426969415,10.0
Y1050278,-0.778701332795,-0.25401216229,-0.213991546688,54.0
Y1050279,1.43131064355,-0.469480695498,0.188630702307,70.0
Y1050280,-1.13756864359,0.17498382257,0.346357360732,10.0
Y1050281,-0.95587477752,0.136301447076,0.56628775271,10.0
Y1050282,-0.372150345634,-0.516863123913,-0.219253011417,10.0
Y1050283,-0.440460987348,0.810500987257,0.409799427258,20.0
Y1050284,-0.644691144188,-0.458839560789,-0.549148598723,30.0
Y1050285,-1.31926250911,0.213666197947,0.126426969415,0.0
Y1050286,1.46510824319,-0.476676158221,0.229540830419,72.0
Y1050287,3.07339923596,1.96404898817,-1.93992273343,50.0
Y1050288,-1.31926250911,0.213666197947,0.126426969415,0.0
Y1050289,1.50908992347,-1.35811863505,0.81446199103,60.0
Y1050290,-1.31926250911,0.213666197947,0.126426969415,0.0
Y1050291,1.30077488346,-1.57821386709,-0.18374534023,40.0
Y1050292,-0.05809805336,-0.760021239951,-0.33647903865,50.0
Y1050293,1.62799571176,-1.30469033455,-1.81145331795,80.0
Y1050294,0.0629807215108,0.262576904506,-0.224234647249,40.0
Y1050295,0.97271041055,-1.06762735792,0.662573194289,30.0
Y1050296,-1.09627458307,0.166192373583,0.396341540787,20.0
Y1050297,-1.09440538747,-0.0105023882982,-0.0987648866312,10.0
Y1050298,-0.733277866551,-0.263682756106,-0.159008949024,10.0
Y1050299,-0.869548265828,-0.234670974544,-0.323956742677,10.0
Y1050300,-0.458476857326,-0.145890702294,0.67099148397,10.0
Y1050301,-0.910451311276,0.12663085326,0.621270350374,10.0
Y1050302,-0.822018105324,0.891733975631,-0.0520543949707,10.0
Y1050303,0.514284539519,1.03857377639,-0.209640061199,20.0
Y1050304,-1.13756864359,0.17498382257,0.346357360732,10.0
Y1050305,-0.0045823519815,-0.859563065902,-0.520385729936,20.0
Y1050306,-1.20683394829,0.101581904824,0.0138310413918,10.0
Y1050307,-1.31926250911,0.213666197947,0.126426969415,10.0
Y1050308,2.17593067877,0.253474781262,3.5767970654,10.0
Y1050309,-1.31926250911,0.213666197947,0.126426969415,0.0
Y1050310,-1.04672171055,0.155642634823,0.456322556721,10.0
