username,exam_mean,final_score
Y1050274,3.49180327869,80.0
Y1050275,-0.308196721311,20.0
Y1050276,-0.308196721311,40.0
Y1050277,-0.908196721311,10.0
Y1050278,1.69180327869,54.0
Y1050279,2.69180327869,70.0
Y1050280,-1.70819672131,10.0
Y1050281,-2.10819672131,10.0
Y1050282,-0.908196721311,10.0
Y1050283,0.491803278689,20.0
Y1050284,0.291803278689,30.0
Y1050285,-3.30819672131,0.0
Y1050286,3.89180327869,72.0
Y1050287,4.49180327869,50.0
Y1050288,-3.30819672131,0.0
Y1050289,4.69180327869,60.0
Y1050290,-3.30819672131,0.0
Y1050291,3.49180327869,40.0
Y1050292,1.69180327869,50.0
Y1050293,4.89180327869,80.0
Y1050294,1.69180327869,40.0
Y1050295,2.29180327869,30.0
Y1050296,-0.908196721311,20.0
Y1050297,-2.90819672131,10.0
Y1050298,-0.908196721311,10.0
Y1050299,-2.50819672131,10.0
Y1050300,-0.908196721311,10.0
Y1050301,-3.30819672131,10.0
Y1050302,-3.30819672131,10.0
Y1050303,-0.508196721311,20.0
Y1050304,-2.10819672131,10.0
Y1050305,0.491803278689,20.0
Y1050306,-2.70819672131,10.0
Y1050307,-3.30819672131,10.0
Y1050308,-3.30819672131,10.0
Y1050309,-3.30819672131,0.0
Y1050310,-1.30819672131,10.0
Y1050311,0.291803278689,20.0
Y1050312,-1.30819672131,10.0
Y1050313,-0.708196721311,30.0
Y1050314,-1.30819672131,30.0
Y1050315,-0.508196721311,20.0
Y1050316,-1.30819672131,10.0
Y1050317,2.49180327869,55.0
Y1050318,1.89180327869,40.0
Y1050319,4.09180327869,76.0
Y1050320,-0.908196721311,10.0
Y1050321,1.49180327869,20.0
Y1050322,6.49180327869,99.0
Y1050323,6.29180327869,88.0
Y1050324,1.29180327869,30.0
Y1050325,-0.508196721311,20.0
Y1050326,-0.308196721311,20.0
Y1050327,-3.30819672131,0.0
Y1050328,2.89180327869,71.0
Y1050329,0.291803278689,20.0
Y1050330,-0.708196721311,10.0
Y1050331,-1.50819672131,10.0
Y1050332,1.69180327869,40.0
Y1050333,-1.10819672131,10.0
Y1050334,-1.10819672131,20.0
Y1050335,-1.10819672131,10.0
Y1050336,3.69180327869,50.0
Y1050337,-1.10819672131,10.0
Y1050338,-1.30819672131,10.0
Y1050339,-0.108196721311,20.0
Y1050340,-1.30819672131,10.0
Y1050341,-0.308196721311,20.0
Y1050342,2.49180327869,50.0
Y1050343,-3.30819672131,0.0
Y1050344,2.69180327869,40.0
Y1050345,-2.10819672131,10.0
Y1050346,0.491803278689,50.0
Y1050347,1.09180327869,20.0
Y1050348,-1.30819672131,10.0
Y1050349,1.69180327869,65.0
Y1050350,-1.30819672131,10.0
Y1050351,3.49180327869,70.0
Y1050352,4.29180327869,80.0
Y1050353,1.29180327869,50.0
Y1050354,2.69180327869,50.0
Y1050355,-1.70819672131,10.0
Y1050356,0.291803278689,30.0
Y1050357,-0.908196721311,20.0
Y1050358,1.29180327869,50.0
Y1050359,-1.70819672131,20.0
Y1050360,-0.108196721311,30.0
Y1050361,0.0918032786885,30.0
Y1050362,4.29180327869,80.0
Y1050363,-3.30819672131,0.0
Y1050364,4.49180327869,72.0
Y1050365,5.09180327869,96.0
Y1050366,-0.908196721311,10.0
Y1050367,5.09180327869,90.0
Y1050368,-0.508196721311,20.0
Y1050369,-0.908196721311,10.0
Y1050370,0.0918032786885,20.0
Y1050371,1.49180327869,40.0
Y1050372,1.49180327869,50.0
Y1050373,-0.508196721311,20.0
Y1050374,1.09180327869,30.0
Y1050375,0.491803278689,30.0
Y1050376,5.69180327869,90.0
Y1050377,2.49180327869,40.0
Y1050378,5.09180327869,93.0
Y1050379,4.49180327869,60.0
Y1050380,3.29180327869,80.0
Y1050381,3.09180327869,55.0
Y1050382,-0.108196721311,20.0
Y1050383,-1.70819672131,10.0
Y1050384,0.0918032786885,30.0
Y1050385,4.89180327869,40.0
Y1050386,0.891803278689,30.0
Y1050387,-2.90819672131,10.0
Y1050388,0.0918032786885,20.0
Y1050389,-3.30819672131,0.0
Y1050390,-2.10819672131,10.0
Y1050391,-0.908196721311,10.0
Y1050392,0.0918032786885,20.0
Y1050393,-3.30819672131,0.0
Y1050394,-0.708196721311,20.0
Y1050395,-2.90819672131,10.0
Y1050396,-0.108196721311,20.0
Y1050397,-0.508196721311,20.0
Y1050398,-3.30819672131,0.0
Y1050399,-3.30819672131,0.0
Y1050400,-0.508196721311,20.0
Y1050401,-1.70819672131,10.0
Y1050402,-3.30819672131,0.0
Y1050403,-0.908196721311,20.0
Y1050404,-1.70819672131,10.0
Y1050405,-2.50819672131,10.0
Y1050406,-2.10819672131,10.0
Y1050407,-1.50819672131,10.0
Y1050408,-1.30819672131,10.0
Y1050409,-2.10819672131,10.0
Y1050410,-0.508196721311,20.0
Y1050411,-1.70819672131,10.0
Y1050412,1.89180327869,30.0
Y1050413,1.29180327869,60.0
Y1050414,1.29180327869,53.0
Y1050415,0.891803278689,30.0
Y1050416,3.09180327869,63.0
Y1050417,3.29180327869,62.0
Y1050418,-1.90819672131,20.0
Y1050419,-1.90819672131,10.0
Y1050420,3.09180327869,75.0
Y1050421,1.49180327869,60.0
Y1050422,2.29180327869,40.0
Y1050423,-1.90819672131,10.0
Y1050424,-0.508196721311,30.0
Y1050425,-2.10819672131,10.0
Y1050426,3.09180327869,40.0
Y1050427,6.09180327869,96.0
Y1050428,-0.508196721311,20.0
Y1050429,-2.90819672131,10.0
Y1050430,-3.30819672131,0.0
Y1050431,-3.30819672131,0.0
Y1050432,-3.30819672131,0.0
Y1050433,-3.30819672131,0.0
Y1050434,-0.508196721311,20.0
Y1050435,-1.50819672131,10.0
Y1050436,-2.50819672131,10.0
Y1050437,-3.30819672131,0.0
Y1050438,-2.30819672131,10.0
Y1050439,-0.908196721311,10.0
Y1050440,-2.10819672131,10.0
Y1050441,-3.30819672131,0.0
Y1050442,-1.30819672131,10.0
Y1050443,-3.30819672131,0.0
Y1050444,-1.30819672131,10.0
Y1050445,0.891803278689,20.0
Y1050446,-3.30819672131,0.0
Y1050447,-1.90819672131,10.0
Y1050448,-0.108196721311,20.0
Y1050449,0.691803278689,20.0
Y1050450,-0.908196721311,10.0
Y1050451,-3.30819672131,0.0
Y1050452,2.69180327869,40.0
Y1050453,-0.508196721311,20.0
Y1050454,4.29180327869,90.0
Y9999984,2.49180327869,66.0
Y9999985,4.69180327869,59.0
