username,forum_num_days,qz_mean,video_stop_backward_seek_avg,watched_time_hour,watched_time_weekday,video_avg_count,hw_mean,predict_score,real_score
Y1050274,2.67774794248,-1.40889504897,-1.05497092104,0.415786627097,-0.985146754709,-0.357203348419,1.53831706948,76.0629673997,80.0
Y1050275,-0.261336622639,-0.408841514519,-0.32537430006,0.220312204277,-0.3633603181,-0.177811246721,0.165228930392,27.27740714,20.0
Y1050276,1.01252121757,-0.965344860969,-0.507679111056,0.960286213921,-0.447586772059,-0.796414630402,2.51843355689,46.5068776414,40.0
Y1050277,-0.66001395021,-0.302022417067,0.129209358454,0.556386749222,-0.252929403479,-0.0382946376642,-0.346967840299,13.8890076228,10.0
Y1050278,2.23755567859,-1.47625949276,-0.429142283363,0.113166476847,-1.80933796676,-0.921732147189,0.937653722378,57.4167047183,54.0
Y1050279,3.20248774391,4.36845183435,-2.27646160523,0.912892183271,-1.51871219062,-0.643306432749,0.709354832879,74.4039348822,70.0
Y1050280,-0.634056169253,-0.556956956449,0.500184219971,0.670857470403,-0.880544381949,-0.329063182301,0.378822498767,10.9092750295,10.0
Y1050281,-1.91994472965,0.23415809485,-0.298520826282,-0.13375932417,0.167607748103,-0.0399121717626,-0.372862448888,6.98885997875,10.0
Y1050282,-1.13400962701,-0.173203783161,-0.0087672186232,0.379905402374,-0.205570434747,0.213569226782,0.0355675055423,15.362421359,10.0
Y1050283,-0.263619872934,-0.0887342001735,0.746761127964,-0.177898296482,-0.162068620442,0.665413671668,0.489379432025,26.9465597674,20.0
Y1050284,-0.245588847962,-0.572918622068,0.221911761943,0.563725326214,-0.743327426155,0.281076582219,-0.157096980911,22.6974151224,30.0
Y1050285,-2.61312276615,0.43609312364,-0.297635550992,-0.209233444613,0.31442661119,-0.163426515623,0.0599631923257,-0.097595328484,0.0
Y1050286,1.51810283392,-0.171809951307,-0.182251063271,-0.0982554180948,0.878919644229,1.07975049307,0.920368204576,63.6710234136,72.0
Y1050287,1.42307233893,-0.113065249747,1.19190749328,-0.284336316291,0.356852282953,1.83895317986,0.215123448153,52.3168007604,50.0
Y1050288,-2.61312276615,0.43609312364,-0.297635550992,-0.209233444613,0.31442661119,-0.163426515623,0.0599631923257,-0.097595328484,0.0
Y1050289,2.48759912253,5.15200072143,-0.701937482618,2.07392447291,0.266934202771,1.71628689029,-0.248850152992,57.4951209505,60.0
Y1050290,-2.61312276615,0.43609312364,-0.297635550992,-0.209233444613,0.31442661119,-0.163426515623,0.0599631923257,-0.097595328484,0.0
Y1050291,0.0655937578758,-0.463358753289,-0.4274981098,0.74803523112,0.0279648462559,1.55549428752,0.0135793687314,45.8814441797,40.0
Y1050292,0.923050946351,-0.586709682799,-1.05986552402,-0.414840511359,-0.448872337981,-0.330173041719,-0.526934658897,48.5605625644,50.0
Y1050293,3.32174044912,-0.860850220672,-1.1180110932,-0.887926504712,-0.260622037405,-0.246054976239,-0.458388763018,81.4712597283,80.0
Y1050294,1.21369181902,0.314641791576,2.30390489954,-1.25296977529,0.314383613075,0.925311897723,0.117971562896,32.3361335299,40.0
Y1050295,1.05646692669,-1.02348983261,0.219755007127,0.363928915699,-1.42237686869,0.29243130424,-1.00963164757,36.0466206469,30.0
Y1050296,-0.42827827673,-0.364598777543,-0.144948800793,0.375175039154,-0.297150501247,-0.281043233317,0.0904341281261,20.745295804,20.0
Y1050297,-1.97478331305,0.134347379146,-0.0417755498958,-0.0941005787676,-0.155771688994,-0.328579900338,-0.180853417828,1.59915611107,10.0
Y1050298,-0.367810437847,-0.67240360537,0.570818089773,0.777745140145,-1.00098575775,-0.0839462406966,0.264770319294,14.7587017935,10.0
Y1050299,-1.69868229199,0.111655350472,-0.0513577400987,0.294705548645,0.183289815664,-0.209748753446,-0.0950231791791,3.99764401433,10.0
Y1050300,-0.506802821627,-0.578898547094,0.471511395133,0.778127182834,-0.799062717202,-0.00651061714726,0.300925869436,14.9548508969,10.0
Y1050301,-1.03233663849,-0.156143997171,0.0246813391554,0.206156130349,-0.24600765561,-1.05117500498,-0.0798986973241,3.60574448686,10.0
Y1050302,-1.08834578407,0.196535385041,-0.0370886293746,-0.557528984787,0.138992389197,-1.04539462567,0.0760289819665,8.25859703822,10.0
Y1050303,0.812870689224,0.154859402513,1.09433207299,-0.47633865577,0.621559955656,-0.29594036674,-0.0445761776833,23.5584651761,20.0
Y1050304,-1.4831407955,0.0396862639962,-0.0879467177242,-0.0152588964764,-0.113385547061,-0.267964600621,-0.590726418461,5.98971690499,10.0
