username,active_num_days,seek_video_sum,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,Problem_num_day,hw_mean,exam_mean,predict_score,real_score
Y1050306,3.4,2.2,3.2,5.0,11.6,1.2,3.338235294,0.6,12.650681538,10.0
Y1050307,0.6,0.8,3.4,0.4,4.0,0.2,1.666470588,0.0,5.50270613602,10.0
Y1050308,4.8,6.2,49.4,40.6,117.0,0.2,1.985294118,0.0,1.5264139877,10.0
Y1050309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356073647136,0.0
Y1050310,0.8,0.8,0.0,1.4,3.4,0.0,0.0,2.0,13.0311948376,10.0
Y1050311,5.4,15.8,63.2,23.8,87.6,0.2,0.323529412,3.6,18.2949781332,20.0
Y1050312,0.6,1.6,1.8,0.2,3.6,0.0,0.0,2.0,12.9975464851,10.0
Y1050313,1.6,3.8,5.8,9.2,19.4,0.6,1.941176471,2.6,22.8705383025,30.0
Y1050314,0.8,4.8,9.0,6.4,20.8,1.0,2.588235294,2.0,20.7372246352,30.0
Y1050315,1.4,9.2,91.4,31.8,90.6,0.4,1.951176471,2.8,21.4494800169,20.0
Y1050316,2.0,2.4,3.4,7.4,32.2,0.4,1.058823529,2.0,15.2610613863,10.0
Y1050317,3.4,7.2,8.8,24.6,68.4,1.0,5.842941176,5.8,58.4181665872,55.0
Y1050318,4.8,11.6,17.8,55.2,80.0,1.8,4.529411765,5.2,45.7878242024,40.0
Y1050319,1.2,3.8,21.2,2.0,24.4,0.6,4.647058824,7.4,67.2630522461,76.0
Y1050320,4.2,2.8,15.8,5.4,7.2,0.0,0.0,2.4,13.2228791121,10.0
Y1050321,0.2,0.2,1.0,0.0,1.2,0.0,0.0,4.8,33.0135441626,20.0
Y1050322,5.0,8.2,14.2,24.2,112.4,1.6,8.323529412,9.8,93.5532087645,99.0
Y1050323,6.2,9.4,17.0,58.8,71.6,2.0,8.867647059,9.6,93.5550123297,88.0
Y1050324,2.2,13.6,151.4,71.2,84.0,0.4,2.627647059,4.6,34.8914092768,30.0
Y1050325,2.2,5.8,10.4,10.2,35.2,0.4,2.083529412,2.8,24.3718016449,20.0
Y1050326,1.4,3.0,8.2,7.8,20.4,0.0,0.0,3.0,19.0560588084,20.0
Y1050327,0.6,4.2,0.6,5.8,15.6,0.0,0.0,0.0,-1.35963572316,0.0
Y1050328,4.6,15.4,245.0,36.8,131.4,1.2,10.0,6.2,69.888826581,71.0
Y1050329,4.0,6.6,38.6,11.8,20.6,0.2,1.470588235,3.6,26.256514372,20.0
Y1050330,2.8,1.6,0.6,2.0,21.4,0.0,0.0,2.6,15.7138644709,10.0
Y1050331,2.2,4.8,14.6,10.6,25.0,0.2,0.470588235,1.8,11.3270218987,10.0
Y1050332,3.0,12.8,58.2,38.4,53.2,1.2,5.955882353,5.0,51.6306287844,40.0
Y1050333,3.0,0.6,0.0,0.6,3.2,0.2,0.0,2.2,12.7492652413,10.0
Y1050334,2.0,1.8,2.4,3.0,19.2,0.4,1.647058824,2.2,19.2990078484,20.0
Y1050335,1.6,2.0,8.2,4.4,38.2,0.2,0.0,2.2,12.7775790549,10.0
Y1050336,1.4,4.0,14.4,4.8,41.2,0.2,0.0,7.0,46.02807514,50.0
Y1050337,0.6,3.0,17.8,5.4,33.6,0.2,0.470588235,2.2,15.0223262291,10.0
Y1050338,1.8,2.2,12.4,5.6,7.8,0.0,0.0,2.0,11.9731866551,10.0
Y1050339,1.2,1.0,1.0,1.2,9.4,0.2,1.544117647,3.2,26.9853556085,20.0
Y1050340,3.6,5.6,16.8,13.0,56.8,0.0,0.0,2.0,9.83879457961,10.0
Y1050341,1.6,5.4,22.4,10.4,38.0,0.0,0.862941176,3.0,21.657626404,20.0
Y1050342,1.6,1.8,1.8,3.8,24.8,0.0,0.0,5.8,38.7017910452,50.0
Y1050343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356073647136,0.0
Y1050344,5.4,8.2,11.2,2.8,50.8,0.6,2.294117647,6.0,44.7395694602,40.0
Y1050345,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.2,7.56408031041,10.0
Y1050346,4.6,2.6,1.2,3.4,22.0,1.2,3.592941176,3.8,35.207661425,50.0
Y1050347,2.8,5.6,12.2,7.0,30.4,0.0,0.0,4.4,27.4842896028,20.0
Y1050348,1.2,4.8,47.0,17.6,31.2,0.0,0.0,2.0,11.0061913955,10.0
Y1050349,4.0,1.0,2.4,0.6,3.2,1.2,6.691176471,5.0,57.0538077249,65.0
Y1050350,5.0,8.4,80.6,53.0,30.8,0.2,0.0,2.0,7.51990367357,10.0
Y1050351,4.6,9.8,37.0,21.0,58.0,1.4,5.882352941,6.8,63.1746073215,70.0
Y1050352,5.0,5.6,26.2,11.0,13.6,1.0,8.544117647,7.6,81.5320314466,80.0
Y1050353,6.0,12.4,49.8,30.6,82.6,1.0,5.779411765,4.6,46.5430310419,50.0
Y1050354,4.4,7.4,11.2,22.4,89.6,0.8,5.078235294,6.0,56.1163742328,50.0
Y1050355,1.0,0.4,0.8,0.2,1.4,0.0,0.0,1.6,10.1608138019,10.0
Y1050356,4.0,10.2,13.8,21.6,65.2,0.8,3.205882353,3.6,31.8169338194,30.0
Y1050357,2.0,6.4,13.6,23.6,45.6,0.4,2.607647059,2.4,23.6953839815,20.0
Y1050358,3.8,4.8,19.2,8.6,35.4,1.0,6.612941176,4.6,53.2738223813,50.0
Y1050359,1.8,0.0,0.0,0.0,0.0,0.2,2.553529412,1.6,19.8522231909,20.0
Y1050360,1.6,6.0,14.0,33.8,43.2,0.2,2.705882353,3.2,30.5089199761,30.0
Y1050361,3.4,3.2,19.4,4.8,20.6,0.6,2.818823529,3.4,30.7020757909,30.0
Y1050362,6.0,10.6,16.6,20.2,127.2,1.4,7.269411765,7.6,73.100175677,80.0
Y1050363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.356073647136,0.0
Y1050364,4.2,10.4,66.2,31.2,57.0,0.4,3.117647059,7.8,60.4578755438,72.0
Y1050365,3.8,7.4,23.6,17.6,125.8,1.4,9.823529412,8.4,90.6661592176,96.0
Y1050366,1.0,2.4,4.2,6.8,21.6,0.0,0.0,2.4,15.2344937029,10.0
Y1050367,3.0,10.0,45.6,19.2,38.4,1.0,8.465882353,8.4,86.747883911,90.0
Y1050368,1.4,5.2,45.2,6.0,40.8,0.2,2.794117647,2.8,27.2960285906,20.0
Y1050369,1.2,2.6,3.8,4.4,18.4,0.0,0.0,2.4,15.1227633491,10.0
Y1050370,1.4,4.8,16.4,20.6,26.2,0.0,0.0,3.4,21.4990956426,20.0
Y1050371,1.4,2.8,6.4,5.6,41.4,0.2,0.455882353,4.8,32.8586487299,40.0
Y1050372,3.2,9.4,30.4,16.2,57.6,1.8,8.230588235,4.8,58.9938340119,50.0
Y1050373,1.6,1.4,0.8,0.4,6.2,0.0,0.0,2.8,18.0191683523,20.0
Y1050374,1.8,4.0,17.0,7.8,23.8,0.0,0.0,4.4,28.2368353392,30.0
Y1050375,5.8,1.8,1.4,12.6,25.8,0.0,0.0,3.8,22.3546404372,30.0
Y1050376,5.8,8.4,56.2,31.4,77.2,1.8,8.842941176,9.0,88.7396038797,90.0
Y1050377,2.4,0.6,0.6,0.0,7.4,1.0,2.705882353,5.8,47.6489255643,40.0
Y1050378,4.0,8.4,12.4,39.6,342.6,1.2,10.0,8.4,89.1459989692,93.0
Y1050379,5.4,1.6,1.4,0.4,35.0,0.0,0.0,7.8,50.3228413295,60.0
Y1050380,5.8,3.2,11.6,9.8,33.2,1.2,10.0,6.6,79.9930437496,80.0
Y1050381,5.2,12.0,17.4,26.0,68.0,1.8,6.970588235,6.4,63.7991880071,55.0
Y1050382,2.2,2.8,9.6,11.2,10.8,0.0,0.0,3.2,20.1399431809,20.0
