number_of_comp,pMAPC,pMSE
1,0.547837287853,285.908162667
2,0.631645165308,194.72618097
3,0.629370449318,198.18023738
4,0.626798036598,201.330771642
5,0.621536265244,206.652317789
6,0.617095956059,214.714642489
7,0.645051729012,175.43501614
