username,watched_time_weekday,forum_num_days,qz_mean,final_score
Y1050328,-0.007505951327088368,-0.09966720660769554,-1.017911275826949,71
Y1050329,-0.11511907205642395,-0.23772361700828373,0.5048294649490347,20
Y1050331,-0.751158203277628,0.03867481835124481,0.6475248812189734,10
Y1050332,0.30821755041853244,-0.4102243038158366,0.31688874963374436,40
Y1050333,-0.9238022872168601,0.1641467911646517,0.2772110637396053,10
Y1050334,-1.566046608102428,0.5464296599540428,-0.4153874635245542,20
Y1050335,-0.5384556945313801,-0.0652229302007309,0.6927701802643245,10
Y1050336,0.6432396234731721,-0.41547662952794207,-0.8961665382087955,50
Y1050337,-0.7953534227314693,0.08769021722327774,0.41573076952488464,10
Y1050339,-1.226963630659022,0.40137014821583095,-0.5100537729310344,20
Y1050344,-0.251841522247172,-0.020087798799585915,-0.7474154983276303,40
Y1050346,-0.6646084947664435,0.18359152303965023,-0.8518972587010585,50
Y1050349,0.49993253720468706,-0.43804419518735266,-0.1760736987729058,65
Y1050350,-0.8374802451208636,0.10141080471678651,0.462367972339378,10
Y1050351,1.1486097151932615,-0.7185588068113986,-0.3327602759431574,70
Y1050352,0.5295730910307486,-0.3092134792548415,-1.3317724397963482,80
Y1050353,-0.258198490633506,-0.052638492154810146,-0.4596567438634091,50
Y1050354,0.7610429477448197,-0.5923294013936417,0.09630199157315565,50
Y1050356,-0.07299224941426863,-0.25144420458411604,0.4581922618547182,30
Y1050357,-0.723737824214529,0.0643652183361305,0.3364475242365642,20
Y1050358,0.2555969665373647,-0.3584647874615667,0.09442207844658951,50
Y1050359,-2.035646845819458,0.8032405563887665,-0.7376721741404639,20
Y1050360,-0.26463134773651215,-0.15440674932015533,0.3896283605710023,30
Y1050361,-0.1845903850450061,-0.18047586560721612,0.301017675055571,30
Y1050362,0.83281032498373,-0.4772192734957021,-1.1060339517134854,80
Y1050364,1.190812427322783,-0.6630618310358493,-0.9409238281765461,72
Y1050365,1.8731151745567518,-1.0237704764812876,-0.5733938176841665,96
Y1050367,0.9444843490783787,-0.47897004858015746,-1.5103857146047044,90
Y1050368,-0.6689729550577641,0.046528454578104395,0.27581916052175814,20
Y1050371,0.5188516631237872,-0.4788272415303509,0.08370273472180823,40
Y1050372,0.7356909654934064,-0.6533146126747278,0.6858106633439706,50
Y1050376,0.49387912574436055,-0.19372463459598752,-2.134420341416266,90
Y1050377,-0.1802259239829926,-0.043412797604409664,-0.8266987433361275,40
Y1050378,0.6665232094308314,-0.31919660732707084,-1.764106523657074,93
Y1050380,0.5884747540636458,-0.3976398656875923,-0.8355381742141659,80
Y1050381,-0.18229432079467855,-0.00811798630820894,-1.1051300581245331,55
Y1050385,2.3951842174329796,-1.470776016055368,1.0944102621172174,40
Y1050386,0.06602626502680695,-0.29672214349380666,0.30428949195127913,30
Y1050387,-0.9175970975524954,0.05826235773478906,1.1125050072737037,10
Y1050390,-1.3913341281222034,0.38566287630317453,0.2333576679121011,10
Y1050396,-1.226963630659022,0.40137014821583095,-0.5100537729310344,20
Y1050400,-1.4396661404287232,0.5052678973088695,-0.5552990725276806,20
Y1050401,-1.5639782112907425,0.5111348486578422,-0.1369561487361485,10
Y1050403,-1.2670220572601842,0.37979592495420195,-0.18498525587943043,20
Y1050406,-2.0335784490077717,0.7679457450925656,-0.45924085935205816,10
Y1050407,1.9984455638011094,4.215497177487952,1.9023945856981108,10
Y1050411,-1.9493248039762219,0.7405045700232247,-0.5525152652608679,10
Y1050412,0.4787932365226247,-0.50040146479198,0.4087712517734124,30
Y1050413,-0.251841522247172,-0.020087798799585915,-0.7474154983276303,60
Y1050414,2.200806090030315,4.288073484499502,0.5554833124636706,53
Y1050415,-0.24563633258280765,-0.12597223222944845,0.08787844520646798,30
Y1050416,0.278880552495024,-0.26218476526069545,-0.7735179070016895,63
Y1050417,1.1464654299176646,-0.7524815594076424,-0.04966524104119681,62
Y1050418,0.39224352801144036,-0.6453181694803855,1.9081933916934442,20
Y1050420,0.011489063055922863,-0.0712326890582492,-1.3196611920226013,75
Y1050421,0.4893628872490025,-0.469222830219036,0.11634877691581198,60
Y1050423,-0.549025344487065,-0.09640156523241421,0.9851926559530427,10
Y1050424,-0.8942376218547101,0.22375994320471845,-0.31696132759347,30
Y1050427,1.8437022873986397,-0.9449485013598518,-1.1022741254603523,96
Y1050438,-0.9196654935934884,0.09355716857225037,0.8340736933164162,10
Y1050440,-0.7490898072366351,0.0033800075137834775,0.9259561951762608,10
Y1050444,-1.351275702291734,0.407237100023543,-0.09171084997062053,10
Y1050448,0.18597387559750586,-0.43965216330432516,1.0136629873825638,20
Y1050450,0.6597109061672141,-0.7670526818727107,1.8928103267441667,10
Y1050453,0.6155156874840656,-0.7180372834594171,1.6610162158811952,20
Y1050454,1.2076631561774356,-0.6685500660003233,-0.9595787091904137,90
Y9999984,1.0390799766269707,-0.6828852792130228,-0.21150354823372222,66
