username,watched_time_weekday,forum_num_days,qz_mean,final_score
Y1050274,2.214114769837113,-1.342559926218463,0.7334238859759021,80
Y1050275,-0.6268461324156082,0.03280786700227232,0.22918195742744124,20
Y1050276,1.5989113818540335,-1.2806744748244812,2.5373797476961615,40
Y1050278,1.50431575405268,-1.0767592441092921,1.238497581605004,54
Y1050279,2.750523180178976,4.074411035046775,0.227630988145254,70
Y1050280,0.006896935325960743,-0.4159484481150029,1.492634275168725,10
Y1050283,-0.2582743793501781,-0.12185605596493115,0.10186960610678059,20
Y1050286,1.1718174126870098,-0.6914963485029718,-0.6391739117010704,72
Y1050292,-0.007581840814453667,-0.1688847699590772,-0.45638492668787767,50
Y1050293,1.1486856046806273,-0.649341243460017,-0.8942866250822294,80
Y1050295,0.4345980180922376,-0.45138606646100987,0.17697714063061798,30
Y1050296,-0.624777735603923,-0.0024869442939284853,0.5076132722158472,20
Y1050301,-1.515646198984223,0.3915298276521473,0.6517005917036335,10
Y1050302,-1.9009927916697027,0.6208995490175299,0.23614147517891415,10
Y1050303,-0.6689729550577641,0.046528454578104395,0.27581916052175814,20
Y1050305,-1.1005831629853167,0.36020838557065765,-0.6499653819341608,20
Y1050306,-1.1323680031104288,0.1974549175829653,0.7888283934399469,10
Y1050307,-1.9009927916697027,0.6208995490175299,0.23614147517891415,10
Y1050308,-1.515646198984223,0.3915298276521473,0.6517005917036335,10
Y1050311,-0.07720493175431245,-0.25007214580183573,0.46285598224809676,20
Y1050313,-0.19937271708797372,-0.2102824419389427,0.5981038708578446,30
Y1050314,-1.3954709209748821,0.4562524984368365,-0.3235049608335915,30
Y1050315,-0.7679330436683701,0.11338061720816343,0.10465341254247507,20
Y1050316,-1.6081734304918227,0.5601502474475516,-0.36875026071006084,10
Y1050317,0.24724749134464222,-0.2865031065456244,-0.4577768299057249,55
Y1050318,-0.22028435033139454,-0.0649870209483621,-0.5016302265643469,40
Y1050319,1.62877960388943,-0.9441910687555017,-0.30289804046467167,76
Y1050322,3.6668195142870106,3.8105970380624616,-1.0674913511331254,99
Y1050323,0.6939435884939303,-0.29350620734218513,-2.075183880639484,88
Y1050324,0.7377593615343991,-0.6886094235121892,0.964241977301258,30
Y1050325,-0.2836263623722844,-0.18284126678727816,0.6913782770464775,20
