username,qz_mean,video_stop_backward_seek_sum,video_pause_backward_seek_avg,final_score
Y1050274,1.37730111132,-0.546788673522,-0.170988717261,80.0
Y1050275,0.404150133051,-0.546788673522,0.327519805872,20.0
Y1050276,-0.569000845217,-0.546788673522,-0.366142225058,40.0
Y1050277,-0.958261236525,-0.546788673522,-0.764753646451,10.0
Y1050278,-0.17974045391,-0.546788673522,-0.620810633026,54.0
Y1050279,0.988040720013,0.308444892756,1.1105319029,70.0
Y1050280,-0.958261236525,-0.546788673522,-0.476867620465,10.0
Y1050281,-0.958261236525,-0.546788673522,-0.188981593615,10.0
Y1050282,0.209519937398,-0.546788673522,-0.33292460704,10.0
Y1050283,-0.958261236525,0.308444892756,-0.0738271833936,20.0
Y1050284,0.209519937398,-0.546788673522,-0.764753646451,30.0
Y1050285,-0.958261236525,-0.546788673522,-0.764753646451,0.0
Y1050286,0.988040720013,0.308444892756,1.1640827293,72.0
Y1050287,1.76656150263,3.72937915787,0.193811912791,50.0
Y1050288,-0.958261236525,-0.546788673522,-0.764753646451,0.0
Y1050289,1.18267091567,-0.546788673522,1.75712794371,60.0
Y1050290,-0.958261236525,-0.546788673522,-0.764753646451,0.0
Y1050291,1.76656150263,-0.546788673522,0.892647333342,40.0
Y1050292,0.598780328705,-0.546788673522,-0.191598739283,50.0
Y1050293,2.7397124809,0.308444892756,-0.181072636986,80.0
Y1050294,0.014889741744,0.308444892756,-0.166836515225,40.0
Y1050295,0.793410524359,-0.546788673522,1.26353426638,30.0
Y1050296,-0.958261236525,-0.546788673522,-0.411438977921,20.0
Y1050297,-0.569000845217,-0.546788673522,-0.764753646451,10.0
Y1050298,-0.17974045391,-0.546788673522,-0.548839126745,10.0
Y1050299,-0.17974045391,-0.546788673522,-0.764753646451,10.0
Y1050300,-0.569000845217,-0.546788673522,0.242847445795,10.0
Y1050301,-0.958261236525,-0.546788673522,-0.117010087335,10.0
Y1050302,-0.958261236525,0.308444892756,-0.678387838569,10.0
Y1050303,-0.17974045391,1.16367845903,0.0248765967963,20.0
Y1050304,-0.958261236525,-0.546788673522,-0.476867620465,10.0
Y1050305,0.793410524359,-0.546788673522,-0.284943602277,20.0
Y1050306,-0.763631040871,-0.546788673522,-0.764753646451,10.0
Y1050307,-0.958261236525,-0.546788673522,-0.764753646451,10.0
Y1050308,-0.958261236525,0.308444892756,4.07173159495,10.0
Y1050309,-0.958261236525,-0.546788673522,-0.764753646451,0.0
Y1050310,-0.958261236525,-0.546788673522,-0.33292460704,10.0
Y1050311,-0.17974045391,-0.546788673522,0.222855360765,20.0
Y1050312,-0.17974045391,-0.546788673522,-0.764753646451,10.0
Y1050313,-0.374370649563,-0.546788673522,-0.764753646451,30.0
Y1050314,-0.763631040871,1.16367845903,-0.372181792048,30.0
Y1050315,-0.17974045391,0.308444892756,0.271636048135,20.0
Y1050316,-0.958261236525,-0.546788673522,0.109186076248,10.0
Y1050317,0.598780328705,1.16367845903,0.38351902692,55.0
Y1050318,1.18267091567,2.87414559159,1.50748963239,40.0
Y1050319,1.37730111132,0.308444892756,-0.419290414922,76.0
Y1050320,-0.17974045391,0.308444892756,-0.68623927557,10.0
Y1050321,0.988040720013,-0.546788673522,-0.764753646451,20.0
Y1050322,2.93434267655,-0.546788673522,1.47028877582,99.0
Y1050323,2.54508228524,0.308444892756,0.623268265817,88.0
Y1050324,0.404150133051,-0.546788673522,1.09211122302,30.0
Y1050325,-0.17974045391,-0.546788673522,0.962562511192,20.0
Y1050326,0.404150133051,-0.546788673522,1.43364873561,20.0
Y1050327,-0.958261236525,1.16367845903,-0.602817756672,0.0
Y1050328,1.57193130697,-0.546788673522,4.77705235961,71.0
Y1050329,0.988040720013,-0.546788673522,-0.215153051151,20.0
Y1050330,-0.958261236525,0.308444892756,-0.00905282748203,10.0
Y1050331,-0.958261236525,-0.546788673522,-0.224967347187,10.0
Y1050332,0.404150133051,2.01891202531,0.378611878039,40.0
Y1050333,-0.763631040871,-0.546788673522,-0.764753646451,10.0
Y1050334,-0.17974045391,-0.546788673522,-0.0450385810541,20.0
Y1050335,-0.17974045391,1.16367845903,0.929344893175,10.0
Y1050336,1.18267091567,-0.546788673522,-0.440881866893,50.0
Y1050337,-0.17974045391,-0.546788673522,-0.592022030687,10.0
Y1050338,-0.17974045391,-0.546788673522,-0.764753646451,10.0
Y1050339,0.209519937398,-0.546788673522,-0.764753646451,20.0
Y1050340,-0.569000845217,-0.546788673522,1.10650552462,10.0
Y1050341,-0.374370649563,-0.546788673522,0.674676485206,20.0
Y1050342,1.18267091567,-0.546788673522,-0.33292460704,50.0
