evaluation_num,kfold_split_num,username,exam_mean,label_val_predict,label_val_test
1,1,Y1050276,3.0,24.7255933596,40.0
1,1,Y1050281,1.2,7.68006547735,10.0
1,1,Y1050285,0.0,0.0,0.0
1,1,Y1050288,0.0,0.0,0.0
1,1,Y1050292,5.0,43.6650687844,50.0
1,1,Y1050296,2.4,19.0437507322,20.0
1,1,Y1050308,0.0,0.0,10.0
1,1,Y1050332,5.0,43.6650687844,40.0
1,1,Y1050358,4.6,39.8771736995,50.0
1,1,Y1050373,2.8,22.8316458172,20.0
1,1,Y1050377,5.8,51.2408589543,40.0
1,1,Y1050415,4.2,36.0892786145,30.0
1,1,Y1050422,5.6,49.3469114119,40.0
1,1,Y1050424,2.8,22.8316458172,30.0
1,1,Y1050435,1.8,13.3619081048,10.0
1,1,Y1050437,0.0,0.0,0.0
1,1,Y1050443,0.0,0.0,0.0
1,1,Y1050446,0.0,0.0,0.0
1,1,Y1050448,3.2,26.6195409021,20.0
1,2,Y1050283,3.8,32.7901771102,20.0
1,2,Y1050284,3.6,30.9050863054,30.0
1,2,Y1050287,7.8,70.4919932064,50.0
1,2,Y1050290,0.0,0.0,0.0
1,2,Y1050291,6.8,61.0665391824,40.0
1,2,Y1050314,2.0,15.8243598669,30.0
1,2,Y1050326,3.0,25.2498138909,20.0
1,2,Y1050330,2.6,21.4796322813,10.0
1,2,Y1050333,2.2,17.7094506717,10.0
1,2,Y1050344,6.0,53.5261759631,40.0
1,2,Y1050369,2.4,19.5945414765,10.0
1,2,Y1050371,4.8,42.2156311342,40.0
1,2,Y1050376,9.0,81.8025380353,90.0
1,2,Y1050378,8.4,76.1472656209,93.0
1,2,Y1050393,0.0,0.0,0.0
1,2,Y1050409,1.2,8.28399664762,10.0
1,2,Y1050436,0.8,4.513815038,10.0
1,2,Y1050447,1.4,10.1690874524,10.0
1,2,Y1050450,2.4,19.5945414765,10.0
1,3,Y1050278,5.0,43.467451833,54.0
1,3,Y1050286,7.2,63.9832252628,72.0
1,3,Y1050302,0.0,0.0,10.0
1,3,Y1050319,7.4,65.8482955746,76.0
1,3,Y1050324,4.6,39.7373112093,30.0
1,3,Y1050325,2.8,22.9516784031,20.0
1,3,Y1050336,7.0,62.118154951,50.0
1,3,Y1050349,5.0,43.467451833,65.0
1,3,Y1050356,3.6,30.4119596503,30.0
1,3,Y1050368,2.8,22.9516784031,20.0
1,3,Y1050388,3.4,28.5468893385,20.0
1,3,Y1050405,0.8,4.30097528502,10.0
1,3,Y1050406,1.2,8.03111590864,10.0
1,3,Y1050411,1.6,11.7612565322,10.0
1,3,Y1050418,1.4,9.89618622044,20.0
1,3,Y1050419,1.4,9.89618622044,10.0
1,3,Y1050439,2.4,19.2215377795,10.0
1,3,Y1050442,2.0,15.4913971559,10.0
1,3,Y1050444,2.0,15.4913971559,10.0
1,4,Y1050295,5.6,48.4584988629,30.0
1,4,Y1050313,2.6,20.9891583916,30.0
1,4,Y1050327,0.0,0.0,0.0
1,4,Y1050341,3.0,24.6517371211,20.0
1,4,Y1050342,5.8,50.2897882277,50.0
1,4,Y1050345,1.2,8.17013283825,10.0
1,4,Y1050346,3.8,31.9768945801,50.0
1,4,Y1050354,6.0,52.1210775925,50.0
1,4,Y1050362,7.6,66.7713925105,80.0
1,4,Y1050365,8.4,74.0965499696,96.0
1,4,Y1050381,6.4,55.783656322,55.0
1,4,Y1050382,3.2,26.4830264858,20.0
1,4,Y1050397,2.8,22.8204477563,20.0
1,4,Y1050399,0.0,0.0,0.0
1,4,Y1050421,4.8,41.1333414039,60.0
1,4,Y1050425,1.2,8.17013283825,10.0
1,4,Y1050445,4.2,35.6394733096,20.0
1,4,Y1050454,7.6,66.7713925105,90.0
1,5,Y1050294,5.0,43.4418602795,40.0
1,5,Y1050312,2.0,15.6121110048,10.0
1,5,Y1050323,9.6,86.1141425007,88.0
1,5,Y1050334,2.2,17.4674276231,20.0
1,5,Y1050339,3.2,26.7440107147,20.0
1,5,Y1050350,2.0,15.6121110048,10.0
1,5,Y1050361,3.4,28.599327333,30.0
1,5,Y1050364,7.8,69.4162929359,72.0
1,5,Y1050384,3.4,28.599327333,30.0
1,5,Y1050391,2.4,19.3227442414,10.0
1,5,Y1050403,2.4,19.3227442414,20.0
1,5,Y1050404,1.6,11.9014777682,10.0
1,5,Y1050413,4.6,39.7312270429,60.0
1,5,Y1050416,6.4,56.4290766077,63.0
