username,active_num_days,seek_video_sum,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,Problem_num_day,hw_mean,final_score
Y1050274,11.5014537018,-9.6897123643,-7.7022491479,5.71368168562,-1.90529725106,-1.20797875055,-0.425214321468,80.0
Y1050275,0.950276156759,-8.92602186782,6.34192075385,0.734677742599,0.79361231942,-1.092466821,-0.250901759074,20.0
Y1050276,1.8780534316,-17.0689311565,-7.73739024356,4.06301513279,-2.80165175948,-0.630110361788,0.214329022213,40.0
Y1050277,9.16069510354,-16.1117343449,-2.26355025943,-2.79538205364,0.485323779216,-0.774900927638,-0.00688199334668,10.0
Y1050278,-24.8436503113,-5.7318250453,1.27941681605,6.00705573915,-2.32803286591,0.457674480576,0.322545222951,54.0
Y1050279,93.0627151308,-46.6388119376,-21.5056765399,3.46354304264,-1.5406704361,-0.325774797817,0.242809967397,70.0
Y1050280,-29.2943385472,-5.23143921793,-2.04587246418,-0.693102721587,-0.428254510473,1.2921851374,0.247446419501,10.0
Y1050281,-33.1327402116,-3.87935506864,-0.747064639374,-1.53517783601,-0.523881419525,-0.478497411703,-0.0126263181014,10.0
Y1050282,-28.4273864906,-1.82551072181,-1.1704365196,-1.26637241088,0.0483399015441,0.0706923980295,-0.0413137031011,10.0
Y1050283,-29.0108782744,-0.310332150036,2.2674611277,-0.525446509699,0.0623035821034,0.662184170906,0.0595316316326,20.0
Y1050284,-22.7832823097,-7.76775172033,-2.98813440157,-1.07415160658,0.260229295404,1.56895998044,-0.0977284049746,30.0
Y1050285,-38.7449300322,-2.19002024686,0.00145469981392,-1.59698339253,-0.977804428551,-0.676269662372,0.00194040253982,0.0
Y1050286,65.0446394,-31.1667928777,-20.4354239303,-0.425580460554,0.172409932449,0.507264043771,0.291165103311,72.0
Y1050287,6.87829114963,-8.32574862368,7.15826672074,-0.136888548076,4.06113215171,-0.242653245024,-0.152286601511,50.0
Y1050288,-38.7449300322,-2.19002024686,0.00145469981392,-1.59698339253,-0.977804428551,-0.676269662372,0.00194040253982,0.0
Y1050289,165.842404105,-4.18514304874,73.7920461839,-7.00756064279,-2.68532242525,0.461446149108,-0.326007982029,60.0
Y1050290,-38.7449300322,-2.19002024686,0.00145469981392,-1.59698339253,-0.977804428551,-0.676269662372,0.00194040253982,0.0
Y1050291,-15.716318474,-9.29238586184,-4.41202163695,-1.43552568338,0.89340965048,-0.0838462588761,-0.0449934924846,40.0
Y1050292,3.97477355387,33.0575163853,-1.01612616787,3.13691912989,-1.0283410001,1.38188100057,0.315010203629,50.0
Y1050293,17.1010704508,-19.7532182202,-10.0001426664,4.81342203615,-2.51240571655,-0.893135326848,-0.575799383452,80.0
Y1050294,-2.07431446096,2.53159640173,-1.82152719174,-1.40171523861,1.28600964522,0.984686697117,-0.0833065106408,40.0
Y1050295,-14.3970474584,1.29884375185,-2.93364932655,0.840520867225,3.47968174263,0.525444174653,-0.0163266388716,30.0
Y1050296,-16.8634122762,3.94195466553,3.50829372927,0.960267622414,0.842077920283,-0.0999901813338,-0.173355587234,20.0
Y1050297,-38.5556085,-2.27025897488,-0.0434368546688,-1.41086556483,-0.875655445114,-0.119407005204,-0.0211587915253,10.0
Y1050298,-31.0639358526,-2.00307148772,0.30433093589,-1.40743786613,-0.348150114372,-0.184028144289,-0.0288944216841,10.0
Y1050299,-32.1607960875,2.11497710417,1.04173650415,-1.54634002159,-0.57490140437,-0.506124824462,-0.0101802540779,10.0
Y1050300,-31.4999868424,6.97306805232,0.162544000427,-0.930552216142,0.172511857443,0.415523860384,-0.0554187219381,10.0
Y1050301,-23.9898041016,14.9099052606,-3.20928955745,-0.146651511997,-1.0227041056,-0.447693727325,-0.0779912794195,10.0
Y1050302,-22.5387048841,-3.5133552285,1.10421863961,1.20653461694,-1.18181405102,-0.296417616921,-0.11338701862,10.0
Y1050303,10.6170512216,30.7871758636,4.44961148103,-0.41248555239,-0.609383862793,-0.0328106792334,-0.172905088221,20.0
Y1050304,-23.7915683012,-0.248547954473,-2.49013213878,-1.88769885173,-0.526847545051,-0.136204578431,-0.00832713290225,10.0
Y1050305,-16.7181027136,-1.23263550025,-3.05071078191,1.38860204271,0.0657817452383,0.796986709345,-0.300095429605,20.0
Y1050306,-25.529722806,-3.36404791415,1.26271881649,2.56944109026,-0.860020475323,1.20063743638,0.528474755641,10.0
Y1050307,-33.7736507685,-0.643559565139,-1.32625716637,0.0187806850123,-1.20593718685,-0.668992806923,-0.0777853890889,10.0
Y1050308,94.7500058157,-0.150931979394,-0.643423021723,-4.35573616742,-1.68422836175,2.418420427,-0.149350949623,10.0
Y1050309,-38.7449300322,-2.19002024686,0.00145469981392,-1.59698339253,-0.977804428551,-0.676269662372,0.00194040253982,0.0
Y1050310,-35.2525135416,-3.38501898159,0.550311657812,-1.19962048902,-0.303578106216,-0.166520502917,-0.0359872133502,10.0
Y1050311,69.207780835,22.942989296,-11.6103364615,-0.0714865538415,8.49506500095,0.339887080741,-0.00545614072029,20.0
Y1050312,-34.7575247175,-1.92007546507,-0.968476740506,-0.966569761317,0.379209348413,-0.592749432139,-0.0308971730346,10.0
Y1050313,-16.4416952755,-3.6546036588,2.88694291102,0.823326780649,0.42015623366,-0.602316789853,0.214482910658,30.0
Y1050314,-14.8598596744,-1.55941146802,-0.745690075686,1.47761606901,0.906989869493,-1.78457428622,0.542803287064,30.0
Y1050315,83.8047014106,47.8744116566,-11.4594740394,-4.23362485594,-0.217434243673,-1.25138266166,0.234098724676,20.0
Y1050316,-6.6872909309,-11.2445193167,-1.47538162394,-0.873994345095,-0.0852322807879,0.322295297936,0.167329049214,10.0
Y1050317,32.8702194553,-18.9973748461,4.92443234946,3.23839155771,-0.0511211139725,-0.607663477051,-0.0541686802757,55.0
Y1050318,55.9088801781,-12.1905360548,29.3082708798,2.81392428911,1.53229690943,0.0687849897196,0.826665120785,40.0
Y1050319,-8.70814373097,7.57317471727,-8.5470845164,2.32948329935,-0.912564797537,-1.44405370843,-0.133102327289,76.0
Y1050320,-24.8838396517,9.9260820084,0.109024514259,-0.128456024561,1.08500279023,2.60137425187,-0.152890018765,10.0
Y1050321,-37.3167870702,-1.75774234959,-0.494190053961,-1.541575893,-0.814491667095,-0.54172464903,-0.00409018827141,20.0
Y1050322,73.5868410236,-31.8587424144,-7.35164555481,4.02938126424,-0.594860015315,0.077397843475,0.152122129644,99.0
Y1050323,49.3635057022,-9.25296661882,34.6635634438,6.28695538079,-2.47661632604,1.19361560558,0.305789327474,88.0
Y1050324,111.610073575,109.243635386,14.4929372446,-4.60992832543,-2.0059171271,-0.828609768415,0.131111060364,30.0
Y1050325,-0.447130855723,-5.66887234073,-0.891254052735,0.999400543817,1.82528461541,-0.640175170249,-0.0206803647422,20.0
Y1050326,-15.2665346701,-2.05391605483,0.80080454603,-1.37583611958,0.742128391873,-0.130786156128,-0.0513457724861,20.0
Y1050327,-22.7317431375,-7.17200952234,1.81733694694,-0.55450889435,2.06742387048,-1.3520287705,-0.0562072986786,0.0
Y1050328,176.376242091,171.660827668,-49.9274404449,-1.60194288042,-4.20726606341,-0.0439084946903,0.0111948767971,71.0
Y1050329,-2.76059362617,26.0353734555,-1.87966841698,0.99035960945,2.14171244452,1.27018683719,-0.153838640713,20.0
Y1050330,-18.9116735256,-10.0108638839,-3.33842406891,-1.1101183223,0.541234434959,1.4419504506,-0.098944918433,10.0
Y1050331,-7.94092541081,2.26364824439,1.0367049484,-0.470963495637,1.67758495392,0.0636178506342,0.0393483657823,10.0
Y1050332,41.5595822507,33.650011704,11.249943047,4.09600757076,1.81778588065,-1.97665217174,0.160039505532,40.0
