username,forum_num_days,qz_mean,video_stop_backward_seek_sum,mt_online_num_day,final_score
Y1050274,1.27631739301,0.281054639665,-1.14802515299,-0.20468872686,80.0
Y1050275,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,20.0
Y1050276,0.993219198839,0.320291343433,-0.749362437866,-1.78280305284,40.0
Y1050277,-0.652105974113,0.276023570628,-0.216072039092,0.254446762623,10.0
Y1050278,2.1356180076,0.317560996636,-1.3388588907,-1.81972128616,54.0
Y1050279,5.62800157273,6.78667858352,4.76436861852,-0.436445180875,70.0
Y1050280,-0.937205374657,0.28441698074,-0.0184402055304,-0.0537924558596,10.0
Y1050281,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050282,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050283,0.0992115940034,-0.259529028585,-0.0744613569547,0.858781798348,20.0
Y1050284,-0.794655674492,0.280220275687,-0.117256122237,0.100327153266,30.0
Y1050285,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,0.0
Y1050286,1.5999858602,-0.241907844376,-0.709966720436,-0.0627125189743,72.0
Y1050287,0.669410395306,-0.276315848815,-0.469725024226,1.47526023554,50.0
Y1050288,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,0.0
Y1050289,1.16833434631,-0.291004316512,-0.815580732996,2.01467886795,60.0
Y1050290,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,0.0
Y1050291,0.0606425273557,0.255040045345,-0.71015162307,1.02504480894,40.0
Y1050292,0.419017984571,0.275391576357,-0.756160533571,0.140468724726,50.0
Y1050293,1.81381041066,-0.248202901962,-0.858190595645,0.168466894945,80.0
Y1050294,0.461449128058,-1.29706058656,0.999287341568,0.834494995869,40.0
Y1050295,0.203192227735,0.250843340286,-0.808967539925,1.1791644183,30.0
Y1050296,-0.794655674492,0.280220275687,-0.117256122237,0.100327153266,20.0
Y1050297,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050298,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050299,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050300,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050301,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050302,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050303,-0.574967840816,-0.753114577233,1.05530849314,-0.0780792585699,20.0
Y1050304,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050305,-0.723380824195,0.278121923154,-0.166664080739,0.17738695806,20.0
Y1050306,-0.293730516897,0.29637510164,-0.262080949593,-0.630129321595,10.0
Y1050307,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
Y1050308,-0.574967840816,-0.753114577233,1.05530849314,-0.0780792585699,10.0
Y1050309,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,0.0
Y1050310,-1.07975507504,0.288613685799,0.0803757113245,-0.207912065216,10.0
