username,video_stop_avg,forum_num_days,problem_avg_count,video_backward_seek_avg,qz_mean,watched_time_hour,final_score
Y1050274,0.711579668094,-0.571809396156,-1.341370378,0.0845328588056,0.571945885084,0.378465572514,80.0
Y1050275,-0.746374333955,0.149577420229,-0.0257391670763,0.311003207956,0.439884481562,-0.021391010337,20.0
Y1050276,0.0727882576305,-0.752214214632,-0.628276229254,-0.77959127818,-1.5294239367,-0.321781576365,40.0
Y1050277,-1.48852131905,0.141333651039,0.224519509776,0.100453936664,0.267031597309,0.789895606707,10.0
Y1050278,0.828260123538,-0.635284168532,0.913553278191,-0.682836730986,0.284895066764,0.51269298345,54.0
Y1050279,0.800690015304,-0.574794830048,-0.973763540598,-0.0551816502989,0.283267114886,0.0787895219227,70.0
Y1050280,-0.0633883161901,-0.550925317378,2.4889632692,-1.77625665615,-0.806140822201,-1.31114129176,10.0
Y1050281,-0.977449259246,0.0667648018973,0.87992685726,-0.128170908765,-0.0928238704358,0.311734849082,10.0
Y1050282,-0.600435310097,-0.120534713648,0.385701627568,-0.324610021528,0.0167284119897,-0.358032538706,10.0
Y1050283,-0.860663522369,-0.0340789325543,0.0850193295865,-0.158342804319,0.397816360361,-0.186134969756,20.0
Y1050284,-0.666398070789,-0.022106211713,-0.104935905817,0.16925702635,1.06848319784,0.694594659795,30.0
Y1050285,-2.01972183121,0.291488104787,0.0672508293246,0.0400579124777,-0.0697738247058,-0.0411242468007,0.0
Y1050286,0.480116804695,-0.421999663215,-0.116972777285,-0.559646448542,0.271829232919,-1.50936884722,72.0
Y1050287,1.2015895931,-0.401593331337,0.262375457608,-0.340684391957,0.77784437301,-1.35631426794,50.0
Y1050288,-2.01972183121,0.291488104787,0.0672508293246,0.0400579124777,-0.0697738247058,-0.0411242468007,0.0
Y1050289,2.92753540197,6.17162279252,-1.48201432722,-0.125815813772,-0.438080817187,-1.37948600553,60.0
Y1050290,-2.01972183121,0.291488104787,0.0672508293246,0.0400579124777,-0.0697738247058,-0.0411242468007,0.0
Y1050291,3.14986726063,-2.05270360601,-0.893046377726,-2.02556024214,-2.06035236116,-1.23057050246,40.0
Y1050292,1.3328516292,-0.159277727126,-0.72068445203,1.11863993823,0.131888575237,1.06781227677,50.0
Y1050293,3.83460557489,-1.80054966808,-0.00739819204412,-1.3881296024,0.339735635783,0.192068252068,80.0
Y1050294,0.464715301168,-0.528779065338,0.564301669008,-0.705103138896,0.405865903209,-0.238470061288,40.0
Y1050295,1.89043491263,-0.947472017756,-0.462243115561,-0.131734547498,0.748114741,1.65017536413,30.0
Y1050296,-0.32641989508,-0.304534402215,-0.21463493732,-0.220413918531,-0.797466361892,-0.0242798079225,20.0
Y1050297,-1.89655492455,0.260084627635,-0.0417507161102,0.0271946738113,0.0918386950308,-0.169465646383,10.0
Y1050298,0.135700410835,-0.179928958996,1.06676645317,-0.146292984418,0.216675393114,0.570031317636,10.0
Y1050299,-1.77338801808,0.22868115053,-0.150752261381,0.0143314351643,0.253451214525,-0.297807045773,10.0
Y1050300,-0.0311172642898,-0.140581229292,0.735111959999,-0.092805313487,-0.741972083286,0.021061982828,10.0
Y1050301,-1.38860036804,0.121809181008,0.0825545698902,0.146001566822,0.00851523911839,0.681038436821,10.0
Y1050302,-1.41022333641,0.0627554315851,0.456292104434,-0.200475120165,-0.138811322106,0.206525032941,10.0
Y1050303,0.857668086021,0.00580005148267,1.25733966441,0.459040111542,-0.185715518704,0.488212517809,20.0
Y1050304,-1.47753137779,0.100379993995,0.081069000514,0.0622070582607,0.0562640229583,0.670723705909,10.0
Y1050305,-0.0555449341761,-0.34364327818,-0.525569954482,-0.0489629348548,0.227957466884,0.404391930227,20.0
Y1050306,-0.627970966709,0.088498871398,0.157960387093,0.45171613232,0.515815069641,1.13587860844,10.0
Y1050307,-1.2250997002,-0.0325101769709,0.134549980869,-0.14179030513,-0.390537539139,0.357888355658,10.0
Y1050308,-0.0212415391353,0.571525507338,0.938155445435,1.24537280415,-0.597867555143,0.282790927321,10.0
Y1050309,-2.01972183121,0.291488104787,0.0672508293246,0.0400579124777,-0.0697738247058,-0.0411242468007,0.0
Y1050310,-1.41726416174,0.113938181217,0.49504960678,-0.181312524455,-0.358005697592,-0.123611533693,10.0
Y1050311,0.372076226162,-0.257876000311,-0.335737008853,0.16098340603,-0.595786367891,-0.149973327986,20.0
Y1050312,-1.6516543745,0.194270700362,-0.114711465011,0.0281722126353,0.330635912689,-0.107364694289,10.0
Y1050313,-1.06485815863,0.291464923809,-0.171123681922,0.497197175354,0.127432490488,-0.0987886105252,30.0
Y1050314,-0.323543223861,-0.483352123672,-0.486590296316,-0.386744089329,-1.03389124871,0.247964998812,30.0
Y1050315,0.184664896363,0.339679614206,0.208217313366,1.12285033942,0.150222291397,0.456570954287,20.0
Y1050316,0.787462311303,-0.862280772369,-0.682098254128,-0.401418876855,-1.39373790234,0.845479983909,10.0
Y1050317,0.674818258053,-0.20890858427,-0.461176546743,0.246062568162,-0.337221778083,-0.826815945074,55.0
Y1050318,2.29965398644,0.0755563390178,1.2466901269,0.753298011825,-0.149073114229,-1.42891779897,40.0
Y1050319,1.05941063159,-0.959837530907,-1.58689039296,-0.45674324428,-0.0194250416739,0.0495131241593,76.0
Y1050320,0.446947192469,-0.54132197249,-0.0522866321929,-0.242251326338,-0.816120059552,0.616660666142,10.0
Y1050321,-1.03438657847,0.0402602877111,-0.804761533663,-0.0628479967951,1.22312633246,-1.06785544288,20.0
Y1050322,3.24120888602,4.92446062435,-1.05045621929,-2.35172952401,2.34054025906,0.100020959173,99.0
Y1050323,3.08649978102,-0.0343902849927,-0.560051897738,1.63862081867,1.69410035956,-0.189750901414,88.0
Y1050324,1.05480602229,1.2372594871,0.0213871623289,2.93597739909,0.127218264085,-0.910613297855,30.0
Y1050325,1.16425810175,-0.308899732206,-0.965903785754,0.873850498161,-0.429768215838,1.01976851627,20.0
Y1050326,1.22370327693,-0.410394039796,-0.554736172205,0.455650280553,-0.702840870538,0.450493881407,20.0
Y1050327,-1.04498834733,-0.163670903464,-0.100611757474,-0.272870887766,-0.993411136089,0.0165320478946,0.0
Y1050328,2.5956123448,-0.833172708837,-2.71722064454,0.763978452386,-1.75538149727,-0.68294943259,71.0
Y1050329,0.855795700877,-0.723476688379,-2.23375902067,0.0967288125517,-1.24133093637,-0.421078965361,20.0
Y1050330,1.18389289553,-0.697326471551,2.15235362935,-0.829789087331,0.580732795688,1.58330395022,10.0
Y1050331,0.362797419236,0.0950026982496,0.412441728941,1.02876980285,0.534083498075,2.1099446249,10.0
Y1050332,2.90356968104,-0.612882858394,0.805814168984,0.337725832634,-0.360905363144,0.571646380962,40.0
Y1050333,-1.49723488498,0.036813577008,-0.272098021822,-0.0273958297742,-0.322025934516,0.224139318255,10.0
Y1050334,-1.12154613518,0.0551165547959,0.268709187022,-0.0885977671504,0.30926452196,0.0945688075937,20.0
Y1050335,-0.46585712904,-0.105984006521,0.264662030564,-0.0167484080073,0.0450995685781,0.426830039479,10.0
Y1050336,-0.154991650389,-0.143538752016,-0.839368150089,0.0967276070261,1.69115772388,-0.403582256902,50.0
Y1050337,-0.750483134462,0.113614937636,0.473920501757,0.156700702873,0.358998612005,0.300111195555,10.0
Y1050338,-1.77338801808,0.22868115053,-0.150752261381,0.0143314351643,0.253451214525,-0.297807045773,10.0
Y1050339,-1.65022111141,0.197277673378,-0.259753806816,0.00146819649797,0.415063734262,-0.426148445356,20.0
Y1050340,0.622369399722,-0.146322658285,0.728755079742,0.525832441936,0.214418508919,1.79732553194,10.0
Y1050341,-0.369040837239,-0.165839483036,-0.794293387965,0.132774153209,0.451460594001,-0.000112922788384,20.0
Y1050342,-0.185368107649,-0.21449202931,-1.00734501153,-0.0577898675726,1.83624934547,-0.626117043127,50.0
Y1050343,-2.01972183121,0.291488104787,0.0672508293246,0.0400579124777,-0.0697738247058,-0.0411242468007,0.0
Y1050344,1.81277408427,-0.994388928842,0.452558084139,-0.76771512641,1.20488316847,0.8974988732,40.0
Y1050345,-1.69179160066,0.173591795631,-0.250728943456,-0.00981131294695,0.120949175592,-0.285541681416,10.0
Y1050346,-1.35716065905,0.171433795663,-0.0539981172983,0.0488307813158,0.191282286251,-0.324071312203,50.0
Y1050347,0.998073609442,-0.668649204541,0.121988260449,-0.640611500428,0.118477347421,-0.512486029318,20.0
Y1050348,-2.01972183121,0.291488104787,0.0672508293246,0.0400579124777,-0.0697738247058,-0.0411242468007,10.0
Y1050349,-0.949669407933,-0.11177511345,-0.879448115918,-0.110816582444,0.380221733048,-0.563530210637,65.0
Y1050350,2.39025156816,1.91856889532,2.37860859495,4.27044220888,-1.41306983858,-0.285664803353,10.0
Y1050351,1.45364833884,-0.318766782296,0.463399334354,0.336699471934,1.48570510064,0.897059263192,70.0
Y1050352,2.40637019881,-0.966732424193,0.227976633594,-0.479702392367,0.906361307525,0.418956372278,80.0
Y1050353,0.82135639053,-0.0557716946207,0.374371428305,0.534189733088,0.120100685883,0.216906171286,50.0
Y1050354,1.77850380375,-0.506878704735,0.250958189909,-0.191160893006,0.0433862035445,-1.15544564666,50.0
Y1050355,-1.52742588785,0.172231208363,-0.00545245455903,0.103094895903,0.172715480669,0.269684904221,10.0
Y1050356,0.495318664299,-0.173751655835,-0.28120316043,0.268007716097,-1.02432870553,-0.648964045428,30.0
Y1050357,-0.616515735028,0.324643367214,-0.232346524891,0.756582810451,-0.695547695635,-0.41116974626,20.0
Y1050358,0.841286653407,-0.676062756708,-0.879747396852,0.039901924882,-0.0851539837305,1.2440209858,50.0
Y1050359,-1.7148174494,0.137385609905,-0.264426053459,-0.0265778106182,-0.203279482593,-0.14214733486,20.0
Y1050360,0.622056116761,0.0770606578719,-0.191464827957,0.904940097692,-0.907816363754,-0.030442734938,30.0
Y1050361,0.652461316746,-0.383185604879,0.948632080006,-0.191121790519,1.05478150225,1.17269225157,30.0
Y1050362,2.10606540666,-0.646177551037,-0.0732869073308,-0.0688795720273,1.46862955225,-0.128156685232,80.0
Y1050363,-2.01972183121,0.291488104787,0.0672508293246,0.0400579124777,-0.0697738247058,-0.0411242468007,0.0
Y1050364,1.16942547654,-0.103819238223,-0.837797620541,0.752650949421,1.67714139936,-0.330208001016,72.0
Y1050365,2.03233514591,-0.727048397939,-0.556619419505,-0.0362709931289,1.05849180589,-0.012556923882,96.0
Y1050366,0.611673059522,-0.457769505749,-1.13790022406,0.461475602535,-1.92073536373,0.766416030427,10.0
Y1050367,1.19216686968,-0.761539582356,-1.45009894432,-0.250601853833,0.682531376481,-0.50351353668,90.0
Y1050368,0.392509387479,-0.306665965778,1.18154318003,-0.459891021944,-0.647170857207,-0.306341963298,20.0
Y1050369,-0.148028696443,-0.542392100296,-0.934851831667,-0.267975790586,-1.86919287461,0.0236140855578,10.0
Y1050370,-0.248757212073,0.135407937346,1.13796572965,0.100923402923,0.0457310393159,-0.176592248906,20.0
Y1050371,-1.26809395689,0.0931746963284,-0.448838488567,-0.0118571396582,0.807639063183,-0.480883240399,40.0
Y1050372,1.54433463628,-0.927909096509,-0.793567399269,-0.390822818543,-0.95219636719,0.0311089702311,50.0
Y1050373,-1.01553654554,-0.141720467704,0.24899394341,-0.489060547446,-0.258452685888,-0.413542590259,20.0
Y1050374,0.46743515756,-0.33645039289,0.339462759955,-0.169571353815,0.442369117654,0.176129534403,30.0
Y1050375,0.425086498193,0.0636907857499,-0.0992143433772,0.756706313082,-0.973654462762,-0.0867973087851,30.0
Y1050376,2.52119575466,-0.580276512174,-0.054038650323,0.0660386326269,1.54358780548,-0.784569633077,90.0
