username,active_num_days,seek_video_sum,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,Problem_num_day,hw_mean,exam_mean,predict_score,real_score
Y1050274,0.366777261628,0.268100119508,-0.120532774234,-0.261475842133,0.36678167821,1.18332819737,2.25958337022,1.39138636212,77.3943524903,80.0
Y1050275,-0.336052464842,0.371825958557,-0.34530347075,0.28915797962,0.0668831152949,-0.341665183748,0.117358468538,-0.122807810366,27.8408862022,20.0
Y1050276,0.132500686138,-0.406117834308,-0.495150601761,-0.459704017965,0.24026197198,1.94582488793,1.75955643415,-0.122807810366,44.8160209016,40.0
Y1050277,-0.804605615823,-0.198666156211,-0.405242323154,-0.0522349898669,0.357409848119,-0.722913529028,-0.687837886,-0.361891100758,14.9264107051,10.0
Y1050278,0.835330412608,-0.354254914784,-0.540104741064,-0.382615282919,-0.471997114943,2.32707323321,1.7496927786,0.674136490943,57.9907830112,54.0
Y1050279,1.42102185133,0.786729314752,-0.180471626638,0.190043891705,2.48012936375,2.70832157849,2.54804496447,1.0726086416,71.2394223011,70.0
Y1050280,0.132500686138,-0.872884110027,-0.547597097614,-0.624894164491,-0.542285840626,0.0395831615318,-0.546928523888,-0.680668821281,10.0694947485,10.0
Y1050281,-1.03888219131,-0.872884110027,-0.562581810715,-0.613881488056,-0.640690056582,-0.722913529028,-0.687837886,-0.840057681543,7.64389929406,10.0
Y1050282,-0.570329040333,-0.66543243193,-0.427719392806,-0.547805429445,-0.561029500808,-0.722913529028,-0.687837886,-0.361891100758,15.3520318869,10.0
Y1050283,-0.101775889352,-0.561706592881,-0.412734679705,-0.371602606484,-0.607888651264,-0.341665183748,-0.567058432956,0.195969910158,25.7102410176,20.0
Y1050284,0.366777261628,-0.717295351454,-0.540104741064,-0.580843458751,-0.378278814032,-0.722913529028,-0.687837886,0.116275480027,22.7886157302,30.0
Y1050285,-1.2731587668,-1.0284728686,-0.585058880367,-0.657932193796,-0.776581592903,-0.722913529028,-0.687837886,-1.31822426233,-0.356073647136,0.0
Y1050286,0.952468700353,0.371825958557,-0.0306244956273,-0.140336401348,1.75381253169,1.18332819737,0.754872682553,1.55077522238,60.6675625123,72.0
Y1050287,0.366777261628,1.04604391237,-0.255395192143,0.421310096841,0.179345076388,-0.722913529028,-0.687837886,1.78985851277,51.0378860003,50.0
Y1050288,-1.2731587668,-1.0284728686,-0.585058880367,-0.657932193796,-0.776581592903,-0.722913529028,-0.687837886,-1.31822426233,-0.356073647136,0.0
Y1050289,1.0696069881,2.70565733715,1.46784681448,6.62144692979,3.04712508426,-0.722913529028,-0.325499526526,1.8695529429,53.7387016666,60.0
Y1050290,-1.2731587668,-1.0284728686,-0.585058880367,-0.657932193796,-0.776581592903,-0.722913529028,-0.687837886,-1.31822426233,-0.356073647136,0.0
Y1050291,-0.453190752588,-0.406117834308,-0.48765824521,-0.547805429445,-0.209585872392,-0.722913529028,-0.687837886,1.39138636212,45.7093140324,40.0
Y1050292,1.30388356359,0.423688878081,1.18313726556,0.20105656814,-0.228329532574,1.56457654265,0.996431588983,0.674136490943,47.8331589527,50.0
Y1050293,0.366777261628,-0.0430773976377,-0.367780540401,-0.338564577179,0.591705600396,0.802079852092,2.18228452049,1.94924737304,86.8176433697,80.0
Y1050294,0.366777261628,0.00878552188664,0.0742684960802,-0.118311048477,-0.0549506758893,-0.722913529028,-0.687837886,0.674136490943,31.7583488206,40.0
Y1050295,0.601053837118,0.52741471713,-0.128025130784,-0.404640635789,-0.293932343212,-0.341665183748,-0.526798615161,0.913219781335,37.2193261717,30.0
Y1050296,0.0153623983928,0.112511360935,-0.120532774234,-0.0852730191722,-0.406394304305,-0.341665183748,-0.0839406200963,-0.361891100758,21.0568958653,20.0
Y1050297,-0.921743903568,-1.0284728686,-0.585058880367,-0.657932193796,-0.771895677858,-0.722913529028,-0.687837886,-1.15883540207,2.08661176735,10.0
Y1050298,-0.804605615823,-0.769158270978,-0.480165888659,-0.51476740014,-0.6219463964,-0.722913529028,-0.687837886,-0.361891100758,15.7063418629,10.0
Y1050299,-1.03888219131,-0.769158270978,-0.360288183851,-0.4707166944,-0.687549207038,-0.722913529028,-0.687837886,-0.999446541805,4.72643435256,10.0
Y1050300,-0.336052464842,-0.561706592881,-0.180471626638,-0.481729370835,-0.715664697311,-0.722913529028,-0.687837886,-0.361891100758,15.0159262736,10.0
Y1050301,-0.687467328078,-0.509843673357,0.21662327054,-0.481729370835,-0.617260481355,-0.341665183748,-0.0839406200963,-1.31822426233,5.09620528003,10.0
Y1050302,-0.336052464842,-0.509843673357,-0.427719392806,-0.338564577179,-0.439195709624,0.0395831615318,0.298527648446,-1.31822426233,9.25671625887,10.0
Y1050303,0.0153623983928,0.423688878081,1.15316783936,0.586500243368,-0.0971239112992,-0.341665183748,0.0704557810583,-0.202502240496,24.704477097,20.0
Y1050304,-0.804605615823,-0.769158270978,-0.300349331447,-0.525780076575,-0.471997114943,-0.722913529028,-0.687837886,-0.840057681543,7.11691538984,10.0
