evaluation_num,score,num_of_same,num_of_positive,num_of_negative,posi_error,nega_error,max_posi_error,min_nega_error,mean_posi_error_rate,mean_nega_error_rate,max_posi_error_rate,min_naga_error_rate
98,30 to 40,0,11,4,9.44398149159,-5.43142722715,27.3411171227,-12.3079292492,0.314799383053,-0.181047574238,0.911370570757,-0.410264308307
98,40 to 50,0,8,4,7.49463278934,-8.3325775634,19.8566690549,-20.721258591,0.187365819733,-0.208314439085,0.496416726372,-0.518031464775
98,50 to 60,0,3,11,1.72904248513,-15.465412183,3.5686227576,-32.8891830326,0.0345808497027,-0.296060798808,0.071372455152,-0.620550623257
98,60 to 70,0,0,8,,-24.5202595415,0.0,-38.5251467689,0.0,-0.39322268948,0.0,-0.592694565675
98,70 to 80,0,0,7,,-25.4640699639,0.0,-39.744573476,0.0,-0.349672728263,0.0,-0.529927646347
98,80 to 90,0,0,6,,-30.0372903253,0.0,-48.8706129579,0.0,-0.371201649456,0.0,-0.610882661974
98,90 to 100,0,0,7,,-44.6190793818,0.0,-71.4469330644,0.0,-0.479796626032,0.0,-0.793854811827
99,0 to 10,20,1,0,26.6649981611,,26.6649981611,0.0,inf,0.0,inf,0.0
99,10 to 20,0,40,17,15.6578988038,-5.53053029119,32.868349653,-10.0,1.56578988038,-0.553053029119,3.2868349653,-1.0
99,20 to 30,0,30,6,16.2504882477,-4.92821792468,33.5724889098,-16.840246162,0.812524412385,-0.246410896234,1.67862444549,-0.842012308098
99,30 to 40,0,11,4,8.93207135323,-4.99157988965,28.7131082597,-12.1614372588,0.297735711774,-0.166385996322,0.957103608657,-0.40538124196
99,40 to 50,0,7,5,7.97231037113,-7.16090809444,20.1134225242,-19.7079313464,0.199307759278,-0.179022702361,0.502835563105,-0.49269828366
99,50 to 60,0,1,13,1.7614732431,-12.5790386277,1.7614732431,-30.3496404909,0.035229464862,-0.240768728401,0.035229464862,-0.562030379461
99,60 to 70,0,0,8,,-22.9231196474,0.0,-33.5407535265,0.0,-0.36679525732,0.0,-0.516011592715
99,70 to 80,0,0,7,,-26.2632898064,0.0,-41.3372941853,0.0,-0.360543261707,0.0,-0.551163922471
99,80 to 90,0,0,6,,-28.893950605,0.0,-48.4104900582,0.0,-0.357150355058,0.0,-0.605131125727
99,90 to 100,0,0,7,,-43.6826711429,0.0,-71.0959914892,0.0,-0.470406994062,0.0,-0.789955460991
100,0 to 10,20,1,0,26.4656000951,,26.4656000951,0.0,inf,0.0,inf,0.0
100,10 to 20,0,38,19,15.9372698626,-5.28314925748,35.106969789,-10.0,1.59372698626,-0.528314925748,3.5106969789,-1.0
100,20 to 30,0,29,7,16.5254918118,-4.05759414702,35.5028735189,-13.3171678773,0.826274590589,-0.202879707351,1.77514367595,-0.665858393863
100,30 to 40,0,12,3,8.59925867933,-5.1208885349,26.0040131689,-11.5689572739,0.286641955978,-0.170696284497,0.866800438963,-0.38563190913
100,40 to 50,0,7,5,7.83977070139,-7.13640068548,18.9334504383,-21.1172573183,0.195994267535,-0.178410017137,0.473336260957,-0.527931432958
100,50 to 60,0,1,13,1.366173963,-12.2463511788,1.366173963,-33.4591087759,0.02732347926,-0.235111380084,0.02732347926,-0.61961312548
100,60 to 70,0,0,8,,-22.1920548852,0.0,-31.0428619087,0.0,-0.354904270154,0.0,-0.490079587698
100,70 to 80,0,0,7,,-26.0796000736,0.0,-41.1245279774,0.0,-0.358060003257,0.0,-0.548327039699
100,80 to 90,0,0,6,,-27.2770259187,0.0,-47.5070033909,0.0,-0.33826547015,0.0,-0.593837542386
100,90 to 100,0,0,7,,-43.2164486964,0.0,-69.6057274328,0.0,-0.465442554503,0.0,-0.773396971476
