username,forum_num_days,video_stop_backward_seek_avg,qz_mean,watched_time_hour,final_score
Y1050274,0.980452313517,-0.15673701872,-1.4359174135,0.377622976491,80.0
Y1050275,-0.828944175763,0.0802622861421,-0.193190718741,0.00859902029101,20.0
Y1050276,-0.99084034387,0.1184000604,-0.119990956793,0.103051557266,40.0
Y1050277,-0.243435156921,-0.117406668982,-0.323872497075,-0.782744404808,10.0
Y1050278,0.738922262056,-0.259113776552,-0.96932384459,-0.680529042421,54.0
Y1050279,2.974357807,4.68703371692,1.16910854267,0.0525833354756,70.0
Y1050280,-0.785882452564,0.0110319167231,-0.0800791828685,-0.46134462896,10.0
Y1050281,-1.08812337706,0.0714495971899,0.0807671689617,-0.366175876156,10.0
Y1050282,-0.99048648887,0.118288418961,-0.120087483421,0.102632181892,10.0
Y1050283,0.0462936629907,-0.263155740302,0.551879690269,0.788223211589,20.0
Y1050284,-0.235871252028,-0.0421497736319,-0.50015651643,-0.207185301561,30.0
Y1050285,-1.50965004624,0.204441482908,0.195753669034,0.133401365199,0.0
Y1050286,0.603583137821,-0.107630652335,-0.653924011056,1.75666410285,72.0
Y1050287,2.03329012724,-0.776857291579,0.501766758721,1.36636562558,50.0
Y1050288,-1.50965004624,0.204441482908,0.195753669034,0.133401365199,0.0
Y1050289,2.05430534613,5.2548501657,0.161521373371,1.45868674446,60.0
Y1050290,-1.50965004624,0.204441482908,0.195753669034,0.133401365199,0.0
Y1050291,0.206178128449,0.0280203550136,-1.09113719319,0.847128320481,40.0
Y1050292,1.36244716097,-0.446777823617,-1.15973834589,-1.3513124238,50.0
Y1050293,2.85157292065,-0.808187436319,-1.16854992896,-0.51276728496,80.0
Y1050294,1.55818009922,-0.730872958975,0.498445995968,0.125869673305,40.0
Y1050295,1.3569842101,-0.44117209418,-1.166959165,-1.31561176629,30.0
Y1050296,-0.257353567578,-0.138896506877,-0.262002187505,-0.961090022723,20.0
Y1050297,-1.42307378471,0.203007730656,0.114063327696,0.225635684931,10.0
Y1050298,-0.499822819725,-0.0623973303618,-0.195860012602,-0.673724764588,10.0
Y1050299,-1.33649752318,0.201573978405,0.032372986357,0.317870004662,10.0
Y1050300,-0.978994219261,0.0629003943112,-0.0070752827831,-0.300670384098,10.0
Y1050301,-1.08577487804,0.0707086445154,0.0801265317206,-0.368959227119,10.0
Y1050302,-0.960897755698,-0.0521512921021,0.649764876785,0.0164331716928,10.0
Y1050303,0.0200932492502,-0.345661321944,0.524747188719,-0.527920812886,20.0
Y1050304,-1.10356623783,0.0763218278828,0.0849797624737,-0.34787358985,10.0
Y1050305,-0.477184686059,-0.00483691400039,-0.347219285664,-0.21345165134,20.0
Y1050306,-0.0508532775873,-0.216988008809,-0.289295757184,-1.30324683864,10.0
Y1050307,-1.21434926517,0.111273931243,0.115199801944,-0.216577794756,10.0
Y1050308,-0.0270973677426,-0.489842043096,1.42995688621,-0.175884993583,10.0
Y1050309,-1.50965004624,0.204441482908,0.195753669034,0.133401365199,0.0
Y1050310,-1.4096562509,0.172893387913,0.168476779111,0.0148925540593,10.0
Y1050311,0.264498042607,-0.188370052428,-0.662783271103,-0.712525265737,20.0
Y1050312,-1.22559872677,0.166585349841,0.00212136672449,0.186437004501,10.0
Y1050313,-0.726306707684,0.060820662895,-0.250225547332,-0.0156223781804,30.0
Y1050314,-0.672602227648,-0.0708185471356,0.37105593706,0.113369150931,30.0
Y1050315,-0.330163952337,-0.122715871552,-0.018688331717,-0.345066360902,20.0
Y1050316,-0.565899235023,-0.0415501866,-0.177835303164,-0.595413531429,10.0
Y1050317,1.79684936494,-0.956203932368,1.60895723206,1.0540108581,55.0
Y1050318,1.65199198107,-0.756718063695,0.342404977987,-0.29749085756,40.0
Y1050319,1.48805553326,-0.293332128636,-1.46066499662,0.418038504339,76.0
Y1050320,-0.0719786073913,-0.349129929639,0.785072068322,-0.210985724353,10.0
Y1050321,-0.817039953991,0.192971464896,-0.457769061675,0.87127592305,20.0
Y1050322,3.83992773056,4.93817441233,-1.25767758522,0.143485600426,99.0
Y1050323,3.26621376512,-0.836755487984,-1.5370271694,-0.306744153092,88.0
Y1050324,-0.520212696858,0.0605006535724,-0.451628983135,0.227225865606,30.0
Y1050325,-0.0860539730788,-0.128238859557,-0.453914199757,-0.677004771189,20.0
Y1050326,-0.289825013791,-0.0639489890931,-0.398328348373,-0.43550314904,20.0
