username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_sum_count,video_num_days,video_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050287,3.0,191.3333333,574.0,2.0,56.0,2.0,41.0,7.0,7.0,1.0,6.687735635,3.0,0.428571429,6.0,0.857142857,2.0,0.28571428600000004,2.0,4.0,0.571428571,21.0,3.0,1.0,0.0,0.0,23.0,3.285714286,5.0,0.7142857140000001,28.0,4.0,28.0,4.0,2.0,0.28571428600000004,36.0,5.1428571430000005,94.0,13.42857143,0.0,0.0,0.0,0.0,0.0,10.0,50.0
Y1050288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050289,5.0,506.8,2534.0,3.0,79.0,5.0,559.0,24.0,23.0,0.958333333,12.41544056,23.0,0.958333333,24.0,1.0,11.0,0.458333333,79.0,198.0,8.25,160.0,6.666666667,68.0,4.0,0.166666667,239.0,9.958333332999999,270.0,11.25,509.0,21.20833333,244.0,10.16666667,11.0,0.458333333,533.0,22.20833333,1297.0,54.04166667,0.0,0.0,0.0,0.0,3.6,10.0,60.0
Y1050290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0
Y1050292,4.0,120.75,483.0,2.0,42.0,3.0,22.0,8.0,5.0,0.625,10.81937773,2.0,0.25,7.0,0.875,1.0,0.125,0.0,2.0,0.25,8.0,1.0,3.0,0.0,0.0,8.0,1.0,5.0,0.625,13.0,1.625,18.0,2.25,1.0,0.125,21.0,2.625,53.0,6.625,3.0,3.0,2.0,3.0,8.934,10.0,50.0
Y1050293,4.0,199.25,797.0,4.0,74.0,4.0,70.0,14.0,13.0,0.928571429,13.26023334,2.0,0.14285714300000002,14.0,1.0,5.0,0.35714285700000004,3.0,5.0,0.35714285700000004,33.0,2.357142857,2.0,0.0,0.0,36.0,2.571428571,7.0,0.5,43.0,3.071428571,44.0,3.142857143,5.0,0.35714285700000004,57.0,4.071428571,149.0,10.64285714,3.0,3.0,1.0,3.0,9.566,10.0,80.0
Y1050294,2.0,223.5,447.0,2.0,39.0,2.0,41.0,7.0,7.0,1.0,7.943383292999999,4.0,0.571428571,6.0,0.857142857,2.0,0.28571428600000004,5.0,8.0,1.142857143,11.0,1.571428571,5.0,2.0,0.28571428600000004,16.0,2.285714286,15.0,2.142857143,31.0,4.428571429,21.0,3.0,3.0,0.428571429,38.0,5.428571429,93.0,13.28571429,0.0,0.0,0.0,0.0,0.0,10.0,40.0
Y1050295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.6,8.0,30.0
Y1050296,3.0,62.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,6.0,8.0,20.0
