username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050388,0.75,23.9166666675,71.75,0.5,3.625,7.25,0.5,2.375,4.75,0.0,1.25,0.75,0.5,0.15,0.1,3.451149155,0.75,0.75,0.15,1.0,0.2,0.0,0.0,0.25,0.05,0.25,0.05,1.5,0.3,0.75,0.15,0.0,0.0,1.75,0.35,1.0,0.2,2.75,0.55,2.75,0.55,0.0,0.0,4.0,0.8,9.5,1.9,0.0,0.0,0.0,0.0,0.0,4.25,20.0
Y1050389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050390,0.75,44.625,70.5,0.25,2.25,2.25,0.25,2.25,2.25,0.0,1.5,1.0,0.5,0.16666666675,0.08333333325,0.73775174025,1.5,0.0,0.0,1.25,0.20833333325,0.25,0.04166666675,0.0,0.0,0.0,0.0,0.25,0.04166666675,0.0,0.0,0.0,0.0,0.25,0.04166666675,0.0,0.0,0.25,0.04166666675,1.5,0.25,0.25,0.04166666675,1.75,0.29166666675,3.75,0.625,0.25,0.25,0.25,0.25,0.476428571,1.5,10.0
Y1050391,1.0,34.9375,139.75,0.25,3.5,3.5,1.0,2.5625,10.25,0.0,3.25,0.5,2.75,0.0384615385,0.2115384615,3.358477995,0.5,0.75,0.05769230775000001,3.0,0.23076923075,0.0,0.0,0.25,0.01923076925,1.25,0.09615384625,3.0,0.23076923075,0.25,0.01923076925,0.0,0.0,3.25,0.25,1.5,0.1153846155,4.75,0.3653846155,6.0,0.4615384615,0.0,0.0,8.0,0.6153846155,18.75,1.44230769225,0.0,0.0,0.0,0.0,0.0,3.0,10.0
Y1050392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,20.0
Y1050393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050394,1.25,203.083333325,369.25,1.0,18.375,26.75,1.0,8.5833333325,15.25,0.0,4.0,2.75,1.25,0.35416666675,0.14583333325,6.54297365,1.5,2.75,0.27083333325000003,3.5,0.45833333325,0.5,0.125,0.75,0.10416666675000001,3.25,0.35416666675,4.0,0.70833333325,1.5,0.25,0.25,0.0625,4.75,0.8125,5.0,0.6666666667500001,9.75,1.47916666675,8.0,1.29166666675,0.5,0.125,13.75,1.97916666675,32.0,4.875,0.0,0.0,0.0,0.0,1.428571429,3.25,20.0
Y1050395,0.75,20.25,60.75,0.0,0.0,0.0,0.5,10.25,20.5,0.0,1.5,0.5,1.0,0.08333333325,0.16666666675,3.0329141475,0.5,1.25,0.20833333325,1.25,0.20833333325,0.25,0.04166666675,14.25,2.375,0.0,0.0,2.5,0.41666666675,0.25,0.04166666675,0.25,0.04166666675,16.75,2.7916666675,0.5,0.08333333325,17.25,2.875,3.5,0.58333333325,0.25,0.04166666675,18.75,3.125,39.75,6.625,0.0,0.0,0.0,0.0,0.0,0.5,10.0
Y1050396,5.75,224.848214275,1350.25,5.25,22.0583333325,119.0,5.75,28.9375,174.75,0.0,16.0,15.5,0.5,0.96428571425,0.035714285750000005,12.8109073825,1.0,9.0,0.617965368,15.75,0.98958333325,2.25,0.15706168825,58.0,3.6318993505,33.5,2.50879329,39.0,2.2382305195,11.5,0.677624459,1.25,0.11350108225,97.0,5.87012987,46.25,3.29991883125,143.25,9.170048699999999,64.0,3.7800324675,2.25,0.15706168825,159.25,10.170048699999999,368.75,23.2771915575,1.5,1.5,0.75,1.5,4.1428571430000005,4.0,20.0
Y1050397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,20.0
