feature,logistic,linear_svc,svc,GaNB,Decision_tree,Random_forest,NN
active_num_days,0.631578947368421,0.618421052631579,0.6505847953216375,0.6871345029239766,0.935672514619883,0.9181286549707602,0.6491228070175439
active_avg_count,0.5921052631578947,0.5862573099415205,0.577485380116959,0.6403508771929824,1.0,0.9590643274853802,0.5555555555555556
problem_num_days,0.6345029239766081,0.6228070175438597,0.6549707602339182,0.6637426900584796,0.9137426900584795,0.8932748538011696,0.6447368421052632
problem_avg_count,0.5979532163742689,0.564327485380117,0.5877192982456141,0.6286549707602339,0.9985380116959064,0.9634502923976609,0.5614035087719298
problem_sum_count,0.6549707602339181,0.6140350877192983,0.6505847953216375,0.6798245614035088,0.9956140350877193,0.9707602339181287,0.6403508771929824
video_num_days,0.6125730994152047,0.6081871345029239,0.6666666666666666,0.6622807017543859,0.9210526315789473,0.9049707602339181,0.6754385964912281
video_avg_count,0.638888888888889,0.5877192982456141,0.641812865497076,0.6403508771929824,1.0,0.9619883040935673,0.5847953216374269
video_sum_count,0.6111111111111112,0.5935672514619883,0.6476608187134503,0.6461988304093567,0.9956140350877193,0.9634502923976609,0.564327485380117
forum_num_days,0.5277777777777777,0.5277777777777777,0.5219298245614035,0.5277777777777777,0.5409356725146199,0.5321637426900585,0.5175438596491228
forum_avg_count,0.5219298245614035,0.5219298245614035,0.5175438596491228,0.5029239766081871,0.543859649122807,0.5423976608187134,0.5116959064327484
forum_sum_count,0.5219298245614035,0.5219298245614035,0.5175438596491228,0.5029239766081871,0.543859649122807,0.5423976608187134,0.5
num_watched,0.6769005847953217,0.6739766081871346,0.6900584795321638,0.6871345029239766,0.9576023391812865,0.945906432748538,0.5
num_complete,0.6652046783625731,0.6461988304093567,0.7061403508771931,0.6827485380116959,0.9532163742690059,0.9312865497076023,0.685672514619883
num_incomplete,0.6125730994152047,0.6169590643274854,0.6345029239766082,0.6666666666666666,0.9269005847953218,0.912280701754386,0.6944444444444444
complete_rate,0.6505847953216375,0.6447368421052632,0.6695906432748537,0.6622807017543859,0.9985380116959064,0.9488304093567251,0.6769005847953217
incomplete_rate,0.5584795321637427,0.5716374269005848,0.6023391812865497,0.6593567251461989,0.9956140350877192,0.9663742690058479,0.605263157894737
watched_time_hour,0.6345029239766082,0.6359649122807018,0.6257309941520468,0.6286549707602339,1.0,0.97953216374269,0.6228070175438596
watched_time_weekday,0.5906432748538012,0.5818713450292398,0.6067251461988304,0.6154970760233919,0.9020467836257311,0.8801169590643275,0.6169590643274854
seek_video_sum,0.5964912280701754,0.5950292397660819,0.6520467836257311,0.6505847953216375,0.9517543859649124,0.9312865497076024,0.6549707602339181
seek_video_avg,0.5921052631578947,0.5862573099415205,0.631578947368421,0.6652046783625731,0.9985380116959064,0.9619883040935673,0.6783625730994152
pause_video_sum,0.652046783625731,0.6461988304093567,0.6652046783625731,0.6549707602339181,0.9576023391812866,0.9400584795321638,0.6652046783625731
pause_video_avg,0.6286549707602339,0.6242690058479532,0.6447368421052633,0.6359649122807018,0.9853801169590642,0.9385964912280702,0.6461988304093568
stop_video_sum,0.6228070175438597,0.6169590643274854,0.6242690058479532,0.6198830409356726,0.9093567251461988,0.8903508771929823,0.6447368421052632
stop_video_avg,0.5862573099415205,0.5833333333333335,0.5687134502923976,0.5921052631578947,0.989766081871345,0.9546783625730996,0.5994152046783625
video_forward_seek_sum,0.597953216374269,0.5029239766081871,0.6111111111111112,0.6257309941520468,0.9722222222222222,0.9429824561403509,0.5847953216374269
video_forward_seek_avg,0.5833333333333333,0.5599415204678363,0.6257309941520468,0.6198830409356726,0.9985380116959064,0.9692982456140351,0.6301169590643274
video_backward_seek_sum,0.5847953216374269,0.564327485380117,0.6125730994152047,0.6154970760233918,0.9649122807017543,0.9327485380116958,0.605263157894737
video_backward_seek_avg,0.5964912280701755,0.5833333333333334,0.6111111111111112,0.6125730994152048,0.9970760233918128,0.9517543859649122,0.6461988304093568
video_pause_forward_seek_sum,0.5994152046783626,0.5730994152046783,0.5833333333333334,0.5789473684210527,0.986842105263158,0.9576023391812866,0.6125730994152047
video_pause_forward_seek_avg,0.6228070175438596,0.6052631578947368,0.6198830409356725,0.5760233918128654,0.9970760233918128,0.9736842105263157,0.6140350877192982
video_pause_backward_seek_sum,0.5950292397660819,0.5760233918128655,0.6140350877192983,0.5804093567251462,0.9561403508771931,0.9371345029239766,0.6008771929824561
video_pause_backward_seek_avg,0.5862573099415205,0.5921052631578947,0.6111111111111112,0.597953216374269,0.9970760233918128,0.9546783625730995,0.6593567251461989
video_stop_backward_seek_sum,0.5789473684210527,0.5643274853801169,0.6096491228070176,0.6081871345029239,0.8640350877192984,0.8523391812865497,0.6374269005847953
video_stop_backward_seek_avg,0.5730994152046783,0.5730994152046783,0.5292397660818713,0.5672514619883041,0.9239766081871345,0.881578947368421,0.5
all_type_video_forward_seek_sum,0.5921052631578947,0.5760233918128655,0.5964912280701754,0.5818713450292398,0.9868421052631579,0.9473684210526315,0.5380116959064327
all_type_video_forward_seek_avg,0.5906432748538012,0.5789473684210527,0.6169590643274854,0.6081871345029239,1.0,0.9546783625730993,0.6637426900584795
all_type_video_backward_seek_sum,0.5818713450292398,0.5804093567251463,0.6023391812865497,0.5847953216374269,0.9780701754385964,0.9517543859649122,0.6008771929824561
all_type_video_backward_seek_avg,0.577485380116959,0.5833333333333334,0.5950292397660819,0.5847953216374269,0.9970760233918128,0.9663742690058479,0.6081871345029239
all_type_video_seek_sum,0.6111111111111112,0.5877192982456141,0.6271929824561404,0.6008771929824561,0.9941520467836258,0.9590643274853802,0.5409356725146199
all_type_video_seek_avg,0.6052631578947368,0.5906432748538012,0.6096491228070176,0.6198830409356725,1.0,0.9605263157894737,0.6140350877192982
video_pause_sum,0.6140350877192983,0.597953216374269,0.6067251461988303,0.5760233918128654,0.9868421052631577,0.9517543859649124,0.6213450292397661
video_pause_avg,0.6257309941520468,0.5935672514619883,0.6301169590643275,0.5745614035087719,1.0,0.9707602339181287,0.6038011695906433
video_stop_sum,0.6213450292397662,0.6154970760233918,0.6213450292397661,0.618421052631579,0.9093567251461989,0.8830409356725146,0.6315789473684211
video_stop_avg,0.5964912280701754,0.5950292397660819,0.5628654970760234,0.5847953216374269,0.989766081871345,0.9561403508771931,0.5833333333333334
video_play_sum,0.6242690058479532,0.5073099415204678,0.6461988304093568,0.6198830409356725,0.9926900584795322,0.9634502923976607,0.5921052631578948
video_play_avg,0.6081871345029239,0.5760233918128655,0.6388888888888888,0.6228070175438596,0.9985380116959064,0.9532163742690059,0.6476608187134503
video_events_sum,0.5994152046783625,0.5862573099415205,0.6081871345029239,0.6067251461988304,0.9970760233918128,0.9605263157894737,0.5175438596491229
video_events_avg,0.6140350877192982,0.5877192982456141,0.6461988304093568,0.6052631578947368,1.0,0.966374269005848,0.5409356725146199
mt_practice_sum,0.716374269005848,0.7119883040935673,0.7280701754385965,0.7280701754385965,0.9020467836257311,0.8888888888888888,0.7149122807017543
mt_unit_sum,0.716374269005848,0.7119883040935673,0.7280701754385965,0.7280701754385965,0.9020467836257311,0.8874269005847953,0.7251461988304093
mt_online_num_day,0.6812865497076024,0.672514619883041,0.6798245614035088,0.6783625730994152,0.902046783625731,0.8830409356725146,0.6345029239766082
mt_online_practice_num_day,0.716374269005848,0.7119883040935673,0.7280701754385965,0.7280701754385965,0.9020467836257311,0.8874269005847953,0.7222222222222222
hw_mean,0.7485380116959064,0.7470760233918128,0.7660818713450293,0.7748538011695907,0.9502923976608187,0.9283625730994152,0.7631578947368421
qz_mean,0.8391812865497076,0.8479532163742689,0.8654970760233918,0.8596491228070176,0.9868421052631577,0.9678362573099416,0.8698830409356725
