username,active_num_days,problem_num_days,problem_avg_count,problem_sum_count,num_incomplete,seek_video_sum,pause_video_sum,stop_video_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_backward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_avg,video_pause_sum,video_events_avg,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,final_score
101302503,1.5555555559999998,0.8888888890000001,7.064814814,15.72222222,0.8888888890000001,1.888888889,3.611111111,6.222222222,0.161256953,3.722222222,0.348535569,1.611111111,0.191985484,6.5,0.5990053160000001,0.790990799,9.888888889,4.38954271,0.0,0.0,0.0,2
102602012,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
103602527,2.166666667,0.7222222220000001,11.25925926,14.83333333,2.888888889,2.777777778,3.888888889,1.4444444440000002,2.543359467,2.611111111,0.32452713,0.666666667,2.803925947,3.333333333,0.389574363,3.19350031,9.444444444,9.092708266,0.0,0.0,0.0,1
104602001,1.944444444,0.5,5.305555556,7.777777778,2.166666667,3.0555555560000003,3.277777778,2.777777778,0.12384403,3.5555555560000003,0.585153775,1.0555555559999998,0.180539187,5.1111111110000005,0.7702040309999999,0.950743218,13.5,7.082121622000001,0.833333333,0.5555555560000001,0.8888888890000001,1
104602002,1.611111111,0.5,4.833333333,11.66666667,2.944444444,3.0,4.055555556,1.888888889,0.211706349,0.7777777779999999,0.137271525,0.833333333,0.250727513,1.777777778,0.306379269,0.5571067820000001,11.72222222,4.866125541000001,1.277777778,0.833333333,1.5,2
104602003,2.0,0.444444444,4.944444444,10.5,0.944444444,2.833333333,3.0,2.611111111,2.517971381,14.16666667,3.210227273,2.388888889,2.613257576,17.0,3.879545455,6.49280303,18.27777778,20.66881313,1.166666667,0.833333333,1.166666667,1
104602005,1.611111111,0.7222222220000001,11.91666667,19.44444444,1.333333333,1.666666667,2.222222222,1.166666667,0.570238095,3.333333333,0.7335317459999999,1.277777778,0.6218253970000001,4.722222222,1.059854497,1.681679894,10.61111111,9.169642857000001,1.611111111,1.0555555559999998,1.888888889,2
104602006,1.5,0.111111111,2.361111111,4.722222222,1.166666667,1.611111111,2.222222222,1.0,0.699140212,3.666666667,0.445238095,1.0,0.699140212,4.722222222,0.609259259,1.308399471,8.444444444,5.660119047999999,1.166666667,1.0,1.5,2
104602007,2.333333333,0.944444444,4.927777778,16.33333333,2.111111111,3.666666667,5.722222222,3.944444444,3.859364022,7.277777778,0.6873038779999999,3.388888889,3.950032342,11.72222222,1.11748076,5.067513102,25.38888889,15.13124834,1.388888889,1.111111111,1.666666667,3
104602008,1.777777778,0.055555556,4.6111111110000005,4.6111111110000005,0.333333333,1.111111111,2.888888889,4.388888889,0.02345679,1.5555555559999998,0.159061939,0.7777777779999999,0.043209877,2.888888889,0.332334786,0.375544662,7.333333333,3.018364198,0.944444444,0.5555555560000001,1.0,2
104602009,0.333333333,0.222222222,6.8611111110000005,9.055555556,0.055555556,0.166666667,0.27777777800000003,0.166666667,0.351851852,0.111111111,0.037037037,0.0,0.351851852,0.111111111,0.037037037,0.388888889,0.7222222220000001,1.5,1.0555555559999998,0.666666667,1.166666667,2
104602010,1.5555555559999998,0.166666667,6.805555556,8.888888889,3.833333333,4.944444444,4.0,0.944444444,2.7166016889999995,11.88888889,0.6154645870000001,1.4444444440000002,2.78625731,13.77777778,0.739928525,3.526185835,12.11111111,8.913807667,1.0,0.7222222220000001,1.0555555559999998,2
104602011,2.611111111,0.5,7.233333332999999,13.11111111,1.333333333,2.944444444,4.1111111110000005,3.222222222,0.568805115,5.166666667,0.7871252209999999,1.5,0.609314374,7.0,1.030445326,1.6397596999999997,13.83333333,7.503990299999999,1.0555555559999998,0.833333333,1.111111111,2
104602012,3.222222222,0.611111111,8.004629629,15.66666667,3.0,4.833333333,5.833333333,2.722222222,1.319157982,10.27777778,1.059569463,3.277777778,1.460797471,14.55555556,1.521413443,2.982210914,25.66666667,11.9091671,1.388888889,0.944444444,1.777777778,3
104602013,1.4444444440000002,0.27777777800000003,3.75,5.5,0.944444444,2.055555556,2.666666667,2.111111111,1.170601852,6.944444444,2.689285714,1.722222222,1.49375,9.333333332999999,2.9829365080000003,4.476686508,11.5,14.01312831,1.0555555559999998,0.7222222220000001,1.111111111,2
104602014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666667,0.111111111,0.166666667,1
104602016,0.5,0.0,0.0,0.0,0.388888889,0.444444444,0.5555555560000001,0.611111111,0.497474748,0.388888889,0.194444444,0.0,0.502525253,0.5555555560000001,0.20959596,0.712121212,1.166666667,2.535353535,0.5555555560000001,0.5,0.611111111,0
104602017,0.7222222220000001,0.444444444,9.055555556,16.77777778,1.111111111,0.944444444,1.111111111,0.111111111,1.62962963,1.0,0.272486772,0.111111111,1.681216931,1.111111111,0.308201058,1.989417989,3.888888889,6.0806878310000005,0.7222222220000001,0.388888889,0.944444444,1
104602018,1.888888889,0.444444444,6.092592592999999,11.94444444,1.277777778,1.0,1.666666667,0.388888889,0.993518519,5.5,1.139351852,1.5555555559999998,1.00462963,7.277777778,1.5949074069999998,2.599537037,11.88888889,11.81666667,0.944444444,0.666666667,1.166666667,1
