username,active_num_days,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,num_watched,pause_video_sum,pause_video_avg,video_backward_seek_avg,video_events_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050202,4.0,878.3333332999997,2.833333333,22.88888889,71.16666667,3.0,9.666666667000001,9.666666667000001,1.0,0.133300265,249.5,1.666666667,0.833333333,2.166666667,6.907058824,76.66666667,2
Y1050203,0.333333333,55.33333333,0.166666667,4.833333333,4.833333333,0.333333333,0.5,0.166666667,0.166666667,0.0,1.5,0.0,0.0,0.0,0.0,12.83333333,0
Y1050204,2.333333333,593.6666667000002,1.666666667,31.36111111,43.83333333,2.166666667,11.83333333,10.83333333,0.918540241,0.830694037,117.5,0.666666667,0.5,0.666666667,6.659411765,89.0,3
Y1050205,3.166666667,726.5,1.833333333,21.09722222,52.5,2.5,10.33333333,9.833333332999999,0.797979798,2.021519543,153.0,1.666666667,0.666666667,1.666666667,7.711176471,85.83333333,3
Y1050206,3.166666667,743.0,3.0,26.55555556,75.0,2.833333333,9.333333332999999,8.5,0.93482906,0.513986014,68.33333333,0.666666667,0.166666667,0.666666667,2.8529411760000003,85.66666667,2
Y1050207,1.0,541.0,0.666666667,10.66666667,16.0,1.0,11.16666667,8.833333332999999,0.7305871209999999,0.920770202,295.0,0.0,0.0,0.0,0.0,63.83333333,1
Y1050208,5.0,1004.5,4.0,21.80555556,72.16666667,3.333333333,6.333333333,5.666666667,0.915343915,1.174603175,209.5,1.833333333,1.0,2.5,6.647058824,65.83333333,2
Y1050209,5.333333333,763.0,4.333333333,11.23333333,51.0,3.5,10.83333333,10.83333333,1.0,0.355555556,105.6666667,3.0,1.833333333,4.5,8.197058823999999,81.5,3
Y1050210,0.833333333,179.83333330000005,0.5,9.833333332999999,18.83333333,0.5,1.5,1.5,0.333333333,0.020833333,9.0,0.0,0.0,0.0,0.0,27.5,0
Y1050211,1.5,570.6666667000002,1.166666667,28.16666667,40.16666667,1.166666667,6.0,5.5,0.636363636,1.845959596,166.83333330000005,0.666666667,1.5,0.666666667,1.897058824,33.83333333,1
Y1050212,1.666666667,342.8333333,1.333333333,14.33333333,28.33333333,1.166666667,3.666666667,3.666666667,0.5,2.194444445,93.16666667,0.0,0.0,0.0,0.0,18.33333333,0
Y1050213,0.333333333,12.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333,0
Y1050214,2.333333333,351.6666667,1.666666667,5.375,17.83333333,2.333333333,4.833333333,4.666666667,0.6527777779999999,1.6116161619999998,162.5,0.5,0.333333333,0.5,0.279411765,22.16666667,0
Y1050215,1.666666667,325.5,1.0,18.19444445,34.16666667,1.166666667,6.166666667,5.833333333,0.47630719,0.161764706,44.5,0.0,0.0,0.0,0.0,31.66666667,0
Y1050216,0.666666667,66.33333333,0.166666667,2.0,2.0,0.166666667,0.666666667,0.166666667,0.041666667,0.166666667,6.333333333,0.0,0.0,0.0,0.0,3.333333333,0
Y1050217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666667,0
Y1050218,0.333333333,137.83333330000002,0.333333333,8.666666667000001,17.33333333,0.333333333,1.0,1.0,0.166666667,0.388888889,13.66666667,0.0,0.0,0.0,0.0,4.166666667,0
Y1050219,1.666666667,246.1666667,1.0,15.36111111,29.83333333,1.166666667,3.5,1.833333333,0.4166666670000001,0.0625,20.0,0.666666667,0.166666667,1.0,1.294117647,34.0,0
Y1050220,1.833333333,503.6666667,0.833333333,6.555555556,8.0,1.833333333,9.166666667000001,8.833333332999999,0.65,1.660247209,231.8333333,0.0,0.0,0.0,0.0,35.0,1
Y1050221,2.833333333,534.5,1.833333333,29.94444445,66.83333333,1.5,2.5,2.333333333,0.625,0.375,16.33333333,2.333333333,1.5,3.0,7.149411765,80.5,3
Y1050222,3.0,509.5,1.833333333,37.91666667,64.83333333,1.833333333,4.666666667,4.333333333,0.7857142859999999,0.412698413,35.66666667,0.0,0.0,0.0,0.0,64.16666667,1
