number_of_comp,pMAPC,pMSE
1,0.524345238931,484.507053744
2,0.605832995887,347.700286568
3,0.634100219931,298.567455216
4,0.637731160324,293.322085837
5,0.642113268689,287.029285776
6,0.666543059307,266.332475026
7,0.666343466675,266.301482983
