username,video_backward_seek_avg,video_avg_count,qz_mean,predict_score,real_score
Y1050160,-0.671811188405,0.0150138006133,0.179496232655,25.3168780078,30.0
Y1050161,-0.439220028753,-0.599926942505,-0.156340768845,41.7096152657,40.0
Y1050162,3.59883958505,2.31481639789,-1.7212802486,59.2623056854,30.0
Y1050163,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,0.0
Y1050164,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,0.0
Y1050165,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,0.0
Y1050166,-0.713128508153,0.729812930797,-0.00325231620243,14.1542448428,20.0
Y1050167,-0.637537838803,-0.281307877885,-0.0580471236182,32.8160355671,30.0
Y1050168,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050169,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,0.0
Y1050170,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050171,-0.309670664123,-0.327426471542,0.119342637191,36.480710949,10.0
Y1050172,-0.829017103679,0.0263243224378,0.0368570855661,24.2291310306,10.0
Y1050173,0.65076803408,-0.99904922459,0.274130682925,59.4151090085,70.0
Y1050174,-0.0591176114676,-1.19049786994,-0.326353907524,58.2584945422,80.0
Y1050175,0.214951320365,-0.445058575053,-0.0776992816038,47.1462498414,30.0
Y1050176,0.808909901493,-0.469604731849,-0.225382122015,56.738462281,90.0
Y1050177,2.25960685076,1.96051096904,0.790824899908,26.2174659974,20.0
Y1050178,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,20.0
Y1050179,1.1524838432,-1.16715346255,-0.386330874414,74.542010836,95.0
Y1050180,-0.637537838803,-0.281307877885,-0.0580471236182,32.8160355671,40.0
Y1050181,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,20.0
Y1050182,1.6528405649,-0.722470912752,-0.554243458994,75.0777652856,90.0
Y1050183,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050184,-0.931595281291,0.191127286896,0.0876986262005,19.6290036003,10.0
Y1050185,0.331069604959,-0.97583504119,-0.234940016574,59.0466990888,99.0
Y1050186,2.58474419651,0.731764551091,-1.17030043903,67.9909193312,85.0
Y1050187,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,20.0
Y1050188,0.301620832113,0.426451447278,0.176211700743,31.3445661561,45.0
Y1050189,2.77629510302,-0.310340337344,0.429323431661,74.7720958946,91.0
Y1050190,2.68440126947,0.232111115685,-1.03923183752,76.7105231864,90.0
Y1050191,0.764376544785,0.18842545225,0.983817252919,34.7566332699,40.0
Y1050192,2.02855220919,0.19008782479,-0.431028492149,63.5392661814,70.0
Y1050193,-0.952110916813,0.224087879788,0.0978669343273,18.7089781142,20.0
Y1050194,3.67591414018,3.98880755843,-2.50394642863,38.4330039653,20.0
Y1050195,1.17336800996,0.353838620863,0.533601434951,41.2019582176,40.0
Y1050196,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050197,5.40970573056,1.34949693383,1.20695524817,75.1481943924,80.0
Y1050198,0.208059249426,-0.041442249601,-0.607914943997,44.6646952947,20.0
Y1050199,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,30.0
Y1050200,1.04430980826,1.28263660558,0.113759050156,27.2296754619,30.0
Y1050201,1.42913075233,-0.060988267205,-0.0345478737788,56.4614222138,68.0
Y1050202,0.823828920536,-0.894061944339,0.44138540418,58.529650571,75.0
Y1050203,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050204,1.57303390389,-0.812535943087,-0.000908893222773,70.8760945557,90.0
Y1050205,1.95409042267,-0.158372859498,-1.24695644498,75.3520942126,88.0
Y1050206,0.645886319499,-1.20692521253,-0.487511651607,69.3087589597,70.0
Y1050207,5.64548445393,0.268935077741,5.71331600454,58.6545975758,40.0
Y1050208,0.672371651128,-0.659702896034,-0.0958623202023,57.0551261744,70.0
Y1050209,0.477237838422,-1.53199253888,-0.249279137185,70.5744091091,85.0
Y1050210,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,20.0
Y1050211,-1.03477693089,0.457423888801,0.230737693197,12.517577511,40.0
Y1050212,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,20.0
Y1050213,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050214,0.181074905274,1.14726110092,-0.502677260985,23.2071329833,20.0
Y1050215,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,20.0
Y1050216,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050217,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050218,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,10.0
Y1050219,-0.849009890947,0.199178634895,0.175424043392,19.8546224543,20.0
Y1050220,-0.335807183175,1.0545039855,-0.294453453566,16.127509219,30.0
Y1050221,0.0861410056847,-1.2429282185,-0.232932291377,60.3010054232,80.0
Y1050222,0.0955122817954,-0.948022243129,-0.219547494532,55.2993895141,50.0
Y1050223,-0.206111092488,0.437959768945,0.223322892127,23.9734589025,20.0
Y1050224,1.31776000907,-0.842511519572,-0.260382436267,70.1666198224,68.0
Y1050225,1.67232147094,0.0874200464375,-0.922565536785,64.6754312739,75.0
Y1050226,-0.423370921654,-0.303713149849,0.129878781805,34.4708149781,40.0
Y1050227,-0.649829986569,0.414990725584,0.0889386454961,19.5740258403,10.0
Y1050228,1.84270769242,-0.106929604276,-0.107211128228,63.3765385226,66.0
Y1050229,1.65216167204,-0.916147459833,-0.191814587007,75.3043009173,99.0
Y1050230,-1.0888818203,0.443825165733,0.165655655173,12.5754748739,0.0
