username,video_backward_seek_avg,video_avg_count,qz_mean,final_score
Y1050160,-0.491276513497,-0.285372043853,-0.401229072333,30.0
Y1050161,-0.491276513497,-0.49110029024,0.307793596775,40.0
Y1050162,4.39983342722,1.33188055963,0.374682527823,30.0
Y1050163,-0.491276513497,-0.49110029024,-0.963096093135,0.0
Y1050164,-0.491276513497,-0.49110029024,-0.963096093135,0.0
Y1050165,-0.491276513497,-0.49110029024,-0.963096093135,0.0
Y1050166,-0.014095055866,-0.33680410545,-0.963096093135,20.0
Y1050167,-0.491276513497,-0.49110029024,-0.0801622033028,30.0
Y1050168,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050169,-0.491276513497,-0.49110029024,-0.963096093135,0.0
Y1050170,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050171,-0.431628831293,-0.156791889862,0.0803712312123,10.0
Y1050172,-0.491276513497,-0.49110029024,-0.454740217171,10.0
Y1050173,-0.332216027779,0.460392849299,1.08370519693,70.0
Y1050174,-0.491276513497,-0.473956269708,1.03019405209,80.0
Y1050175,-0.0719352329245,0.00607630519469,0.495082603709,30.0
Y1050176,0.349630670944,0.264951015231,0.856282831368,90.0
Y1050177,1.91848984754,2.33766309758,-0.655407010315,20.0
Y1050178,-0.491276513497,-0.49110029024,-0.963096093135,20.0
Y1050179,0.26426079426,0.248949929407,1.64557221773,95.0
Y1050180,-0.491276513497,-0.49110029024,-0.0801622033028,40.0
Y1050181,-0.491276513497,-0.49110029024,-0.963096093135,20.0
Y1050182,0.900502737609,0.507824639495,1.57868328669,90.0
Y1050183,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050184,-0.491276513497,-0.49110029024,-0.655407010315,10.0
Y1050185,-0.200818235022,-0.12421825085,1.03019405209,99.0
Y1050186,2.6104029611,0.858991326673,1.01681626588,85.0
Y1050187,-0.491276513497,-0.49110029024,-0.963096093135,20.0
Y1050188,0.304025916047,0.39181676717,-0.240695637818,45.0
Y1050189,1.19211362881,2.029070728,1.56530550048,91.0
Y1050190,2.31614106207,0.942139826255,1.44490542459,90.0
Y1050191,-0.0406051370575,1.2593042061,-0.0132732722548,40.0
Y1050192,1.54592124782,0.983285475532,0.990060693464,70.0
Y1050193,-0.491276513497,-0.49110029024,-0.695540368944,20.0
Y1050194,5.83137780011,1.05186155766,-0.762429299992,20.0
Y1050195,0.558522693291,1.20187173732,0.174015734679,40.0
Y1050196,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050197,3.17179291115,4.5449557411,1.35126092112,80.0
Y1050198,0.463086401765,-0.33680410545,0.294415810566,20.0
Y1050199,-0.491276513497,-0.49110029024,-0.963096093135,30.0
Y1050200,1.24392878681,0.948997434467,-0.548384720638,30.0
Y1050201,0.820972494988,0.866134668619,0.78939390032,68.0
Y1050202,-0.273988528258,0.713267152149,1.0435718383,75.0
Y1050203,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050204,0.472881915445,0.863277331806,1.47166099701,90.0
Y1050205,1.80064048753,0.261522211125,1.44490542459,88.0
Y1050206,0.00759501017309,-0.153934553049,1.44490542459,70.0
Y1050207,0.015728785236,7.94375781162,1.21748305903,40.0
Y1050208,0.08815811349,0.246949793673,0.909793976207,70.0
Y1050209,-0.411746270399,-0.131075859063,1.56530550048,85.0
Y1050210,-0.491276513497,-0.49110029024,-0.963096093135,20.0
Y1050211,-0.491276513497,-0.405380187579,-0.963096093135,40.0
Y1050212,-0.491276513497,-0.49110029024,-0.963096093135,20.0
Y1050213,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050214,1.03570415092,-0.0853584709201,-0.722295941363,20.0
Y1050215,-0.491276513497,-0.49110029024,-0.963096093135,20.0
Y1050216,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050217,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050218,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050219,-0.491276513497,-0.371092146514,-0.642029224105,20.0
Y1050220,0.558522693291,-0.268228023321,-0.963096093135,30.0
Y1050221,-0.491276513497,-0.319660084918,1.12383855556,80.0
Y1050222,-0.332216027779,-0.256798676242,0.883038403787,50.0
Y1050223,-0.014095055866,0.108940428388,-0.521629148219,20.0
Y1050224,0.463086401765,0.500395563817,1.43152763838,68.0
Y1050225,1.57650980274,0.368958073013,1.01681626588,75.0
Y1050226,-0.491276513497,-0.216795961724,0.000104513954762,40.0
Y1050227,-0.204967638918,-0.276800033587,-0.695540368944,10.0
Y1050228,1.08061534691,1.06471957306,1.05694962451,66.0
Y1050229,0.576701034489,0.751841198347,1.64557221773,99.0
Y1050230,-0.491276513497,-0.49110029024,-0.963096093135,0.0
Y1050231,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050232,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050233,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050234,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050235,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050236,-0.491276513497,-0.49110029024,-0.963096093135,20.0
Y1050237,-0.491276513497,-0.49110029024,-0.963096093135,0.0
Y1050238,-0.491276513497,-0.49110029024,1.23086084524,40.0
Y1050239,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050240,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050241,0.880620177192,0.203232541315,-0.963096093135,20.0
Y1050242,-0.491276513497,-0.49110029024,-0.963096093135,20.0
Y1050243,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050244,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050245,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050246,-0.491276513497,-0.49110029024,-0.963096093135,30.0
Y1050247,-0.491276513497,-0.49110029024,-0.80256265862,30.0
Y1050248,-0.491276513497,-0.49110029024,-0.963096093135,30.0
Y1050249,-0.491276513497,-0.49110029024,-0.963096093135,30.0
Y1050250,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050251,-0.491276513497,-0.49110029024,-0.963096093135,0.0
Y1050252,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050253,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050254,-0.491276513497,-0.49110029024,-0.963096093135,20.0
Y1050255,0.22449567295,-0.345376115716,0.16063794847,40.0
Y1050256,-0.491276513497,-0.49110029024,-0.240695637818,30.0
Y1050257,-0.491276513497,-0.49110029024,1.37801649354,40.0
Y1050258,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050259,-0.221565254981,0.114655101842,1.44490542459,80.0
Y1050260,2.18624166538,0.931853413935,0.856282831368,50.0
Y1050261,-0.491276513497,-0.49110029024,1.07032741072,82.0
Y1050262,-0.371981149089,-0.131075859063,1.71246114878,50.0
Y1050263,-0.491276513497,-0.49110029024,0.374682527823,40.0
Y1050264,-0.491276513497,-0.193937267738,1.25761641766,40.0
Y1050265,-0.491276513497,-0.49110029024,-0.963096093135,20.0
Y1050266,-0.491276513497,0.331812695307,1.39139427975,40.0
Y1050267,-0.371981149089,-0.216795961724,-0.267451210237,30.0
Y1050268,-0.0324481886315,-0.104502627238,1.43152763838,60.0
Y1050269,-0.491276513497,-0.49110029024,-0.963096093135,10.0
Y1050270,-0.491276513497,-0.49110029024,-0.963096093135,40.0
Y1050271,-0.491276513497,-0.49110029024,-0.963096093135,0.0
Y1050272,-0.491276513497,-0.49110029024,-0.963096093135,0.0
Y1050273,-0.491276513497,-0.49110029024,0.829527258949,40.0
Y9999986,2.52519198632,1.00042949606,0.615482679596,58.0
Y9999987,-0.491276513497,-0.49110029024,1.35126092112,27.0
Y9999988,-0.317755983276,0.331812695307,-0.120295561932,33.0
