username,video_backward_seek_avg,qz_mean,incomplete_rate,watched_time_hour,watched_time_weekday,mt_online_num_day,video_avg_count,mt_practice_sum,predict_score,real_score
Y1050160,-0.142333870083,-0.885898541616,-1.57750942755,1.62544444903,-1.04284729172,0.722994633941,-0.185193579226,0.00193826294391,32.2012352111,30.0
Y1050161,-1.99955419155,0.567146606005,0.354466523372,-0.746403914439,-0.673023400094,0.457748117289,0.317672930267,-0.0570556537539,37.6093467981,40.0
Y1050162,3.45140067615,-2.85074132115,3.14653313206,1.49391541252,-0.422551292603,-0.979124392571,1.5309341179,-0.00367670661441,36.5194340492,30.0
Y1050163,-2.54741035328,0.375231557619,0.620771422195,0.115464179007,-0.038463032211,0.0584941043841,-0.214696599148,0.0522819865613,5.61146017052,0.0
Y1050164,-2.54741035328,0.375231557619,0.620771422195,0.115464179007,-0.0384630322109,0.0584941043841,-0.214696599148,0.0522819865613,5.61146017052,0.0
Y1050165,-2.54741035328,0.375231557619,0.620771422195,0.115464179007,-0.0384630322109,0.0584941043841,-0.214696599148,0.0522819865613,5.61146017052,0.0
Y1050166,-1.6832128301,-0.0443884102995,-0.285323106453,0.439509547659,-0.102106506402,0.318447989467,0.158935086666,0.0480032317771,17.9082538826,20.0
Y1050167,-0.752993525916,-0.302749487116,-0.702840153546,-0.244351469307,0.183867818076,0.149308758921,0.341560367872,0.0118372289026,32.6186407875,30.0
Y1050168,-1.43241424936,-0.254132547767,-0.537192562745,0.350055324085,0.490620911244,-0.206563233381,0.0382271805554,0.0634334383279,9.98728595562,10.0
Y1050169,-0.923007550387,-0.65773234839,-0.303319525091,0.815256102539,0.423563286318,-0.0864435020382,-0.173953293852,0.100749875407,6.7498107858,0.0
Y1050170,-1.10370814699,-0.0962774925903,0.304951739632,0.0590940181947,0.97757879999,-0.586908773041,-0.0677245759117,0.13426014266,5.68325329153,10.0
Y1050171,-1.1242873235,-0.169693847128,0.203199124286,-0.494810204454,0.29254240001,-0.740301433065,-0.422051926548,-0.0219522694272,15.1606737578,10.0
Y1050172,-1.66078144602,0.0227436010647,-0.294892845961,0.307634018497,-0.428722568511,0.372037701545,-0.32910181055,0.0179468450174,20.2321124002,10.0
Y1050173,1.65239676356,-0.905625027965,-1.32320573887,-0.811464583299,0.0615461296703,0.35332480387,0.263624441152,-0.0639637345737,65.946558397,70.0
Y1050174,1.56682711295,2.4192808956,-1.03174801812,-0.296104222206,0.355808391932,-0.00829724719119,0.453030845338,0.301636410958,77.9763802626,80.0
Y1050175,0.847835518193,-0.498585086601,-0.807031894593,0.127476169759,-0.778377622124,-0.861528557802,-1.34185729385,-0.252968388094,35.9943109849,30.0
Y1050176,2.97650694579,3.69883133111,0.0453982121167,0.112606254413,-0.726274083269,-0.232844568464,-0.993687667574,1.70264203319,95.4799230755,90.0
Y1050177,1.00098035782,-1.36927690376,0.586089085099,0.974864261048,0.141631797037,-0.232988455858,-0.163209955548,-0.00731723322468,20.1608693029,20.0
Y1050178,-1.33032723272,-0.14677511921,0.0016491719577,-0.259337043977,0.506978985925,-0.0470079385761,0.174979111122,0.0578840171098,18.2888071372,20.0
Y1050179,2.41044341086,1.66554948289,-0.0658147674782,-0.823966323328,-1.50277830297,-0.460242757281,-0.939739989282,-0.616552756367,89.7596261477,95.0
