username,active_sum_count,video_num_days,stop_video_sum,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,Cumulative_num_days,hw_mean,exam_mean,predict_score,real_score
Y1050160,-0.540198503149,0.150393517668,-0.826514866874,-0.211208828241,-0.380480970337,-0.464362943733,-0.528755569277,-0.551002813895,-0.293703757062,24.2335877651,30.0
Y1050161,-0.932085955944,-1.09156585404,-0.826514866874,-0.446572524453,-0.588075020649,-0.757630616223,-0.528755569277,-0.551002813895,0.266485650161,31.9983248721,40.0
Y1050162,2.02365451874,1.18535966076,-0.594000794435,1.60751064248,6.09645339939,3.8570224656,-0.528755569277,-0.551002813895,-0.040467449687,35.5421134899,30.0
Y1050163,-1.07520472789,-1.09156585404,-0.826514866874,-0.446572524453,-0.588075020649,-0.757630616223,-0.528755569277,-0.551002813895,-1.2299107116,6.14037761359,0.0
Y1050164,-1.07520472789,-1.09156585404,-0.826514866874,-0.446572524453,-0.588075020649,-0.757630616223,-0.528755569277,-0.551002813895,-1.2299107116,6.14037761359,0.0
Y1050165,-1.07274775326,-1.09156585404,-0.826514866874,-0.446572524453,-0.588075020649,-0.757630616223,-0.528755569277,-0.551002813895,-1.2299107116,6.14481672433,0.0
Y1050166,-1.01009490031,-0.677579396806,-0.826514866874,-0.446572524453,-0.567315615617,-0.680000938211,-0.528755569277,-0.551002813895,-0.616004511902,17.1083301722,20.0
Y1050167,-0.226934238375,-0.470586168188,-0.594000794435,-0.403779125141,-0.525796805555,-0.464362943733,-0.528755569277,-0.551002813895,0.274159477657,33.8727763842,30.0
Y1050168,-0.974468768237,-0.884572625425,-0.826514866874,-0.446572524453,-0.588075020649,-0.740379576665,-0.528755569277,-0.551002813895,-1.03806502419,9.79245420662,10.0
Y1050169,-0.367596035695,-0.263592939569,-0.826514866874,0.206026815043,-0.00681167977585,-0.11071663279,-0.528755569277,-0.551002813895,-1.2299107116,8.06978251094,0.0
Y1050170,-0.194379324585,-0.0565997109504,0.103541422883,-0.393080775314,-0.338962160275,0.139423440804,0.0940730767426,0.256044973178,-1.2299107116,17.2242544517,10.0
Y1050171,-0.103471263435,0.564379974905,0.336055495322,-0.435874174625,-0.546556210586,-0.360856706384,-0.528755569277,-0.551002813895,-0.631352166894,19.9564898752,10.0
Y1050172,-1.00702368203,-0.884572625425,-0.826514866874,-0.446572524453,-0.588075020649,-0.585120220641,-0.528755569277,-0.551002813895,-0.516244754451,18.4906778793,10.0
Y1050173,0.549469743338,0.357386746287,0.568569567762,-0.136320379446,-0.214405730088,0.527571830864,-0.113536471931,-0.316651369222,1.24873556967,54.5142125338,70.0
Y1050174,0.60229469779,-0.263592939569,-0.361486721995,-0.403779125141,-0.567315615617,-0.447111904175,2.7929972095,1.76526827635,1.21804025969,73.2226812644,80.0
Y1050175,0.639763560831,1.599346118,0.103541422883,-0.26470057738,-0.0690898948694,0.346435915503,-0.113536471931,-0.287357438769,-0.00977213970219,34.8692568514,30.0
