username,qz_mean,final_score
Y1050167,-0.07776391464750827,30
Y1050168,-1.321386057556668,10
Y1050170,-1.709304890939391,10
Y1050171,-1.2643391701636304,10
Y1050172,-1.178768839245215,10
Y1050173,1.2742473138634562,70
Y1050174,1.1430394728936981,80
Y1050175,-0.4371593045048538,30
Y1050176,1.063173830817271,90
Y1050177,-0.7223937411277596,20
Y1050178,-0.5968905889999898,20
Y1050179,1.588005193669459,95
Y1050180,0.04773923713797991,40
Y1050182,1.3427035785981885,90
Y1050184,-1.0646750648014216,10
Y1050185,1.3940457771492376,99
Y1050186,1.1601535390773812,85
Y1050188,0.17324238926574967,45
Y1050189,1.4282739095166042,91
Y1050190,1.3312942009142124,90
Y1050191,-0.2831327088517059,40
Y1050192,0.5782752888321561,70
Y1050193,-0.8250781382298582,20
Y1050194,-0.8536015817552364,20
Y1050195,0.10478612453101728,40
Y1050197,1.0460597646335879,80
Y1050199,-0.5113202580815742,30
Y1050200,-0.7623265619948325,30
Y1050201,0.5497518453067778,68
Y1050202,0.9148519240061109,75
Y1050204,1.3369988897562004,90
Y1050205,1.2286098038121136,88
Y1050206,1.2229051153124069,70
Y1050208,0.5440471564647898,70
Y1050209,1.0802878970009537,85
Y1050211,-0.5512530792909286,40
Y1050214,-0.9505812900153467,20
Y1050219,-0.5455483904489405,20
Y1050221,1.0460597646335879,80
Y1050223,-0.8650109590969312,20
Y1050224,1.2400191814960897,68
Y1050225,0.732301884485304,75
Y1050226,0.3729064946279588,40
Y1050227,-1.0931985083267994,10
Y1050228,0.5611612226484728,66
Y1050229,1.7135083457972284,99
Y1050231,-1.4811173418122072,10
Y1050234,-1.5096407854744978,10
Y1050235,-1.4525938981841446,10
Y1050236,-1.1673594619035201,20
Y1050238,0.6239127988834983,40
Y1050239,-1.4811173418122072,10
Y1050240,-1.5381642291025601,10
Y1050241,-0.6653468537347221,20
Y1050242,-0.7395078073114427,20
Y1050246,-0.9962188000666893,30
Y1050247,-0.6425280987090509,30
Y1050248,-0.5398437016069524,30
Y1050249,-0.3801124174540975,30
Y1050250,-1.709304890939391,10
Y1050253,-1.1673594619035201,10
Y1050254,-0.836487515571553,20
Y1050255,0.22458458781679896,40
Y1050256,-0.28883739769369393,30
Y1050257,0.5155237129394117,40
Y1050258,-1.338500123740351,10
Y1050259,1.3427035785981885,80
Y1050261,1.1031066520266253,82
Y1050262,0.9148519240061109,50
Y1050264,0.7494159506689869,40
Y1050266,0.7779393945366462,40
Y1050267,0.04203454863827295,30
Y1050270,-0.07205922614780179,40
Y1050273,-0.48850150305590306,40
Y9999986,0.7893487718783412,58
Y9999993,0.8064628380620243,49
