username,video_backward_seek_avg,problem_num_days,watched_time_weekday,qz_mean,watched_time_hour,final_score
Y1050160,-0.454877092418,-0.670577045282,-0.725605968694,-0.530781226071,-0.715198057745,30.0
Y1050161,-0.454877092418,-0.670577045282,-0.725605968694,-0.0740198175427,-0.715198057745,40.0
Y1050162,1.05960471538,0.776061074877,-0.258884541594,0.317489961196,0.24377689158,30.0
Y1050163,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,0.0
Y1050164,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,0.0
Y1050165,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,0.0
Y1050166,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,20.0
Y1050167,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,30.0
Y1050168,-0.454877092418,-0.670577045282,-0.725605968694,-0.752636767356,-0.715198057745,10.0
Y1050169,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,0.0
Y1050170,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050171,-0.412808153481,1.74048648832,1.1412797397,-0.85703937502,0.551246630128,10.0
Y1050172,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050173,-0.454877092418,0.776061074877,0.207836885505,1.75302581657,0.866957848174,70.0
Y1050174,-0.454877092418,1.74048648832,-0.725605968694,1.43981799358,-0.715198057745,80.0
Y1050175,-0.286601336165,0.293848368157,0.207836885505,0.434942894817,1.05960017278,30.0
Y1050176,-0.299545624797,2.70491190175,0.207836885505,1.36151603783,2.02194550298,90.0
Y1050177,-0.0762566404694,-0.188364338562,1.1412797397,-0.85703937502,0.856666912719,20.0
Y1050178,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,20.0
Y1050179,0.100432903773,2.22269919504,0.207836885505,1.88352907615,2.9278537977,95.0
Y1050180,-0.454877092418,-0.670577045282,0.674558312605,-0.178422425206,-0.684038853121,40.0
Y1050181,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,20.0
Y1050182,0.524728203654,1.2582737816,0.207836885505,1.88352907615,1.02195011605,90.0
Y1050183,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050184,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050185,0.266304721034,0.293848368157,0.207836885505,1.5572709272,1.05200167738,99.0
Y1050186,1.7327077409,1.2582737816,1.1412797397,1.16576114846,0.960951035834,85.0
Y1050187,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,20.0
Y1050188,-0.454877092418,-0.188364338562,3.0081654481,-0.230623729038,0.746988302106,45.0
Y1050189,1.61000666879,0.293848368157,1.6080011668,1.79217679444,1.41160575052,91.0
Y1050190,2.59211606865,1.2582737816,1.1412797397,1.75302581657,0.89292322428,90.0
Y1050191,1.81684561928,0.776061074877,0.207836885505,0.304439635238,-0.0210444309068,40.0
Y1050192,1.09566380582,1.2582737816,2.541444021,0.904754629303,0.718515110636,70.0
Y1050193,-0.454877092418,-0.670577045282,-0.725605968694,-0.465529596281,-0.715198057745,20.0
Y1050194,5.22442968682,-0.188364338562,1.1412797397,-0.66128448565,0.376358814225,20.0
Y1050195,-0.303428911639,0.776061074877,0.207836885505,0.29138930928,0.692598683537,40.0
Y1050196,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050197,4.48055185758,1.2582737816,0.674558312605,1.62252255699,1.81819946532,80.0
Y1050198,-0.454877092418,-0.670577045282,-0.725605968694,0.0564834420368,-0.715198057745,20.0
Y1050199,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,30.0
Y1050200,0.371203893469,1.2582737816,0.674558312605,-0.269774706912,2.40522382031,30.0
Y1050201,0.316386791294,0.293848368157,0.674558312605,0.708999739934,1.5441813019,68.0
Y1050202,-0.382758911023,0.776061074877,0.207836885505,1.10050951867,2.62811021015,75.0
Y1050203,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050204,-0.0314735764721,0.776061074877,0.674558312605,1.81827744636,1.02505656919,90.0
Y1050205,2.8953402398,1.74048648832,0.207836885505,1.49201929741,1.59450987614,88.0
Y1050206,-0.0112410077042,2.70491190175,0.674558312605,1.60947223103,1.07403040936,70.0
Y1050207,0.356862209637,-0.188364338562,1.1412797397,0.252238331406,2.32697309999,40.0
Y1050208,0.158127448688,3.66933731519,1.6080011668,1.36151603783,2.17534967754,70.0
Y1050209,-0.454877092418,4.15155002191,0.674558312605,1.5572709272,-0.575197623274,85.0
Y1050210,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,20.0
Y1050211,-0.454877092418,-0.188364338562,0.207836885505,-0.100120469459,1.32053527517,40.0
Y1050212,-0.454877092418,-0.188364338562,-0.725605968694,-0.530781226071,-0.715198057745,20.0
Y1050213,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050214,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,20.0
Y1050215,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,20.0
Y1050216,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050217,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050218,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050219,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,20.0
Y1050220,0.22663972109,-0.670577045282,0.674558312605,-0.400277966491,-0.0976787047215,30.0
Y1050221,0.554777446112,1.2582737816,3.0081654481,1.36151603783,0.909765105648,80.0
Y1050222,0.795171383762,1.2582737816,2.0747225939,1.16576114846,2.44203329467,50.0
Y1050223,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,20.0
Y1050224,-0.16640436734,0.293848368157,3.0081654481,1.27016375613,1.88209754222,68.0
Y1050225,2.17022470776,1.2582737816,1.1412797397,1.23101277825,1.50312366415,75.0
Y1050226,0.2182259331,0.293848368157,1.6080011668,-0.295875358828,-0.677161145523,40.0
Y1050227,-0.454877092418,-0.670577045282,-0.725605968694,-0.817888397146,-0.715198057745,10.0
Y1050228,2.06925925391,1.2582737816,2.0747225939,1.10050951867,2.57011178977,66.0
Y1050229,0.338422901925,0.293848368157,2.0747225939,1.94878070594,-0.286681503156,99.0
Y1050230,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,0.0
Y1050231,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050232,3.07891379244,-0.188364338562,0.674558312605,-0.85703937502,-0.360728042962,10.0
Y1050233,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050234,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050235,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050236,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,20.0
Y1050237,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,0.0
Y1050238,-0.454877092418,-0.670577045282,-0.725605968694,0.186986701616,-0.715198057745,40.0
Y1050239,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050240,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050241,0.155122524442,0.293848368157,1.6080011668,-0.85703937502,1.16014162406,20.0
Y1050242,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,20.0
Y1050243,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050244,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050245,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050246,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,30.0
Y1050247,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,30.0
Y1050248,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,30.0
Y1050249,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,30.0
Y1050250,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050251,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,0.0
Y1050252,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050253,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050254,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,20.0
Y1050255,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,40.0
Y1050256,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,30.0
Y1050257,-0.454877092418,-0.188364338562,-0.725605968694,0.186986701616,-0.715198057745,40.0
Y1050258,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050259,2.85942367521,1.2582737816,1.1412797397,1.16576114846,1.46785766263,80.0
Y1050260,2.37776480729,0.293848368157,1.6080011668,1.16576114846,1.69755286561,50.0
Y1050261,-0.454877092418,2.22269919504,-0.725605968694,1.70082451274,-0.715198057745,82.0
Y1050262,-0.328670275102,-0.188364338562,2.0747225939,0.447993220775,-0.38045540603,50.0
Y1050263,-0.454877092418,-0.670577045282,-0.725605968694,-0.66128448565,-0.715198057745,40.0
Y1050264,-0.454877092418,0.776061074877,0.207836885505,0.317489961196,0.121175373022,40.0
Y1050265,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,20.0
Y1050266,-0.454877092418,0.293848368157,0.207836885505,0.447993220775,0.681809050925,40.0
Y1050267,-0.328670275102,0.293848368157,-0.258884541594,-0.85703937502,-0.393253233068,30.0
Y1050268,-0.221879890986,1.74048648832,0.674558312605,1.36151603783,0.493554369834,60.0
Y1050269,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,10.0
Y1050270,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,40.0
Y1050271,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,0.0
Y1050272,-0.454877092418,-0.670577045282,-0.725605968694,-0.85703937502,-0.715198057745,0.0
Y1050273,-0.454877092418,-0.670577045282,1.1412797397,-0.269774706912,0.0324822788462,40.0
Y9999986,0.933397898061,0.293848368157,-0.258884541594,1.42676766762,0.723819362049,58.0
Y9999987,-0.454877092418,-0.670577045282,-0.725605968694,0.904754629303,-0.715198057745,27.0
Y9999988,-0.454877092418,-0.188364338562,-0.258884541594,-0.008768187753,-0.0274959773731,33.0
Y9999989,-0.454877092418,-0.188364338562,0.207836885505,1.16576114846,0.857874438901,59.0
Y9999990,0.72178797145,2.22269919504,2.0747225939,1.49201929741,1.12426871325,63.0
Y9999991,-0.454877092418,-0.670577045282,-0.725605968694,0.447993220775,-0.715198057745,36.0
Y9999992,-0.353911638565,-0.188364338562,1.6080011668,-0.100120469459,0.00632829182566,38.0
Y9999993,0.532828434339,0.776061074877,-0.258884541594,1.20491212634,0.747806672375,49.0
Y9999994,-0.454877092418,-0.670577045282,-0.725605968694,0.513244850565,-0.715198057745,20.0
Y9999995,-0.454877092418,-0.188364338562,1.6080011668,1.42676766762,1.03188335346,57.0
Y9999996,-0.454877092418,-0.670577045282,-0.725605968694,1.16576114846,-0.715198057745,54.0
Y9999997,-0.454877092418,-0.188364338562,-0.258884541594,1.49201929741,-0.0418071828785,58.0
Y9999998,-0.334680123594,-0.670577045282,-0.258884541594,1.16576114846,-0.456999975352,49.0
Y9999999,-0.340143622269,-0.188364338562,0.207836885505,1.88352907615,1.01380854929,73.0
