number_of_comp,pMAPC,pMSE
1.0,0.686247602498,236.303856808
2.0,0.731504502168,169.223784948
3.0,0.765777720978,132.961305511
4.0,0.881344208256,31.2118267199
5.0,0.881067352296,32.4161519063
6.0,0.884963700606,29.8039920764
