username,active_sum_count,video_num_days,video_forward_seek_sum,video_pause_sum,exam_mean,hw_mean,final_score
Y1050160,-0.688592726155,0.185979201636,0.0930183376435,0.241018329601,0.375297630709,0.0446850089664,30
Y1050161,-1.30890092988,-0.19976344924,-0.264801822678,0.847151415424,-0.294495641286,-0.0572564043882,40
Y1050162,3.06631800906,1.98389954945,2.57545019798,-0.0747320976771,-0.981911894106,-0.126834998951,30
Y1050163,-2.34779968662,0.244474145297,-0.0155812810424,-0.510189689608,-0.195858313777,-0.0318860338618,0
Y1050164,-2.08833156513,0.20066701491,0.103979614375,-0.598794211057,0.176714737178,-0.0761452718557,0
Y1050165,-2.08779036468,0.261599328219,0.157537205277,-0.5812910532,-0.0203042966901,-0.0964957259708,0
Y1050166,-1.4645347693,-0.057342027476,0.0256594103168,0.0682007647449,0.316904934962,-0.212145887695,20
Y1050167,-0.614685317258,-0.363886826846,-0.187267321678,0.335507997096,-0.0243667131997,0.136909903099,30
Y1050168,-1.42613647439,0.114771832617,-0.0940049267059,-0.539893466656,0.0691843625252,0.0348130218728,10
Y1050169,-0.727830098156,1.08145223835,0.465060462317,-0.783546058531,0.228647773599,0.12983348423,0
Y1050170,-0.517047672416,-0.084888746028,0.331295161075,-1.42093492076,-0.358328556683,0.084723366016,10
Y1050171,-0.123679567309,0.0336149631536,0.764875389923,-0.723248771281,1.10291191716,0.459172270474,10
Y1050172,-1.40409300314,0.310269575304,0.473588382049,-0.220808079228,-0.394974074356,-0.131126785982,10
Y1050173,1.09578323387,-0.337047212032,0.328654905493,1.20718390376,0.0225885437877,-0.0717516937025,70
Y1050174,1.23657725438,-1.33517801677,-1.20564881659,0.166795306831,-0.78133793635,0.211948020728,80
Y1050175,0.673662686035,-0.0491416750141,0.895228165921,-0.171297869178,1.09020126741,0.283839562343,30
Y1050176,4.17953249727,-0.984088133819,-0.593944413765,-1.03741559935,0.438826432782,-0.13706951747,90
Y1050177,0.149328501902,0.58935061994,-0.0158495118396,-0.201026488509,0.0750945463044,0.997399274812,20
Y1050178,-1.33482576022,0.210110843165,-0.213653797182,0.21574220999,-0.192482958626,-0.125623464924,20
