username,qz_mean,predict_score,real_score
Y1050167,-0.07776391464750827,42.3503261455898,30
Y1050168,-1.321386057556668,8.813843058241062,10
Y1050170,-1.709304890939391,-1.6470782667614472,10
Y1050171,-1.2643391701636304,10.352213844858873,10
Y1050172,-1.178768839245215,12.659770020170473,10
Y1050173,1.2742473138634562,78.80971371551306,70
Y1050174,1.1430394728936981,75.27146090721511,80
Y1050175,-0.4371593045048538,32.658590209281066,30
Y1050176,1.063173830817271,73.11774181333436,90
Y1050177,-0.7223937411277596,24.966736285422254,20
Y1050178,-0.5968905889999898,28.35115201228934,20
Y1050179,1.588005193669459,87.27075301883545,95
Y1050180,0.04773923713797991,45.734741863226645,40
Y1050182,1.3427035785981885,80.65575865576233,90
Y1050184,-1.0646750648014216,15.736511584175854,10
Y1050185,1.3940457771492376,82.04029236094928,99
Y1050186,1.1601535390773812,75.73297214227743,85
Y1050188,0.17324238926574967,49.119157590093735,45
Y1050189,1.4282739095166042,82.96331483107394,91
Y1050190,1.3312942009142124,80.34808449290064,90
Y1050191,-0.2831327088517059,36.81219132484195,40
Y1050192,0.5782752888321561,60.04159015015857,70
Y1050193,-0.8250781382298582,22.197668875048333,20
Y1050194,-0.8536015817552364,21.42848348635454,20
Y1050195,0.10478612453101728,47.27311264984446,40
Y1050197,1.0460597646335879,72.65623057827204,80
Y1050199,-0.5113202580815742,30.658708187600944,30
Y1050200,-0.7623265619948325,23.889876743096995,30
Y1050201,0.5497518453067778,59.27240476146477,68
Y1050202,0.9148519240061109,69.11797777920432,75
Y1050204,1.3369988897562004,80.50192157433148,90
Y1050205,1.2286098038121136,77.57901708252672,88
Y1050206,1.2229051153124069,77.4251800103261,70
Y1050208,0.5440471564647898,59.11856768003393,70
Y1050209,1.0802878970009537,73.57925304839668,85
Y1050211,-0.5512530792909286,29.58184863604545,40
Y1050214,-0.9505812900153467,18.81325315741147,20
Y1050219,-0.5455483904489405,29.7356857174763,20
Y1050221,1.0460597646335879,72.65623057827204,80
Y1050223,-0.8650109590969312,21.120809332723073,20
Y1050224,1.2400191814960897,77.8866912453884,68
Y1050225,0.732301884485304,64.19519126571944,75
Y1050226,0.3729064946279588,54.50345532941073,40
Y1050227,-1.0931985083267994,14.96732619548207,10
Y1050228,0.5611612226484728,59.58007891509624,66
Y1050229,1.7135083457972284,90.65516874570253,99
Y1050231,-1.4811173418122072,4.506404867710486,10
Y1050234,-1.5096407854744978,3.7372194753246077,10
Y1050235,-1.4525938981841446,5.275590259173349,10
Y1050236,-1.1673594619035201,12.96744417380194,20
Y1050238,0.6239127988834983,61.27228678314489,40
Y1050239,-1.4811173418122072,4.506404867710486,10
Y1050240,-1.5381642291025601,2.9680340838617525,10
Y1050241,-0.6653468537347221,26.50510707204006,20
Y1050242,-0.7395078073114427,24.505225050359932,20
Y1050246,-0.9962188000666893,17.582556524425133,30
Y1050247,-0.6425280987090509,27.12045538853323,30
Y1050248,-0.5398437016069524,29.889522798907144,30
Y1050249,-0.3801124174540975,34.19696098666866,30
Y1050250,-1.709304890939391,-1.6470782667614472,10
Y1050253,-1.1673594619035201,12.96744417380194,10
Y1050254,-0.836487515571553,21.88999472141687,20
Y1050255,0.22458458781679896,50.503691295280696,40
Y1050256,-0.28883739769369393,36.6583542434111,30
Y1050257,0.5155237129394117,58.349382291340135,40
Y1050258,-1.338500123740351,8.352331823178744,10
Y1050259,1.3427035785981885,80.65575865576233,80
Y1050261,1.1031066520266253,74.19460136488985,82
Y1050262,0.9148519240061109,69.11797777920432,50
Y1050264,0.7494159506689869,64.65670250078176,40
Y1050266,0.7779393945366462,65.42588789870578,40
Y1050267,0.04203454863827295,45.58090479102602,30
Y1050270,-0.07205922614780179,42.504163217790406,40
Y1050273,-0.48850150305590306,31.274056504094105,40
Y9999986,0.7893487718783412,65.73356205233725,58
Y9999993,0.8064628380620243,66.19507328739957,49
