username,active_sum_count,video_num_days,stop_video_sum,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,Cumulative_num_days,hw_mean,exam_mean,predict_score,real_score
Y1050189,982.0,2.0,1.5,41.25,18.75,32.5,3.25,7.653333333,93.5,89.828057505,91.0
Y1050190,1547.25,3.25,1.75,31.5,48.5,103.75,4.5,7.399166667,81.25,82.9790853979,90.0
Y1050191,796.5,2.75,0.0,173.25,10.25,24.0,0.25,0.416666667,41.5,34.9670889147,40.0
Y1050192,1173.0,2.0,0.75,18.5,17.5,26.5,4.5,7.7225,61.5,71.4702094963,70.0
Y1050193,144.5,1.0,0.0,0.0,0.75,9.25,0.0,0.0,13.75,14.5378331491,20.0
Y1050194,529.75,1.5,0.25,7.25,27.75,28.5,0.0,0.0,21.25,22.0376629601,20.0
Y1050195,1456.75,3.25,1.75,10.5,14.75,122.5,0.75,0.875,53.75,43.2115909253,40.0
Y1050196,31.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,5.0,9.10110888622,10.0
Y1050197,1588.75,2.75,4.5,132.25,58.0,73.0,2.5,5.333333333,80.75,80.3710043793,80.0
Y1050198,143.25,1.0,0.25,1.5,5.25,4.5,0.0,0.0,37.25,27.5060424425,20.0
Y1050199,323.0,1.5,0.75,28.25,8.0,16.25,1.75,3.958333333,30.0,39.0896715649,30.0
Y1050200,704.5,2.25,0.0,1.5,23.0,103.75,0.0,0.0,25.25,22.2205257243,30.0
Y1050201,854.25,3.0,1.0,14.25,15.0,63.5,2.75,6.745833333,61.5,68.5518959469,68.0
Y1050202,1089.5,3.25,3.75,6.0,2.25,94.0,1.75,7.5975,73.75,81.1650079385,75.0
Y1050203,3.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,6.35123747201,10.0
Y1050204,651.5,2.25,4.25,5.75,12.75,37.0,0.75,6.725833333,83.0,84.5331629252,90.0
Y1050205,782.25,2.5,3.75,2.0,13.75,36.75,1.5,7.465833333,82.5,86.7239116766,88.0
Y1050206,687.5,2.75,1.0,4.5,4.0,12.75,0.0,1.916666667,82.5,63.6337982244,70.0
Y1050207,465.0,0.75,1.25,91.5,12.75,27.25,0.0,0.0,70.75,46.4719883839,40.0
Y1050208,1247.25,4.0,0.0,77.5,6.75,26.75,1.5,6.75,62.5,74.4830009795,70.0
Y1050209,981.0,4.25,1.25,6.25,4.5,39.0,3.75,8.4875,78.5,85.0987189471,85.0
Y1050210,269.75,0.75,0.0,1.0,0.25,4.25,0.0,0.0,27.5,22.2578973615,20.0
Y1050211,583.25,1.25,0.5,35.5,21.25,25.5,0.0,0.833333333,11.25,20.2730428586,40.0
Y1050212,305.75,1.25,0.0,2.5,15.0,15.25,0.0,0.0,6.25,12.3787926742,20.0
Y1050213,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22472071754,10.0
Y1050214,262.25,2.5,1.0,9.75,16.75,31.75,0.25,0.083333333,24.5,22.6333741709,20.0
Y1050215,312.75,1.25,1.25,1.75,2.0,13.5,0.0,0.0,23.75,21.238344825,20.0
Y1050216,99.5,0.25,0.0,1.0,1.0,1.5,0.0,0.0,5.0,9.43393370742,10.0
Y1050217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14037761359,10.0
Y1050218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14037761359,10.0
Y1050219,205.75,1.0,0.0,2.75,0.0,3.75,0.0,0.0,31.0,24.0184246786,20.0
Y1050220,579.75,2.25,1.5,11.25,27.75,59.0,0.0,0.0,27.5,25.5716546218,30.0
Y1050221,727.5,2.0,0.0,1.5,0.25,6.5,2.5,7.211666667,77.75,78.862362229,80.0
Y1050222,467.75,1.75,0.0,5.25,0.5,6.0,0.0,0.0,58.25,40.0646746462,50.0
Y1050223,733.75,1.75,0.75,11.25,7.0,38.75,0.0,0.0,20.75,21.147361438,20.0
Y1050224,652.0,2.75,2.5,12.25,14.5,40.75,0.0,1.416666667,89.75,65.4608996206,68.0
Y1050225,1126.75,5.0,4.25,26.75,28.25,50.5,3.5,6.941666667,72.0,79.2581625429,75.0
Y1050226,281.25,1.25,2.0,4.25,4.0,24.0,0.0,0.0,55.5,37.8629489168,40.0
Y1050227,236.5,1.25,0.0,1.5,2.25,15.5,0.0,0.0,17.5,17.0003169234,10.0
Y1050228,1439.75,4.25,2.25,31.75,17.75,112.25,1.5,5.496666667,62.75,68.6918771897,66.0
Y1050229,1136.0,4.0,1.0,5.5,11.5,80.5,5.5,9.9725,96.25,96.8835355936,99.0
Y1050230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14037761359,0.0
Y1050231,79.25,0.5,2.0,0.0,0.0,3.75,0.0,0.0,0.0,7.66227174478,10.0
Y1050232,221.5,0.75,0.25,6.5,5.25,17.75,0.0,0.0,0.0,7.58519188466,10.0
Y1050233,65.0,0.5,0.0,0.0,1.5,2.25,0.0,0.0,0.0,6.87195505428,10.0
Y1050234,40.75,0.25,0.5,0.0,0.0,2.0,0.0,0.0,0.0,6.67716679537,10.0
Y1050235,39.5,0.5,0.75,0.0,0.0,2.25,0.0,0.0,0.0,6.98137640852,10.0
Y1050236,292.25,0.25,0.0,0.0,0.0,1.0,1.0,0.416666667,0.0,7.4639666802,20.0
Y1050237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14037761359,0.0
Y1050238,587.75,0.5,0.0,0.0,0.5,1.25,1.0,1.75,78.5,56.1956366111,40.0
Y1050239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14037761359,10.0
Y1050240,89.0,0.5,1.0,0.0,0.5,4.0,0.0,0.0,0.0,7.28525905702,10.0
Y1050241,594.75,1.5,0.5,16.5,9.25,20.75,0.0,0.0,25.0,23.293189935,20.0
Y1050242,163.75,0.75,1.5,14.75,8.25,11.0,0.0,0.0,20.0,18.8745391351,20.0
Y1050243,88.25,0.5,2.25,0.0,0.25,6.5,0.0,0.0,0.0,7.7296060724,10.0
Y1050244,89.5,0.5,1.5,0.0,1.5,7.0,0.0,0.0,0.0,7.47465167745,10.0
Y1050245,213.75,0.5,0.25,0.25,1.0,2.75,0.0,0.0,0.0,7.58758066225,10.0
Y1050246,66.75,0.5,0.0,1.0,0.5,1.25,1.75,2.7775,17.5,24.9410895745,30.0
Y1050247,86.5,0.75,0.0,0.5,3.75,5.25,1.5,3.166666667,21.75,29.8055285634,30.0
Y1050248,113.5,0.5,0.5,0.0,0.5,1.75,0.25,0.5,28.75,24.0860768215,30.0
Y1050249,105.0,0.5,1.5,0.0,0.0,3.75,0.0,0.0,36.25,26.5875751695,30.0
Y1050250,39.25,0.25,1.25,0.0,0.0,1.75,0.0,0.0,0.0,7.0165959207,10.0
Y1050251,86.0,0.5,2.5,0.0,0.0,4.5,0.0,0.0,0.0,7.88834809684,0.0
Y1050252,216.75,0.5,0.75,0.0,1.75,4.0,0.0,0.0,0.0,7.83516385139,10.0
Y1050253,241.75,0.5,0.0,0.0,0.5,11.25,0.0,0.0,10.0,12.491865852,10.0
Y1050254,375.25,0.5,0.25,1.0,0.25,3.5,0.25,0.0,17.5,16.9070383905,20.0
Y1050255,577.0,2.25,0.75,14.25,7.75,12.5,2.0,2.805833333,61.0,51.5846696239,40.0
Y1050256,515.25,0.5,0.0,0.0,0.5,1.0,0.5,0.333333333,41.0,30.8591019265,30.0
Y1050257,142.25,0.5,0.0,4.0,1.25,4.0,0.0,0.0,81.25,49.7951097792,40.0
Y1050258,269.25,0.5,0.5,2.25,8.75,5.0,0.0,0.0,0.0,8.45021073824,10.0
Y1050259,985.25,1.5,2.0,16.5,10.0,47.0,3.25,6.468333333,93.75,83.2739406434,80.0
Y1050260,997.5,1.75,1.5,5.5,20.0,47.5,0.0,0.0,66.5,47.337134293,50.0
Y1050261,764.0,0.0,0.0,0.0,0.0,0.0,2.5,6.389166667,76.75,73.3916488103,82.0
Y1050262,149.0,1.0,0.25,1.75,0.25,3.75,0.25,0.333333333,90.0,55.8687183018,50.0
Y1050263,436.0,0.25,0.25,0.25,10.25,38.25,0.0,0.0,60.0,39.2368258767,40.0
Y1050264,636.5,1.5,3.25,0.0,1.75,28.75,0.0,0.0,82.75,54.1673112218,40.0
Y1050265,225.25,0.75,1.75,7.5,2.25,10.0,0.0,0.0,35.0,26.7186714918,20.0
Y1050266,585.0,2.0,1.75,5.25,6.5,57.25,0.0,0.0,84.0,53.6203172068,40.0
Y1050267,864.25,2.75,1.75,5.25,10.0,24.5,0.25,0.333333333,54.25,42.3505149662,30.0
Y1050268,691.25,3.0,1.75,3.75,3.25,17.75,0.0,0.0,81.0,54.5891035112,60.0
Y1050269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.7043183977,10.0
Y1050270,259.25,1.0,0.5,0.25,0.75,9.0,1.5,4.444166667,47.5,49.8689989775,40.0
Y1050271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14037761359,0.0
Y1050272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.14037761359,0.0
Y1050273,56.5,0.25,0.0,1.25,0.0,0.5,1.75,4.375,53.5,50.7272414934,40.0
Y9999986,879.0,2.25,2.25,12.25,35.75,53.25,0.5,1.0,67.0,52.272895591,58.0
Y9999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.25,31.4771890404,27.0
Y9999988,388.0,1.25,0.5,3.75,3.0,15.0,0.0,0.0,48.25,34.1202953531,33.0
Y9999989,457.75,1.0,1.25,0.0,0.0,4.0,0.0,0.0,73.25,47.8750451445,59.0
Y9999990,862.25,3.0,2.0,7.25,6.0,82.25,0.0,0.0,87.0,56.3844068297,63.0
Y9999991,471.5,0.5,1.0,31.75,1.0,10.25,0.0,0.0,70.75,45.9347735231,36.0
Y9999992,562.75,2.0,2.75,1.0,3.5,25.25,0.0,0.0,43.25,33.5525245616,38.0
Y9999993,1061.75,1.75,1.25,40.5,37.25,89.0,0.0,0.0,88.25,58.673101589,49.0
Y9999994,78.0,0.5,0.25,0.75,1.0,2.75,0.0,0.0,31.25,23.3947861225,20.0
Y9999995,261.5,1.0,0.5,11.25,0.75,8.25,0.0,0.0,74.25,47.0880365073,57.0
Y9999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,48.6747138949,54.0
Y9999997,580.5,1.5,2.25,3.25,3.25,11.5,0.0,0.0,86.25,56.0728985801,58.0
Y9999998,333.75,1.5,1.5,60.0,4.5,13.25,0.0,0.0,58.5,40.0936726119,49.0
Y9999999,996.0,2.75,2.25,25.0,10.75,92.5,0.0,0.0,100.0,63.6826067896,73.0
