username,video_backward_seek_avg,video_stop_backward_seek_avg,qz_mean,video_pause_backward_seek_avg,hw_mean,predict_score,real_score
Y1050160,-1.04316505244,-0.161574510115,0.0364272588012,0.0660370310663,-0.0896624524193,24.7727411332,30.0
Y1050161,-0.772311079839,-0.442517925504,0.0520741153991,0.396707720777,-0.372198575001,35.9402488372,40.0
Y1050162,2.43806989154,2.63073327896,-1.25944684601,0.177177001701,-0.584062838437,41.6952521451,30.0
Y1050163,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,0.0
Y1050164,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,0.0
Y1050165,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,0.0
Y1050166,0.20830920179,1.42758174018,-0.848824422229,0.90859090421,1.75315153184,19.5998214671,20.0
Y1050167,-1.0474643218,-0.157115090867,0.0361788960005,0.0607882900123,-0.0851777521057,24.5954791079,30.0
Y1050168,-1.29682194737,0.101531228058,0.0217738534186,-0.243638694161,0.17493486868,14.3142815393,10.0
Y1050169,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,0.0
Y1050170,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050171,-0.755292784013,-0.00601688744992,-0.0979825098326,0.295594408613,0.0816797780309,27.7302884164,10.0
Y1050172,-1.16784386514,-0.0322513507387,0.029224737515,-0.0861764609179,0.040393857886,19.6321423524,10.0
Y1050173,2.13502642479,0.36361963984,2.19428515608,1.44180719621,0.593865047216,63.5038354746,70.0
Y1050174,0.70545420395,-2.28368426467,-0.535300399813,-0.405842026342,-0.0162725231476,73.7997878672,80.0
Y1050175,-0.135420154326,0.0940800702059,-0.312015723666,0.761912084155,0.054453356737,38.8262105126,30.0
Y1050176,2.07949865104,-2.19101970819,-1.36449399296,-0.782334339281,0.799050664229,86.1686801004,90.0
Y1050177,1.23275957449,1.69878865361,2.1336383236,-1.11240794151,-0.176109553802,19.2620749762,20.0
Y1050178,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,20.0
Y1050179,3.84384898446,-1.5561739038,1.29245859094,-0.625082615866,0.577802795157,98.9241954898,95.0
Y1050180,-0.823902312715,-0.389004894001,0.0490937617614,0.333722827499,-0.3183821707,33.8131045126,40.0
Y1050181,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,20.0
Y1050182,5.11229576881,0.264595787607,1.41305173725,0.665973164706,1.69295506395,95.8709649355,90.0
Y1050183,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050184,-1.23233290628,0.0346399386799,0.0254992954657,-0.164907577563,0.107664363303,16.9732119451,10.0
Y1050185,3.19291193142,-2.32458894215,0.91809047111,-1.50197558493,0.553916103151,94.6163199567,99.0
Y1050186,3.38582794322,-0.443527988271,-1.4115488315,-1.04582295193,-0.227624532075,84.5398040485,85.0
Y1050187,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,20.0
Y1050188,1.90337111334,2.01738890725,-1.5284046815,2.46116385004,2.61297482111,43.2665543335,45.0
Y1050189,2.93490804379,-0.892164886004,-0.597371239444,-0.454533616585,-0.609312223622,88.8304158343,91.0
Y1050190,4.5459109766,1.19755756626,-0.747153975747,0.428499105514,0.0166944128895,87.0067748685,90.0
Y1050191,1.34673864536,1.65537449396,-1.27874853534,1.00951492271,0.504633221092,40.0864880331,40.0
Y1050192,2.46279164116,-0.931537944589,-0.854092305552,-1.01079499124,0.154926825708,75.5158401793,70.0
Y1050193,-1.20223802043,0.00342400364111,0.0272378350874,-0.128166389823,0.0762714607984,18.2140461342,20.0
Y1050194,1.26377717926,2.85235210422,-1.71733465425,-1.54288327247,-1.85693822311,17.6777409711,20.0
Y1050195,0.562465610101,0.527037875678,0.228119273134,0.253469286592,0.207744404308,37.167814479,40.0
Y1050196,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050197,5.45472286924,2.68528923204,0.568199566715,-0.38758626431,-1.05135195392,76.8417000333,80.0
Y1050198,1.32456112152,0.780972296272,3.88967413079,-0.883277465856,-0.173045923822,30.6633893604,20.0
Y1050199,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,30.0
Y1050200,1.25471302463,2.0699460055,-1.38644511828,0.937025856666,1.14199527177,29.8664345799,30.0
Y1050201,2.285057025,-0.452125947934,-1.6080541205,0.0772006311138,1.02738819358,71.762030112,68.0
Y1050202,2.44120196094,-0.894459325054,0.575699479738,0.226419578453,1.35577541689,74.7409585041,75.0
Y1050203,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050204,2.00605405483,-1.16832244398,0.786325163268,0.0869079682609,-0.322873767264,79.451766993,90.0
Y1050205,4.17498318173,0.386842761252,-1.6770098569,-0.680105128026,-0.497776224908,88.9977681637,88.0
Y1050206,1.52229773465,-0.104182485337,1.778131834,0.986551922521,-0.48736671151,64.2695813103,70.0
Y1050207,0.147926978228,-0.0347914028876,0.553516609879,0.356949039644,-0.547707681342,42.780218325,40.0
Y1050208,0.870031815712,-1.75929303942,-0.721084077532,-0.614573300225,-0.250571828326,69.2349912616,70.0
Y1050209,1.58172344886,-2.59261829356,-0.916348450474,-0.264915000619,0.430115152745,89.3355925343,85.0
Y1050210,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,20.0
Y1050211,-0.736579133278,0.155187008043,-0.154566531025,0.350380863559,0.384254879564,24.8527559075,40.0
Y1050212,-1.22373436747,0.0257211001051,0.0259960210715,-0.15441009536,0.0986949625951,17.3277359988,20.0
Y1050213,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050214,-0.53975627379,0.811291256787,-0.452444912777,-0.41495532587,-0.223798492799,17.0989866547,20.0
Y1050215,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,20.0
Y1050216,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050217,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050218,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050219,-1.22803363687,0.0301805193925,0.0257476582686,-0.159658836462,0.103179662949,17.1504739719,20.0
Y1050220,-0.0314186404411,1.10412441064,-0.695609168369,-0.00722464320812,0.109713763543,21.9561018614,30.0
Y1050221,1.24326430778,-2.03897759148,-0.872128413608,-0.71496571117,-0.239651266258,77.5162529482,80.0
Y1050222,0.764216215803,0.187331776935,0.775119269996,0.471914432041,-0.606863197191,48.9831364354,50.0
Y1050223,-0.0134674092216,0.67819815448,1.22415085542,-0.243750025961,0.418337439516,20.6711464324,20.0
Y1050224,1.92279696205,0.295229417029,2.49410556748,0.629700510321,-0.360259480164,59.8635022798,68.0
Y1050225,4.93766423809,0.649858273453,2.02402818196,-1.33784552181,0.597229341247,78.2910215441,75.0
Y1050226,-0.522005745663,-0.0474810399437,-0.159715250434,0.24130404486,-0.430702967246,33.7867891011,40.0
Y1050227,-1.1372881488,0.144960846478,-0.0426470694345,-0.244173867108,-0.00746426953777,16.974498389,10.0
Y1050228,2.88028790997,-0.101181101607,-0.0611832822997,-0.906666685644,-0.200721678979,71.32508873,66.0
Y1050229,3.16845144861,-2.22904526228,-1.75917474583,-0.0635112684771,1.08765401748,106.068203231,99.0
Y1050230,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,0.0
Y1050231,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050232,-0.222360598695,1.42428384004,-0.775253972841,-1.21040200104,-1.13235491159,12.9111938354,10.0
Y1050233,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050234,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050235,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050236,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,20.0
Y1050237,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,0.0
Y1050238,-0.626135919936,-0.594138181518,0.0605184507109,0.575164918504,-0.524678387278,41.9671577603,40.0
Y1050239,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050240,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,10.0
Y1050241,0.164249223687,1.3043346867,0.398544252268,-0.432627657016,0.332828225173,15.6213878807,20.0
Y1050242,-1.33121610263,0.137206582398,0.0197869509932,-0.285628623018,0.210812471552,12.8961853228,20.0
