username,video_backward_seek_avg,problem_num_days,watched_time_weekday,qz_mean,watched_time_hour,predict_score,real_score
Y1050177,0.423315792452,0.434577421643,1.41284237149,0.415797676877,-0.52454290853,19.5501174834,20.0
Y1050178,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,20.0
Y1050179,3.4646573263,-1.50793562984,-0.599884421539,-0.188638606324,-1.56221579711,84.0614811052,95.0
Y1050180,-0.5859203246,0.0413123927602,0.830836295283,-0.129051427158,0.74793503286,31.2982409835,40.0
Y1050181,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,20.0
Y1050182,2.23709817727,-0.725565375752,-0.850813978739,-0.488694808537,0.00960088346159,81.1503649638,90.0
Y1050183,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050184,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050185,1.56440192577,-0.463308641192,-0.291916771194,-0.978668562655,-0.165062623351,71.0857803271,99.0
Y1050186,2.72718631324,0.6732350288,-0.423570729958,0.139502340232,0.284272334675,68.350325368,85.0
Y1050187,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,20.0
Y1050188,1.36660231995,0.125788472304,2.75221957258,0.309990225686,0.590255307428,36.7378322788,45.0
Y1050189,2.96273775157,0.746760198951,0.237710383587,-0.981969831362,0.335302537146,79.8503806064,91.0
Y1050190,3.27440701058,1.18476150965,-0.959401809223,-0.219480592096,0.61743404308,81.4120973557,90.0
Y1050191,1.23226387289,1.1545111008,-0.944667164361,0.411731344845,0.355292049909,46.3521312084,40.0
Y1050192,2.88998630485,0.416467800057,0.907588821189,0.563094838718,0.954596859293,65.3413568688,70.0
Y1050193,-1.365919013,-0.0291439149777,-0.142266770553,-0.147332209316,0.0527835174391,22.1665563863,20.0
Y1050194,2.17679946066,4.84253852255,-0.861852761976,0.433134001678,0.304267592313,26.5286772836,20.0
Y1050195,0.8173602452,-0.649828177166,0.0636321548789,0.256052329811,-0.377054977853,45.0203189358,40.0
Y1050196,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050197,4.1341984011,2.73305104568,-1.81124075872,-0.377676126101,-0.260112933993,78.7334893192,80.0
Y1050198,-1.12339929587,-0.219724276134,-0.301320068636,-0.485410809147,0.24711785208,33.3761195089,20.0
Y1050199,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,30.0
Y1050200,2.07162997433,-0.0558988357401,0.531236735023,0.692302400242,-1.72559661072,35.9715745748,30.0
Y1050201,1.64044298512,-0.0690305686311,0.409464664574,-0.459154332603,-0.674055255263,53.9397418455,68.0
Y1050202,2.11559259553,-1.07635307424,0.287675824775,-0.663854081355,-1.65901423506,62.5696060616,75.0
Y1050203,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050204,1.99787451392,-0.930553172464,-0.0830664318212,-0.728151499552,0.143623530468,78.9783072613,90.0
Y1050205,3.40716587466,1.21365087152,-1.71854364759,0.0149970586228,-0.434422495137,75.534462507,88.0
Y1050206,2.81882380084,-1.56241045315,-0.716362230179,0.78304023832,0.0492438055566,80.3588911419,70.0
Y1050207,1.81602065647,0.345439334122,1.23629320483,-0.599066127129,-1.28031977162,43.766269391,40.0
Y1050208,4.16946297719,-1.61007745657,-0.105931139662,1.55351272956,-0.509103500731,80.1474474892,70.0
Y1050209,2.49055747766,-2.4047314136,-1.42329500116,2.1890740978,1.36008489817,83.202545204,85.0
Y1050210,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,20.0
Y1050211,0.44634889489,-0.293540103907,0.735532849586,-0.312809334714,-1.05601922536,33.6785975762,40.0
Y1050212,-1.17457037458,-0.186196055335,-0.297381999157,0.241373638112,0.0339626905778,22.2273925321,20.0
Y1050213,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050214,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,20.0
Y1050215,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,20.0
Y1050216,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050217,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050218,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050219,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,20.0
Y1050220,-0.156877240231,0.676696050408,0.760661665327,-0.0991716837935,0.234227301246,26.9635552485,30.0
Y1050221,3.21284892759,-0.153331425511,1.37787994953,0.293723199311,1.13611334179,75.8701413319,80.0
Y1050222,3.53979379787,-0.0479034269136,0.987251335088,-0.0306605111575,-0.578368232908,69.991186182,50.0
Y1050223,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,20.0
Y1050224,2.94640325421,-0.397819473007,2.26281813039,-0.544802029503,0.248990268484,70.7084500218,68.0
Y1050225,3.18052007411,0.999806887345,-0.494301018951,-0.00965844583294,-0.103306868799,70.0457364452,75.0
Y1050226,0.468165354846,0.406545076756,0.953091688663,0.784741852175,1.16493149081,34.0354218858,40.0
Y1050227,-1.52961982207,0.0994978288031,-0.0349057943458,0.0808708455704,-0.0783921584436,14.6001012786,10.0
Y1050228,4.02871365656,1.04451379112,0.529959547364,-0.00348423080521,-0.619471044905,69.2842690626,66.0
Y1050229,1.95629190422,-0.265945016933,0.661154034042,-0.677485304995,1.89509037462,83.3320709729,99.0
Y1050230,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,0.0
Y1050231,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050232,0.744927312079,3.07309125876,-0.46811451126,0.62157993202,0.480168721665,20.1099041371,10.0
Y1050233,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050234,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050235,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050236,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,20.0
Y1050237,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,0.0
Y1050238,-1.06276936658,-0.267369366424,-0.341083393157,-0.569930459105,0.29570143574,36.1785102895,40.0
Y1050239,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050240,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050241,1.08735413726,0.497221188185,1.56592510352,0.772485124014,-0.545985407573,22.1572648095,20.0
Y1050242,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,20.0
Y1050243,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050244,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050245,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050246,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,30.0
Y1050247,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,30.0
Y1050248,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,30.0
Y1050249,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,30.0
Y1050250,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050251,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,0.0
Y1050252,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050253,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050254,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,20.0
Y1050255,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,40.0
Y1050256,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,30.0
Y1050257,-0.841105763514,-0.448244051925,-0.516080284023,-0.223484436656,0.301172400709,37.6405418257,40.0
Y1050258,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050259,3.37972257455,1.60514447171,-0.756255247527,0.045788950505,-0.0514703572419,69.0083900013,80.0
Y1050260,3.08715049601,1.61244750594,0.188389739574,-0.627991260155,-0.0782049889486,66.8406574164,50.0
Y1050261,0.97051943153,-1.90530052679,-1.85231930279,0.528317736076,0.892096796012,77.4584325619,82.0
Y1050262,0.75239849219,-0.0957640177502,1.53721011368,-0.0386033476652,1.36148594083,49.2760395667,50.0
Y1050263,-1.45686390693,0.0423237204561,-0.082621783771,-0.020552734379,-0.0200918580513,17.9629702153,40.0
Y1050264,0.494556373566,-0.767894004737,-0.0137694976763,0.354506818657,0.0880430912867,45.4359689675,40.0
Y1050265,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,20.0
Y1050266,0.60891059812,-0.653296617674,0.248639673796,-0.190929825054,-0.32584235266,46.8391256674,40.0
Y1050267,-0.690702237744,-0.0936142372507,0.00108646795415,0.804675348978,-0.131225037348,17.7745053109,30.0
Y1050268,1.89972361921,-1.26821314965,-0.338802711473,0.367428170357,0.40468444053,71.932855636,60.0
Y1050269,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050270,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,40.0
Y1050271,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,0.0
Y1050272,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,0.0
Y1050273,-0.065964441984,0.109621306466,1.37237952559,-0.145992581945,0.334413132761,30.4044709863,40.0
Y9999986,1.3710535069,0.0982016958876,-0.942823433597,-0.891540685769,-0.104823845221,67.6149865667,58.0
Y9999987,-0.729304755522,-0.529417363014,-0.559781678023,-1.03478853387,0.562911145872,51.5916595831,27.0
Y9999988,-0.383809980768,-0.34086128805,0.0507362171074,-0.166925557069,-0.127724643889,34.5016311369,33.0
Y9999989,0.807196380532,-0.740321319941,0.244877411426,-1.03818320033,-0.207622529699,60.8099647844,59.0
Y9999990,3.46111629411,-0.546763503513,0.268081161598,0.719357966322,0.623157628019,79.7344594111,63.0
Y9999991,-0.941509508016,-0.362659547002,-0.420610042199,-0.73896975902,0.392868603061,41.7832918508,36.0
Y9999992,0.468268077739,0.0114659643257,1.45081274519,0.166990497274,0.635858924066,36.548207288,38.0
Y9999993,1.35796282958,-0.339774802312,-0.885625020462,-0.409788673998,-0.229036662296,64.1018720196,49.0
Y9999994,-0.911194543374,-0.386482092146,-0.44049170446,-0.781229583999,0.417160394891,43.1844872412,20.0
Y9999995,1.64523804179,-0.665083489051,1.25833754279,-1.03216574247,0.361368959814,69.397172045,57.0
Y9999996,-0.608044896954,-0.624707543592,-0.639308327065,-1.20382783379,0.660078313193,57.1964411444,54.0
Y9999997,0.306404423518,-0.888304205002,-0.409788406052,-1.13597944956,0.442652284068,66.7275220938,58.0
Y9999998,-0.227730927328,-0.473305813343,-0.277323893861,-1.18530757709,0.662428286523,58.2771517399,49.0
Y9999999,1.25834954201,-0.910939841049,0.0159651374585,-1.53388345791,-0.0596340687455,76.3018093693,73.0
