username,video_backward_seek_avg,problem_num_days,watched_time_weekday,qz_mean,watched_time_hour,predict_score,real_score
Y1050160,-1.39623397765,-0.00532136983309,-0.122385108292,-0.105072384337,0.028491725609,20.765360996,30.0
Y1050161,-1.18402922515,-0.172079185845,-0.261556744115,-0.400891159189,0.19853426842,30.5737287283,40.0
Y1050162,0.886763548857,0.44453710421,-0.938871289781,0.272434435766,-0.112332318707,45.2702779137,30.0
Y1050163,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,0.0
Y1050164,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,0.0
Y1050165,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,0.0
Y1050166,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,20.0
Y1050167,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,30.0
Y1050168,-1.49930485743,0.0756752836585,-0.0547874566063,0.0386110205915,-0.0541003666135,16.0012966689,10.0
Y1050169,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,0.0
Y1050170,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050171,1.03940745331,-0.562165595728,0.777292843525,1.86101936468,-0.276834459702,25.1844283454,10.0
Y1050172,-1.54780880086,0.11379135589,-0.0229767969895,0.106226740558,-0.0929672335417,13.7593840444,10.0
Y1050173,1.52782011419,-1.31677547703,-0.281990826408,-0.727484243496,0.0145412258205,76.3458038165,70.0
Y1050174,0.627595969892,-1.62913566071,-1.59779576288,0.350911013543,0.789458663723,70.3916194645,80.0
Y1050175,0.848690619606,-0.519390356043,0.27145494504,-0.258154009618,-0.627086771199,46.6910059033,30.0
Y1050176,2.85555704802,-1.80492649035,-0.662405098771,0.677381123581,-1.04012994156,73.9990240606,90.0
