username,mt_online_num_day,qz_mean,predict_score,real_score
Y1050160,-0.141726522453,-0.502825984949,41.2380195816,30.0
Y1050161,0.068558878819,-0.713111386221,46.1008638177,40.0
Y1050162,0.068558878819,-0.713111386221,46.1008638177,30.0
Y1050163,-1.71886703199,1.07431452459,4.7666878109,0.0
Y1050164,-1.71886703199,1.07431452459,4.7666878109,0.0
Y1050165,-1.71886703199,1.07431452459,4.7666878109,0.0
Y1050166,0.068558878819,-0.713111386221,46.1008638177,20.0
Y1050167,1.0863422979,0.0943866315885,45.6774203407,30.0
Y1050168,-0.800339983851,0.520843763827,21.2156695182,10.0
Y1050169,-1.71886703199,1.07431452459,4.7666878109,0.0
Y1050170,-0.988754457235,1.80442709935,2.48279533488,10.0
Y1050171,-1.5363388883,1.25684266828,4.1957146919,10.0
Y1050172,-1.5363388883,1.25684266828,4.1957146919,10.0
Y1050173,0.566515124416,-0.84601134444,52.8241570528,70.0
Y1050174,0.566515124416,-0.84601134444,52.8241570528,80.0
Y1050175,-0.877725426904,0.233172919502,24.2180647553,30.0
Y1050176,0.145944321872,-0.425440541896,43.0984685806,90.0
Y1050177,0.46137242378,-0.740868643804,50.3927349347,20.0
Y1050178,0.46137242378,-0.740868643804,50.3927349347,20.0
Y1050179,0.103887241618,-0.383383461642,42.1258997334,95.0
Y1050180,0.356229723144,-0.635725943168,47.9613128167,40.0
Y1050181,-0.141726522453,-0.502825984949,41.2380195816,20.0
Y1050182,0.145944321872,-0.425440541896,43.0984685806,90.0
Y1050183,-1.02492520779,0.380372700392,20.81407379,10.0
Y1050184,0.356229723144,-0.635725943168,47.9613128167,10.0
Y1050185,0.931571411794,-0.480955057062,51.6822108148,99.0
Y1050186,0.566515124416,-0.84601134444,52.8241570528,85.0
Y1050187,0.173701579455,-0.818254086857,48.5322859357,20.0
Y1050188,2.06206863673,0.943941729653,44.2814080165,45.0
Y1050189,-0.106398159654,-0.17309806037,37.2630554973,91.0
Y1050190,0.524458044161,-0.803954264185,51.8515882056,90.0
Y1050191,-0.877725426904,0.233172919502,24.2180647553,40.0
Y1050192,0.931571411794,-0.480955057062,51.6822108148,70.0
Y1050193,0.356229723144,-0.635725943168,47.9613128167,20.0
Y1050194,-0.169483780036,-0.110012439988,35.8042022265,20.0
Y1050195,0.145944321872,-0.425440541896,43.0984685806,40.0
Y1050196,-0.98286812754,0.338315620138,21.7866426372,10.0
Y1050197,-0.169483780036,-0.110012439988,35.8042022265,80.0
Y1050198,-0.246869223089,-0.397683284313,38.8065974635,20.0
Y1050199,0.356229723144,-0.635725943168,47.9613128167,30.0
Y1050200,0.140057992177,1.04067093731,23.7946212783,30.0
Y1050201,0.826428711158,-0.375812356426,49.2507886967,68.0
Y1050202,0.566515124416,-0.84601134444,52.8241570528,75.0
Y1050203,-0.0996694421985,-0.544883065204,42.2105884288,10.0
Y1050204,0.320901360345,-0.965453867747,51.936276901,90.0
Y1050205,0.46137242378,-0.740868643804,50.3927349347,88.0
Y1050206,0.356229723144,-0.635725943168,47.9613128167,70.0
Y1050207,0.383986980727,-1.02853948813,53.3951301718,40.0
Y1050208,0.0408016212362,-0.32029784126,40.6670464626,70.0
Y1050209,0.356229723144,-0.635725943168,47.9613128167,85.0
Y1050210,-0.562297324997,-0.0822551824057,31.5123311094,20.0
Y1050211,2.02674027393,0.614213805073,48.2563721008,40.0
Y1050212,-0.457154624361,-0.187397883042,33.9437532274,20.0
Y1050213,-1.29829622945,0.653743722046,14.4923762831,10.0
Y1050214,-0.800339983851,0.520843763827,21.2156695182,20.0
Y1050215,0.278844280091,-0.923396787493,50.9637080538,20.0
Y1050216,-1.71886703199,1.07431452459,4.7666878109,10.0
Y1050217,-1.19315352881,0.54860102141,16.9237984011,10.0
Y1050218,-1.19315352881,0.54860102141,16.9237984011,10.0
Y1050219,0.145944321872,-0.425440541896,43.0984685806,20.0
Y1050220,-0.352011923725,-0.292540583678,36.3751753455,30.0
Y1050221,0.398286803398,-0.677783023422,48.9338816639,80.0
Y1050222,0.320901360345,-0.965453867747,51.936276901,50.0
Y1050223,-0.169483780036,-0.110012439988,35.8042022265,20.0
Y1050224,0.356229723144,-0.635725943168,47.9613128167,68.0
Y1050225,0.145944321872,-0.425440541896,43.0984685806,75.0
Y1050226,0.566515124416,-0.84601134444,52.8241570528,40.0
Y1050227,-0.800339983851,0.520843763827,21.2156695182,10.0
Y1050228,0.398286803398,-0.677783023422,48.9338816639,66.0
Y1050229,0.566515124416,-0.84601134444,52.8241570528,99.0
Y1050230,-1.71886703199,1.07431452459,4.7666878109,0.0
Y1050231,0.0349152915414,1.14581363795,21.3631991602,10.0
Y1050232,0.173701579455,-0.818254086857,48.5322859357,10.0
Y1050233,-0.772582726268,0.128030218866,26.6494868733,10.0
Y1050234,0.659885165662,1.98106891334,16.6478845662,10.0
Y1050235,-0.224998295201,0.675614649934,24.9365675163,10.0
Y1050236,0.46137242378,-0.740868643804,50.3927349347,20.0
Y1050237,-1.71886703199,1.07431452459,4.7666878109,0.0
Y1050238,4.47699158494,3.27475051736,37.8313263167,40.0
Y1050239,-0.695197283215,0.415701063191,23.6470916363,10.0
Y1050240,0.554742465026,2.08621161398,14.2164624481,10.0
Y1050241,0.756614373321,0.0590582687897,42.8444024944,20.0
Y1050242,0.356229723144,-0.635725943168,47.9613128167,20.0
Y1050243,0.278844280091,-0.923396787493,50.9637080538,10.0
Y1050244,0.068558878819,-0.713111386221,46.1008638177,10.0
Y1050245,-0.352011923725,-0.292540583678,36.3751753455,10.0
Y1050246,-0.379769181307,0.100272961283,30.9413579904,30.0
Y1050247,0.566515124416,-0.84601134444,52.8241570528,30.0
Y1050248,1.0863422979,0.0943866315885,45.6774203407,30.0
Y1050249,3.59967922929,2.69183772349,36.7112278274,30.0
Y1050250,1.93169584179,4.72487739837,-6.65277456919,10.0
Y1050251,-1.71886703199,1.07431452459,4.7666878109,0.0
Y1050252,-0.604354405251,-0.0401981021513,30.5397622622,10.0
Y1050253,-0.379769181307,0.100272961283,30.9413579904,10.0
Y1050254,3.49453652866,2.79698042413,34.2798057094,20.0
Y1050255,0.826428711158,-0.375812356426,49.2507886967,40.0
Y1050256,0.616143309886,-0.165526955154,44.3879444606,30.0
Y1050257,-0.169483780036,-0.110012439988,35.8042022265,40.0
Y1050258,-0.169483780036,-0.110012439988,35.8042022265,10.0
Y1050259,0.251087022508,-0.530583242532,45.5298906987,80.0
Y1050260,0.173701579455,-0.818254086857,48.5322859357,50.0
Y1050261,0.356229723144,-0.635725943168,47.9613128167,82.0
Y1050262,0.566515124416,-0.84601134444,52.8241570528,50.0
Y1050263,0.173701579455,-0.818254086857,48.5322859357,40.0
Y1050264,0.566515124416,-0.84601134444,52.8241570528,40.0
Y1050265,0.383986980727,-1.02853948813,53.3951301718,20.0
Y1050266,0.931571411794,-0.480955057062,51.6822108148,40.0
Y1050267,0.356229723144,-0.635725943168,47.9613128167,30.0
Y1050268,0.383986980727,-1.02853948813,53.3951301718,60.0
Y1050269,-1.71886703199,1.07431452459,4.7666878109,10.0
Y1050270,1.96365465355,0.677299425455,46.7975188299,40.0
Y1050271,-1.71886703199,1.07431452459,4.7666878109,0.0
Y1050272,-1.71886703199,1.07431452459,4.7666878109,0.0
Y1050273,-1.5363388883,1.25684266828,4.1957146919,40.0
Y9999986,-0.141726522453,-0.502825984949,41.2380195816,58.0
Y9999987,-1.71886703199,1.07431452459,4.7666878109,27.0
Y9999988,-0.772582726268,0.128030218866,26.6494868733,33.0
Y9999989,0.173701579455,-0.818254086857,48.5322859357,59.0
Y9999990,0.320901360345,-0.965453867747,51.936276901,63.0
Y9999991,-0.562297324997,-0.0822551824057,31.5123311094,36.0
Y9999992,0.173701579455,-0.818254086857,48.5322859357,38.0
Y9999993,-1.01062538512,0.731129165099,16.3528252821,49.0
Y9999994,-0.98286812754,0.338315620138,21.7866426372,20.0
Y9999995,0.320901360345,-0.965453867747,51.936276901,57.0
Y9999996,-0.352011923725,-0.292540583678,36.3751753455,54.0
Y9999997,-0.0786409020713,-0.565911605331,42.6968728524,58.0
Y9999998,-0.141726522453,-0.502825984949,41.2380195816,49.0
Y9999999,0.278844280091,-0.923396787493,50.9637080538,73.0
