number_of_comp,pMAPC,pMSE
1,0.626166248638,292.122259903
2,0.668054249762,213.510718491
3,0.664935089172,216.416001018
4,0.675974324152,207.537915415
5,0.678253167337,206.715785578
6,0.675043190287,211.875461598
7,0.678588953581,209.683622685
8,0.69254631068,197.106236768
