username,video_backward_seek_avg,video_stop_backward_seek_avg,watched_time_hour,qz_mean,video_pause_backward_seek_avg,watched_time_weekday,predict_score,real_score
Y1050160,-1.07366642094,0.149263515,0.476941698418,-0.227450438039,-0.478925308718,-0.473148335769,21.2949421921,30.0
Y1050161,-1.6337074408,0.114176206127,-0.319578157707,0.650744192294,-0.408855608916,-0.33179984468,36.3586887244,40.0
Y1050162,3.7619646263,0.148434409614,2.80386928865,-0.26436255494,-0.971201523018,0.279244471998,48.0231029712,30.0
Y1050163,-2.08349264641,0.375162109321,0.286397025005,0.0667136135218,0.0618948454766,-0.117616759903,8.76037368904,0.0
Y1050164,-2.08349264641,0.375162109321,0.286397025005,0.0667136135218,0.0618948454766,-0.117616759903,8.76037368904,0.0
Y1050165,-2.08349264641,0.375162109321,0.286397025005,0.0667136135218,0.0618948454766,-0.117616759903,8.76037368904,0.0
Y1050166,-0.659805606956,0.366555362784,1.36934198885,0.924391646215,0.513333917388,1.16519642224,14.092961836,20.0
Y1050167,-1.5188632129,0.0630940822755,-0.0485344410588,0.292239230278,-0.153115656886,-0.240265787939,26.3829545521,30.0
Y1050168,-2.05950410211,0.36124286115,0.254078348594,0.0978619110563,0.0367881545757,-0.129039857758,10.2322838243,10.0
Y1050169,-1.38352689674,-0.182983976502,0.214660548474,-0.442168771137,0.5126968753,-0.143039451887,7.90624114731,0.0
Y1050170,-1.25911631975,-0.330949676845,0.386591411171,-0.596822424977,-0.117728246259,0.775985561878,8.36238497425,10.0
Y1050171,-0.432310252083,-0.748231707238,0.0141162463496,-0.412123934828,0.575912573683,0.0280984896734,22.4158219213,10.0
Y1050172,-1.55707663939,0.0415928598396,0.0619467876965,0.0326321278361,0.26498224099,-0.371835354848,17.1997907307,10.0
Y1050173,2.78326973634,-0.147501264594,-1.36571060045,0.0314285186889,0.260267532246,1.57677368803,75.3542715672,70.0
Y1050174,0.0368476039314,-1.25715325746,-0.951814636835,0.227692304934,-0.718991500692,0.345803600958,62.7760498047,80.0
Y1050175,1.03763771798,-0.479662919678,0.00571289953485,-0.00225078694257,1.38488979219,-0.758082816871,38.3887005165,30.0
Y1050176,1.43350597123,-0.885577005158,-0.209752687793,0.794329057392,0.47513654254,-1.36143611351,70.4633437648,90.0
Y1050177,1.17101257213,1.13706499438,-0.258887148643,-1.66512153256,0.344676225745,0.319408306678,18.093314012,20.0
Y1050178,-2.08349264641,0.375162109321,0.286397025005,0.0667136135218,0.0618948454766,-0.117616759903,8.76037368904,20.0
Y1050179,3.22766549407,1.35121320231,-1.56781890675,0.665461163335,0.989770559607,-0.829872541148,87.5248547913,95.0
Y1050180,-1.2723106248,-0.304583595529,-0.427061173507,0.322435584534,-0.513835913294,0.0727455715524,38.1680836011,40.0
Y1050181,-1.91857140435,0.279467278149,0.0642061246773,0.280858159072,-0.110713654467,-0.196150557654,18.8797558687,20.0
Y1050182,3.78786316896,2.04275134639,-0.522131043451,1.82015869557,0.965136763263,0.523926478676,89.5963169036,90.0
Y1050183,-2.08349264641,0.375162109321,0.286397025005,0.0667136135218,0.0618948454766,-0.117616759903,8.76037368904,10.0
Y1050184,-2.01452558155,0.335144270831,0.193480830322,0.156264968934,-0.0102868908636,-0.150458166235,12.9921153278,10.0
Y1050185,1.44250204663,0.562748565158,-1.46425841654,0.531902898326,-0.0770736290122,-0.533930165139,77.8436859226,99.0
Y1050186,2.25519830907,0.280975264072,1.16300032043,0.557989692515,-1.49583033189,-0.361520576387,70.5296628208,85.0
Y1050187,-2.08349264641,0.375162109321,0.286397025005,0.0667136135218,0.0618948454766,-0.117616759903,8.76037368904,20.0
Y1050188,2.99199206454,-0.98088435553,1.85788797003,1.66901297062,2.02968675823,1.89533838455,46.7714983865,45.0
Y1050189,3.32098386136,-1.31789038673,-0.331480177872,-0.461685371035,-0.361587004677,-0.284596068757,80.6561650997,91.0
Y1050190,4.63363640208,1.28337943053,1.56046428853,1.45172602889,-0.531683300294,-0.187645614209,89.9616399526,90.0
Y1050191,1.48494063911,-0.31884428779,1.48507142121,0.644117264859,-0.500295506717,0.852404160065,46.9507856951,40.0
Y1050192,2.30069319306,-1.1877538528,0.104079732505,-0.841078036402,-0.146799884551,0.338536432152,53.343851797,70.0
Y1050193,-1.6041998132,0.2718392304,0.407056270228,0.215475171938,0.00954446931388,0.0304514944191,15.1471257375,20.0
Y1050194,3.02054702349,-0.589912574937,2.68018405177,-2.12524301139,-0.724533204738,-0.989772297931,20.1499030291,20.0
Y1050195,1.33545585545,0.105290020036,0.437843826529,0.473720718946,0.832144642876,-0.525028394705,45.5108939943,40.0
Y1050196,-2.02352128566,0.340363988895,0.205600333977,0.144584357358,-0.000871881775706,-0.14617450454,12.4401490271,10.0
Y1050197,5.3717569213,2.95911205176,0.209160798312,-0.482201211812,-0.378988068292,-1.03014405038,80.7870933313,80.0
Y1050198,1.78243443171,2.50599233366,-0.439535539773,-1.87080354496,-0.320094705505,-1.0194672828,30.2013814687,20.0
Y1050199,-1.11135984672,0.139140313601,0.397429832856,0.0335931705285,0.177139896932,-0.579689836781,19.3862169007,30.0
Y1050200,2.23941550924,0.0376347903272,2.51272789672,0.734201942113,0.95503432569,0.176007207072,30.4211255426,30.0
Y1050201,2.07521821897,-0.602674851764,0.892548988165,1.08281955433,0.955355624371,-0.642916220241,59.3604387238,68.0
Y1050202,2.4595973694,0.313199841276,-0.841832382491,0.817817070877,1.90877376562,-0.375637507233,65.827581449,75.0
Y1050203,-2.08349264641,0.375162109321,0.286397025005,0.0667136135218,0.0618948454766,-0.117616759903,8.76037368904,10.0
Y1050204,1.31316721985,1.05029149237,-1.85452236478,0.304034149656,-0.520099724101,0.134488359355,77.517099274,90.0
Y1050205,3.79786490196,-0.590192251898,0.88099668108,0.140121660504,-0.550031515425,-0.691705675759,80.3742463975,88.0
Y1050206,1.2040510376,0.353388739491,-1.35382792522,0.304301443889,-0.21918266249,0.151284286991,70.1912612333,70.0
Y1050207,1.52855462838,-1.15488292675,-0.466773867263,-1.00341624961,0.411215855636,-0.0970032549694,45.2569993112,40.0
Y1050208,0.669506970858,-1.20380554741,-0.494023618437,-0.192429367482,0.0984053531006,-0.688482330731,53.6861363182,70.0
Y1050209,0.253931452781,-0.343981855489,-0.74930587322,1.17223149717,-0.690756623285,0.504627792588,71.4892602083,85.0
