username,video_stop_backward_seek_avg,watched_time_hour,qz_mean,hw_mean,final_score
Y1050274,-0.396492043318,0.293110849843,1.57387362703,2.45813986552,80.0
Y1050275,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,20.0
Y1050276,-0.396492043318,-0.38888296288,-0.335794491723,2.4240405962,40.0
Y1050277,-0.396492043318,1.71020951555,-0.108453048901,-0.493737171831,10.0
Y1050278,-0.396492043318,1.32176165146,0.91458344329,2.35635100207,54.0
Y1050279,1.63817087566,0.894291793002,1.02825416453,2.4072454338,70.0
Y1050280,-0.396492043318,0.644205501557,-0.483566429371,-0.493737171831,10.0
Y1050281,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,10.0
Y1050282,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,10.0
Y1050283,-0.396492043318,-0.699814363873,0.880482226883,-0.493737171831,20.0
Y1050284,-0.396492043318,-0.751272088743,-0.108453048901,-0.493737171831,30.0
Y1050285,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,0.0
Y1050286,0.321624274564,-0.546463249829,2.10812601751,1.0839902103,72.0
Y1050287,-0.396492043318,0.414762644769,1.59660777142,-0.493737171831,50.0
Y1050288,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,0.0
Y1050289,0.713324093195,-0.540961690131,2.23316381112,-0.493737171831,60.0
Y1050290,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,0.0
Y1050291,-0.396492043318,-0.20618241937,0.823646866092,-0.493737171831,40.0
Y1050292,-0.396492043318,2.23544524611,0.53947006282,-0.493737171831,50.0
Y1050293,0.542583149119,2.15404371157,1.36926632859,2.30545657034,80.0
Y1050294,2.2195031295,1.2641330306,1.06235538094,-0.493737171831,40.0
Y1050295,-0.396492043318,1.38842718931,0.459900557985,-0.493737171831,30.0
Y1050296,-0.396492043318,1.66603427636,-0.335794491723,-0.493737171831,20.0
Y1050297,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,10.0
Y1050298,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,10.0
Y1050299,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,10.0
Y1050300,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,10.0
Y1050301,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,10.0
Y1050302,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,10.0
Y1050303,-0.396492043318,-0.0154197302479,-0.790477377028,-0.493737171831,20.0
Y1050304,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,10.0
Y1050305,-0.396492043318,-0.447537027322,-0.790477377028,-0.493737171831,20.0
Y1050306,-0.396492043318,1.69855080026,-0.563135934205,-0.188370581821,10.0
Y1050307,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,10.0
Y1050308,0.475506343555,-0.173946951893,-0.790477377028,-0.493737171831,10.0
Y1050309,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,0.0
Y1050310,-0.396492043318,-0.887312989346,-0.790477377028,-0.493737171831,10.0
Y1050311,-0.396492043318,1.17615228794,0.221192043141,-0.493737171831,20.0
Y1050312,-0.396492043318,-0.601107230437,-0.790477377028,-0.493737171831,10.0
Y1050313,-0.396492043318,-0.115870158585,-0.222123770142,-0.493737171831,30.0
Y1050314,-0.396492043318,-0.887312989346,-0.335794491723,-0.493737171831,30.0
Y1050315,-0.396492043318,0.123639257044,-0.483566429371,-0.493737171831,20.0
Y1050316,-0.396492043318,-0.887312989346,-0.335794491723,-0.493737171831,10.0
Y1050317,3.53718958945,0.627727066204,0.880482226883,1.50794082617,55.0
Y1050318,-0.396492043318,1.76963869752,0.198457898756,0.931306915119,40.0
