evaluation_num,kfold_split_num,username,watched_time_weekday,qz_mean,video_pause_backward_seek_avg,label_val_predict,label_val_test
1,1,Y1050285,-1.33937366288,-1.53817206972,-0.883912199642,0.719262643442,0.0
1,1,Y1050307,-0.381930771057,-1.53817206972,-0.883912199642,0.593469586222,10.0
1,1,Y1050313,0.575512120771,-0.0824408160083,-0.883912199642,20.4856849945,30.0
1,1,Y1050323,-0.621291494011,2.16732566654,0.697602237602,88.4519417635,88.0
1,1,Y1050329,-0.381930771057,-0.0824408160083,-0.257870554623,21.2709763533,20.0
1,1,Y1050343,-1.33937366288,-1.53817206972,-0.883912199642,0.719262643442,0.0
1,1,Y1050347,0.575512120771,1.37329043731,-0.0532596156614,41.3787374275,20.0
1,1,Y1050357,0.814872843724,-0.214780021144,1.21758909704,20.8482266281,20.0
1,1,Y1050358,0.33615139781,0.18223759347,-0.463611940307,24.5995329282,50.0
1,1,Y1050362,-0.621291494011,1.50562964245,0.416009354281,79.0562053582,80.0
1,1,Y1050370,0.0967906748565,0.314576798606,-0.309418945818,26.6132334596,20.0
1,1,Y1050410,-0.621291494011,0.0498983887306,-0.883912199642,22.4627452654,20.0
1,1,Y1050413,-0.860652216966,0.843933617958,1.13368611796,70.7445894105,60.0
1,1,Y1050421,0.575512120771,1.10861202783,-0.56707046543,72.4038900213,60.0
1,1,Y1050426,0.0967906748565,1.37329043731,0.126963808861,41.6314888058,40.0
1,1,Y1050440,0.33615139781,-0.744136840497,-0.552718749517,11.7669314532,10.0
1,1,Y1050442,0.33615139781,-0.214780021144,0.844315439966,20.5179011645,10.0
1,1,Y1050450,2.72975862737,-0.214780021144,0.0472145285125,19.3637192754,10.0
1,1,Y1050451,-1.33937366288,-1.53817206972,-0.883912199642,0.719262643442,0.0
1,2,Y1050284,-0.142570048097,0.579255208083,-0.592935096712,30.5217607724,30.0
1,2,Y1050293,-0.142570048097,2.29966487167,-0.328071323871,88.6918877317,80.0
1,2,Y1050320,0.33615139781,0.0498983887306,-0.822189783869,23.1766741285,10.0
1,2,Y1050322,0.33615139781,2.43200407641,1.47662729917,91.7244761875,99.0
1,2,Y1050330,-0.142570048097,-0.214780021144,-0.233255067578,19.9774510291,10.0
1,2,Y1050349,1.29359428964,0.843933617958,-0.578386241871,68.7530610725,65.0
1,2,Y1050359,-1.33937366288,-0.479458430622,-0.883912199642,15.9270032939,20.0
1,2,Y1050366,1.05423356668,0.0498983887306,0.318389022843,23.9604068353,10.0
1,2,Y1050369,2.01167645851,0.0498983887306,-0.0788755488135,23.6979602419,10.0
1,2,Y1050391,-0.860652216966,-0.214780021144,-0.831685540142,19.5632720616,10.0
1,2,Y1050401,-0.381930771057,-0.479458430622,-0.714175556436,16.0510513293,10.0
1,2,Y1050404,-1.33937366288,-0.479458430622,-0.883912199642,15.9270032939,10.0
1,2,Y1050435,-1.33937366288,-0.347119225883,-0.883912199642,17.725250713,10.0
1,2,Y1050436,-0.860652216966,-1.00881525037,-0.748122885077,8.83074776204,10.0
1,2,Y1050441,-1.33937366288,-1.53817206972,-0.883912199642,1.5410239247,0.0
1,2,Y1050444,-0.621291494011,-0.214780021144,0.0213498972308,20.1468279297,10.0
1,2,Y1050446,-1.33937366288,-1.53817206972,-0.883912199642,1.5410239247,0.0
1,2,Y1050447,2.01167645851,-0.611797635758,-0.520190821148,14.4059019417,10.0
1,2,Y1050453,1.53295501259,-0.214780021144,0.160620989007,20.2605436863,20.0
1,3,Y1050278,3.20848007328,0.314576798606,-0.634965122714,23.9132254609,54.0
1,3,Y1050314,-0.381930771057,-0.479458430622,-0.235826834365,15.1640752679,30.0
1,3,Y1050319,0.814872843724,1.37329043731,-0.310579538448,75.6158267031,76.0
1,3,Y1050328,-0.381930771057,1.10861202783,4.25096625047,76.0831792079,71.0
1,3,Y1050336,0.575512120771,0.976272822697,-0.553868726816,33.571269809,50.0
1,3,Y1050344,-0.621291494011,1.24095123257,2.20808691115,39.5724271555,40.0
1,3,Y1050352,-0.142570048097,1.77030805192,-0.509825950799,80.9943176642,80.0
1,3,Y1050353,-0.621291494011,0.0498983887306,1.12641517388,23.2010540219,50.0
1,3,Y1050373,0.0967906748565,0.0498983887306,-0.500916697092,21.6958126336,20.0
1,3,Y1050380,0.575512120771,0.579255208083,0.160620989007,65.6998797104,80.0
1,3,Y1050381,-0.621291494011,0.976272822697,0.764958048258,35.0153392541,55.0
1,3,Y1050382,0.814872843724,0.314576798606,-0.0352289836102,25.2442288016,20.0
1,3,Y1050407,1.29359428964,-0.611797635758,-0.103123640894,12.9273325149,10.0
1,3,Y1050409,-1.33937366288,-0.744136840497,-0.883912199642,11.5635679674,10.0
1,3,Y1050412,0.575512120771,0.579255208083,1.82502757201,30.2073119538,30.0
1,3,Y1050414,-0.142570048097,0.18223759347,1.2660852812,24.8604319453,53.0
1,3,Y1050417,1.29359428964,0.976272822697,-0.224550624214,70.3253794928,62.0
1,3,Y1050422,0.575512120771,0.711594413219,0.866359160225,31.2020206164,40.0
1,3,Y1050433,-1.33937366288,-1.53817206972,-0.883912199642,1.20030965129,0.0
1,4,Y1050275,0.814872843724,0.446916003344,-0.0252444754273,28.4147403008,20.0
1,4,Y1050301,0.33615139781,-1.53817206972,-0.165795632021,1.3425507254,10.0
1,4,Y1050302,-0.381930771057,-1.53817206972,-0.476544255947,1.20243745944,10.0
1,4,Y1050305,-0.621291494011,0.976272822697,-0.280404134834,35.6612552318,20.0
1,4,Y1050318,-0.621291494011,0.976272822697,1.46815271317,37.1744495711,40.0
1,4,Y1050334,-0.621291494011,-0.0824408160083,0.0213498972308,21.502963346,20.0
1,4,Y1050337,0.33615139781,-0.0824408160083,-0.748122885077,20.6653213838,10.0
1,4,Y1050345,-1.33937366288,-1.00881525037,-0.883912199642,8.23136033449,10.0
1,4,Y1050354,-0.142570048097,0.843933617958,1.64675959848,35.4407151035,50.0
1,4,Y1050361,-0.381930771057,0.446916003344,-0.2728602841,28.4151335241,30.0
1,4,Y1050388,-0.621291494011,0.18223759347,-0.476544255947,24.6769448319,20.0
1,4,Y1050389,-1.33937366288,-1.53817206972,-0.883912199642,1.02164600496,0.0
1,4,Y1050393,-1.33937366288,-1.53817206972,-0.883912199642,1.02164600496,0.0
1,4,Y1050399,-1.33937366288,-1.53817206972,-0.883912199642,1.02164600496,0.0
1,4,Y1050405,-1.33937366288,-1.27349365985,-0.883912199642,4.62650317243,10.0
1,4,Y1050437,-0.621291494011,-1.53817206972,3.18976723731,4.41818505541,0.0
1,4,Y1050439,0.814872843724,0.0498983887306,-0.476544255947,22.6169014662,10.0
1,4,Y9999985,1.05423356668,1.63796884719,-0.544438913229,44.1443528886,59.0
1,5,Y1050295,0.814872843724,0.711594413219,0.710583539918,33.3503003793,30.0
1,5,Y1050296,0.0967906748565,-0.479458430622,-0.606161329003,15.8607384893,20.0
1,5,Y1050300,1.77231573554,0.0498983887306,-0.0918078644533,23.6287245879,10.0
1,5,Y1050303,0.33615139781,0.314576798606,0.144206896157,27.3719033036,20.0
1,5,Y1050312,0.33615139781,-0.214780021144,-0.883912199642,19.1424446918,10.0
1,5,Y1050340,0.814872843724,-0.214780021144,0.926611994784,21.1005463998,10.0
1,5,Y1050355,-0.381930771057,-0.744136840497,-0.883912199642,11.9734431533,10.0
1,5,Y1050376,-0.621291494011,2.16732566654,-0.152077987708,85.874598875,90.0
1,5,Y1050383,-0.142570048097,-0.744136840497,-0.883912199642,11.9858871882,10.0
1,5,Y1050400,-0.621291494011,0.314576798606,0.176941820396,27.357080357,20.0
1,5,Y1050403,-0.142570048097,-0.214780021144,-0.374702270023,19.6612729576,20.0
1,5,Y1050408,-0.381930771057,-0.479458430622,-0.883912199642,15.5392778728,10.0
1,5,Y1050411,-1.10001293992,-0.479458430622,-0.883912199642,15.5019457679,10.0
1,5,Y1050415,0.33615139781,0.711594413219,1.72281253822,34.4062345985,30.0
