username,video_stop_backward_seek_avg,qz_mean,watched_time_hour,watched_time_weekday,active_num_days,video_stop_backward_seek_sum,hw_mean,indicator,final_score
Y1050274,1.93147947544,-2.45938461954,1.22738967514,-1.27625624572,0.438056806887,-0.849043750737,0.330869144777,1.0,80
Y1050275,-1.08861497648,-0.603988950602,0.10824892482,-0.0557956028288,0.081108697825,-0.35062531714,0.123352515059,0.0,20
Y1050276,0.513520306377,-1.58538449743,2.07757753205,-1.7740089803,1.99011789525,-0.882314431103,0.283829510987,0.0,40
Y1050277,-1.03459253483,-0.361618645516,1.26821600048,0.587209938108,-0.338486760447,-0.484104433107,0.088500175323,0.0,10
Y1050278,1.85539438869,-2.07599196721,1.36704053104,-0.0225866697876,0.818200041026,-0.841729358294,0.300666590989,0.0,54
Y1050279,2.65186612219,-0.948461469497,-0.753159223119,-0.441792218706,0.770595111984,-0.318183681841,0.527631079032,1.0,70
Y1050280,-0.891113676888,-0.472200871763,1.47330206348,0.0875290911333,0.748169341702,0.130371001587,-0.000784998712185,0.0,10
Y1050281,-2.61681341435,0.172918857417,-0.87546195464,0.141889030456,-0.257212240968,-0.177753631892,0.0547623020935,0.0,10
Y1050282,-1.88557697373,-0.173287493824,0.0428765444063,-0.0958729931929,-0.070252327403,0.0995508740414,0.00724693441171,0.0,10
Y1050283,-0.689292637798,0.405446630921,0.284908940488,-0.553125538911,-0.131439688731,0.497197355394,0.384125927905,0.0,20
Y1050284,-0.65003330174,-0.711407286415,0.600756110736,0.268223558713,-0.0507047646732,0.638950518929,-0.0714480948219,0.0,30
Y1050286,1.66112878505,-0.18873909026,-0.195479768552,-1.56908007593,0.0406967579258,0.919582558522,-0.0875431304693,0.0,72
Y1050287,1.77943910237,1.32213706949,0.626345938762,-0.990699283266,-1.06510549813,1.05406032443,-0.398244654478,0.0,50
Y1050289,1.55146040251,0.727765791783,-0.214525349137,-1.33325273883,-0.529879253953,1.52383508104,-0.914093158438,1.0,60
Y1050291,-1.04131600064,-0.871542472985,0.190678192424,-0.883239866732,-1.05593665995,0.738746954567,-0.0825947127218,0.0,40
Y1050292,1.43626639553,-1.70080821267,-0.266455799718,1.54794888607,-0.0507798752311,-0.108065086612,0.157680051925,0.0,50
Y1050293,2.90516824139,-1.35693076834,-0.21326236088,0.403700366259,-1.10928476437,-1.20583990025,0.294775995097,1.0,80
Y1050294,2.20618333493,2.57608580484,0.517712000497,-0.295079006443,-0.726638040283,0.69284342903,0.0759244405786,0.0,40
Y1050295,0.45235978644,-1.10027118241,1.00413655243,1.15741684254,-0.499912156954,0.387375641322,-0.0199390558755,0.0,30
Y1050296,-0.806052876795,-0.601790409985,0.327514993468,0.427714435265,0.378317289258,-0.0843131759114,0.0712797452342,0.0,20
Y1050297,-2.53230731304,0.208149200999,-0.51931339165,0.242709914763,0.0321981606889,-0.256235823784,0.0624930617621,0.0,10
Y1050298,-1.34052302702,-0.314322750005,1.347090184,-0.0358282287826,-0.10842667966,-0.335118483537,0.0621129136594,0.0,10
Y1050299,-2.53256342975,0.16715262048,-0.366358432296,0.0069093270804,-0.0257224348546,-0.249341482558,0.0597767712905,0.0,10
Y1050300,-1.28640962476,-0.355003385647,1.07808514554,-0.0155854676509,0.157886413064,0.0133064503197,0.0123206774431,0.0,10
