username,forum_num_days,qz_mean,indicator,predict_score,real_score
Y1050274,0.725978372151,-0.8746372014,1.0,66.3368547629,80.0
Y1050275,-0.668843770468,0.520184941219,0.0,9.78463854336,20.0
Y1050276,-0.258601963758,0.109943134508,0.0,19.794309594,40.0
Y1050277,-0.176553602514,0.0278947732646,0.0,21.7962438017,10.0
Y1050278,0.397784926684,-0.546443755933,0.0,35.8097832678,54.0
Y1050279,7.44507144882,6.00855259825,1.0,71.4874276348,70.0
Y1050280,-0.504747047735,0.356088218485,0.0,13.7885069648,10.0
Y1050281,-0.668843770468,0.520184941219,0.0,9.78463854336,10.0
Y1050282,-0.668843770468,0.520184941219,0.0,9.78463854336,10.0
Y1050283,0.397784926684,-0.546443755933,0.0,35.8097832678,20.0
Y1050284,-0.340650325247,0.191991495998,0.0,17.7923753803,30.0
Y1050285,-0.668843770468,0.520184941219,0.0,9.78463854336,0.0
Y1050286,0.808026733394,-0.956685562644,1.0,68.3387889707,72.0
Y1050287,1.05417181737,-1.20283064662,0.0,51.8252569476,50.0
Y1050288,-0.668843770468,0.520184941219,0.0,9.78463854336,0.0
Y1050289,1.62851034657,-1.77716917582,1.0,88.3581310659,60.0
Y1050290,-0.668843770468,0.520184941219,0.0,9.78463854336,0.0
Y1050291,0.643930010661,-0.79258883991,0.0,41.8155858969,40.0
Y1050292,0.397784926684,-0.546443755933,0.0,35.8097832678,50.0
Y1050293,1.05417181737,-1.20283064662,1.0,74.3445915998,80.0
Y1050294,0.233688204197,-0.382347033446,0.0,31.8059148523,40.0
Y1050295,0.808026733394,-0.956685562644,0.0,45.8194543184,30.0
Y1050296,-0.340650325247,0.191991495998,0.0,17.7923753803,20.0
Y1050297,-0.668843770468,0.520184941219,0.0,9.78463854336,10.0
Y1050298,-0.668843770468,0.520184941219,0.0,9.78463854336,10.0
Y1050299,-0.668843770468,0.520184941219,0.0,9.78463854336,10.0
Y1050300,-0.668843770468,0.520184941219,0.0,9.78463854336,10.0
Y1050301,-0.668843770468,0.520184941219,0.0,9.78463854336,10.0
