username,forum_num_days,qz_mean,video_stop_backward_seek_avg,watched_time_hour,seek_video_avg,watched_time_weekday,video_avg_count,final_score
Y1050274,-0.18411492358,1.39138636212,-0.628757275936,0.669930058774,0.0930563130268,2.43572333184,0.230711436662,80.0
Y1050275,-0.18411492358,-0.122807810366,-0.628757275936,-0.0637415679354,-0.276778510514,0.231830280039,-0.254765038242,20.0
Y1050276,-0.18411492358,-0.122807810366,-0.628757275936,-0.899388442034,-0.804285713339,2.43572333184,0.179145282592,40.0
Y1050277,-0.18411492358,-0.361891100758,-0.628757275936,0.00972297164019,-0.751143800388,0.0481725257224,-0.0564659256456,10.0
Y1050278,-0.18411492358,0.674136490943,-0.628757275936,1.48799004922,0.206549146118,2.43572333184,-0.541732781825,54.0
Y1050279,5.4313902456,1.0726086416,-0.171898304982,0.66171586889,0.521271871624,0.415488034356,0.891848225066,70.0
Y1050280,-0.18411492358,-0.680668821281,-0.628757275936,-0.100518171746,-0.881738293378,0.966461297306,-0.551165614887,10.0
Y1050281,-0.18411492358,-0.840057681543,-0.628757275936,-0.740076841779,-0.489954815191,-1.23743175449,-0.574223651262,10.0
Y1050282,-0.18411492358,-0.361891100758,-0.628757275936,-0.594301078079,-0.228765829994,-0.135485228594,-0.380326527239,10.0
Y1050283,-0.18411492358,0.195969910158,0.559076047357,-0.509680420064,0.293612141184,0.415488034356,-0.48618387602,20.0
Y1050284,-0.18411492358,0.116275480027,-0.628757275936,0.17739428105,0.282418327745,0.599145788673,-0.324777621433,30.0
Y1050285,-0.18411492358,-1.31822426233,-0.628757275936,-1.39236001991,-1.27352177157,-1.42108950881,-0.825765866238,0.0
Y1050286,-0.18411492358,1.55077522238,0.858945733899,-0.581288451971,0.375425750095,0.599145788673,0.848037955936,72.0
Y1050287,-0.18411492358,1.78985851277,1.62290479223,-0.0368856973706,1.18957042435,0.782803542989,0.369059654898,50.0
Y1050288,-0.18411492358,-1.31822426233,-0.628757275936,-1.39236001991,-1.27352177157,-1.42108950881,-0.825765866238,0.0
