evaluation_num,score,num_of_same,num_of_positive,num_of_negative,posi_error,nega_error,max_posi_error,min_nega_error,mean_posi_error_rate,mean_nega_error_rate,max_posi_error_rate,min_naga_error_rate
49,40 to 50,0,6,6,6.37334496258,-5.11079992173,20.4368315774,-9.5947384849,0.159333624065,-0.127769998043,0.510920789435,-0.239868462122
49,50 to 60,0,3,11,1.53730382237,-7.81082613951,2.5938747907,-18.3889032783,0.0291740311196,-0.151630443898,0.0471613598309,-0.367778065566
49,60 to 70,0,5,3,6.67093212992,-5.37963186753,12.7456894082,-6.7206825371,0.108366034497,-0.0843202588488,0.202312530289,-0.101828523289
49,70 to 80,0,3,4,5.47315948067,-3.4546270647,8.060643088,-4.9088661223,0.0768300800865,-0.0473025376491,0.113530184338,-0.0681786961431
49,80 to 90,0,3,3,7.63813578527,-1.07903867017,9.1694788022,-1.4764673518,0.0920034098908,-0.0134879833771,0.107070639271,-0.0184558418975
49,90 to 100,0,1,6,0.9037719541,-4.74425023518,0.9037719541,-8.1795246415,0.0100419106011,-0.0507140475048,0.0100419106011,-0.0908836071278
50,0 to 10,0,21,0,0.935105989266,,1.28553566307,0.0,inf,0.0,inf,0.0
50,10 to 20,0,34,23,3.48612743064,-3.47559927053,5.8944971236,-9.88321211712,0.348612743064,-0.347559927053,0.58944971236,-0.988321211712
50,20 to 30,0,22,14,3.81454573503,-1.97561115112,11.3905948064,-5.3610069098,0.190727286752,-0.0987805575561,0.56952974032,-0.26805034549
50,30 to 40,0,5,10,3.89560629638,-6.73769632224,7.8794229043,-13.0336401436,0.129853543213,-0.224589877408,0.262647430143,-0.434454671453
50,40 to 50,0,7,5,5.3033879223,-6.21121675364,17.7543294272,-9.8090341497,0.132584698058,-0.155280418841,0.44385823568,-0.245225853742
50,50 to 60,0,2,12,2.21811595485,-7.30396842355,2.8546132567,-17.7444995912,0.0417672161364,-0.141547586199,0.0519020592127,-0.354889991824
50,60 to 70,0,5,3,4.5753217773,-5.31198305693,11.2706821358,-6.3222779654,0.0737189391466,-0.0836004311548,0.178899716441,-0.0957920903848
