username,qz_mean,video_stop_backward_seek_sum,video_pause_backward_seek_avg,indicator,predict_score,real_score
Y1050274,0.404623818743,-1.21112771882,-0.771117734315,1.0,71.690599491,80.0
Y1050275,0.157105318665,-0.717689337068,0.172697252678,0.0,27.2000137627,20.0
Y1050276,-0.842829265474,-0.0640626004666,0.205754117341,0.0,14.0400446678,40.0
Y1050277,-1.31926250911,0.213666197947,0.126426969415,0.0,8.6557259678,10.0
Y1050278,-0.778701332795,-0.25401216229,-0.213991546688,0.0,18.7754813535,54.0
Y1050279,1.43131064355,-0.469480695498,0.188630702307,1.0,69.7640854956,70.0
Y1050280,-1.13756864359,0.17498382257,0.346357360732,0.0,8.94167397363,10.0
Y1050281,-0.95587477752,0.136301447076,0.56628775271,0.0,9.22762198032,10.0
Y1050282,-0.372150345634,-0.516863123913,-0.219253011417,0.0,24.0498200504,10.0
Y1050283,-0.440460987348,0.810500987257,0.409799427258,0.0,11.1309843278,20.0
Y1050284,-0.644691144188,-0.458839560789,-0.549148598723,0.0,23.6208980413,30.0
Y1050285,-1.31926250911,0.213666197947,0.126426969415,0.0,8.6557259678,0.0
Y1050286,1.46510824319,-0.476676158221,0.229540830419,1.0,69.8172758232,72.0
Y1050287,3.07339923596,1.96404898817,-1.93992273343,0.0,53.4714891234,50.0
Y1050288,-1.31926250911,0.213666197947,0.126426969415,0.0,8.6557259678,0.0
Y1050289,1.50908992347,-1.35811863505,0.81446199103,1.0,71.1115409164,60.0
Y1050290,-1.31926250911,0.213666197947,0.126426969415,0.0,8.6557259678,0.0
Y1050291,1.30077488346,-1.57821386709,-0.18374534023,0.0,45.2207043268,40.0
Y1050292,-0.05809805336,-0.760021239951,-0.33647903865,0.0,29.1785852176,50.0
Y1050293,1.62799571176,-1.30469033455,-1.81145331795,1.0,90.9289340195,80.0
Y1050294,0.0629807215108,0.262576904506,-0.224234647249,0.0,23.5095778534,40.0
Y1050295,0.97271041055,-1.06762735792,0.662573194289,0.0,33.1181177579,30.0
Y1050296,-1.09627458307,0.166192373583,0.396341540787,0.0,9.00666215704,20.0
Y1050297,-1.09440538747,-0.0105023882982,-0.0987648866312,0.0,13.644116659,10.0
Y1050298,-0.733277866551,-0.263682756106,-0.159008949024,0.0,18.8469683547,10.0
Y1050299,-0.869548265828,-0.234670974544,-0.323956742677,0.0,18.6325073501,10.0
Y1050300,-0.458476857326,-0.145890702294,0.67099148397,0.0,14.6449346806,10.0
Y1050301,-0.910451311276,0.12663085326,0.621270350374,0.0,9.29910898156,10.0
Y1050302,-0.822018105324,0.891733975631,-0.0520543949707,0.0,10.5304935149,10.0
Y1050303,0.514284539519,1.03857377639,-0.209640061199,0.0,22.9947881715,20.0
Y1050304,-1.13756864359,0.17498382257,0.346357360732,0.0,8.94167397363,10.0
Y1050305,-0.0045823519815,-0.859563065902,-0.520385729936,0.0,31.5800640886,20.0
Y1050306,-1.20683394829,0.101581904824,0.0138310413918,0.0,11.1499213134,10.0
Y1050307,-1.31926250911,0.213666197947,0.126426969415,0.0,8.6557259678,10.0
Y1050308,2.17593067877,0.253474781262,3.5767970654,0.0,15.2486356159,10.0
Y1050309,-1.31926250911,0.213666197947,0.126426969415,0.0,8.6557259678,0.0
Y1050310,-1.04672171055,0.155642634823,0.456322556721,0.0,9.08464797697,10.0
Y1050311,-0.246237365168,-0.367373012486,0.430526684165,0.0,19.6134678715,20.0
Y1050312,-0.869548265828,-0.234670974544,-0.323956742677,0.0,18.6325073501,10.0
Y1050313,-0.981976826648,-0.122586681421,-0.211360814654,0.0,16.1383120045,30.0
Y1050314,-0.0735970975718,1.42817819164,-0.175184842632,0.0,15.1178167036,30.0
Y1050315,0.227285894775,0.315744964267,0.223332185011,0.0,21.4509033174,20.0
Y1050316,-0.767691845315,0.0962375582795,0.794072800931,0.0,9.52378241502,10.0
Y1050317,1.19034922564,0.542046904314,-0.386039061008,0.0,33.3277976387,55.0
Y1050318,3.12248036196,1.43411447172,-0.354091004416,0.0,45.5047541129,40.0
Y1050319,0.690649103648,-0.488091679715,-1.20526817886,1.0,73.232952481,76.0
Y1050320,-0.377259149241,0.444451777005,-0.50843620859,0.0,20.4994763153,10.0
Y1050321,-0.194976900909,-0.907176733279,-0.999532310815,0.0,33.5976794236,20.0
Y1050322,2.33991381018,-2.32833556093,-0.418032005756,1.0,93.2743908315,99.0
Y1050323,2.023211825,-1.30068289798,-1.08438154346,1.0,89.2336648336,88.0
Y1050324,0.639662850415,-0.820425175347,0.756806498671,0.0,27.9594580263,30.0
Y1050325,0.220614928389,-0.466765227041,0.995625606548,0.0,20.3481953868,20.0
Y1050326,0.855217845388,-0.866316538856,1.01772391742,0.0,28.2986963423,20.0
Y1050327,-0.331587221504,1.57125234239,-0.238783149039,0.0,12.3945380118,0.0
Y1050328,3.63991569651,-1.98806533945,2.89633994243,1.0,79.099526192,71.0
Y1050329,0.151893206144,-0.981024904487,-0.579665199938,0.0,34.1435801622,20.0
Y1050330,-0.399579867565,0.801797452788,0.459283765354,0.0,11.1953226291,10.0
Y1050331,-0.978586510915,0.141136744042,0.538796453548,0.0,9.19187847927,10.0
Y1050332,1.51755985392,1.34446304651,-0.521652428863,0.0,32.617711324,40.0
Y1050333,-1.20683394829,0.101581904824,0.0138310413918,0.0,11.1499213134,10.0
Y1050334,-0.415313601753,-0.331376913046,0.225869235947,0.0,19.3473773651,20.0
Y1050335,1.08512273998,0.917043104533,0.48132805952,0.0,23.8931676771,10.0
Y1050336,0.121857258827,-1.06277869875,-0.864706548358,0.0,36.413566276,50.0
Y1050337,-0.760531946406,-0.257880399793,-0.191998507755,0.0,18.8040761538,10.0
Y1050338,-0.869548265828,-0.234670974544,-0.323956742677,0.0,18.6325073501,10.0
Y1050339,-0.644691144188,-0.458839560789,-0.549148598723,0.0,23.6208980413,20.0
Y1050340,0.0866047397826,-0.261937828543,1.33078265858,0.0,15.502778699,10.0
Y1050341,-0.0735074979518,-0.315998558541,0.888291143253,0.0,17.5680520354,20.0
Y1050342,0.189992458466,-1.07728458953,-0.782232651532,0.0,36.5207967783,50.0
Y1050343,-1.31926250911,0.213666197947,0.126426969415,0.0,8.6557259678,0.0
Y1050344,1.98048438376,-1.63477468338,0.887689969957,0.0,43.9731680155,40.0
Y1050345,-1.09440538747,-0.0105023882982,-0.0987648866312,0.0,13.644116659,10.0
Y1050346,-1.09440538747,-0.0105023882982,-0.0987648866312,0.0,13.644116659,50.0
Y1050347,1.55551009503,-0.0645857832578,-1.43613894874,0.0,47.8060225391,20.0
Y1050348,-1.31926250911,0.213666197947,0.126426969415,0.0,8.6557259678,10.0
Y1050349,-0.283563623271,-0.712019928596,-0.609392661116,1.0,61.3385113506,65.0
Y1050350,0.51646003893,0.606773810013,1.56809948965,0.0,12.6369771604,10.0
Y1050351,0.355513382966,-1.20067217424,-0.83056320501,1.0,71.6133099736,70.0
Y1050352,0.603367928423,-1.5178852869,-1.27660244215,1.0,78.9551501728,80.0
Y1050353,1.8555208642,2.32088725979,-0.146884067448,0.0,27.2900310736,50.0
Y1050354,1.28823938432,-1.13480304473,1.04450359394,0.0,33.6146941314,50.0
Y1050355,-1.31926250911,0.213666197947,0.126426969415,0.0,8.6557259678,10.0
Y1050356,-0.361108483502,-0.25476870221,0.540166031192,0.0,17.1154284531,30.0
Y1050357,0.438494050823,0.447075849513,0.976356980747,0.0,17.1487878409,20.0
Y1050358,-0.800282961127,-0.161269056798,0.00856957666337,0.0,16.4242600104,50.0
Y1050359,-1.09440538747,-0.0105023882982,-0.0987648866312,0.0,13.644116659,20.0
Y1050360,0.71832032002,1.95536208151,-0.245665287998,0.0,19.7735941112,30.0
Y1050361,-0.358523305706,-0.51976430207,-0.202758232052,0.0,24.0712661509,30.0
Y1050362,1.49580847965,-0.83580582195,-0.728036199529,1.0,79.134617112,80.0
