username,watched_time_weekday,qz_mean,video_pause_backward_seek_avg,indicator,predict_score,real_score
Y1050274,1.74073382847,-1.71774470143,-0.354923202866,1.0,75.2111578466,80.0
Y1050275,0.71412768968,-0.595293623328,0.00600781826322,0.0,28.3654121104,20.0
Y1050276,0.870253890521,-1.42283099348,0.644360558772,0.0,22.6206768062,40.0
Y1050277,-0.400134626151,0.291931655068,0.636305847534,0.0,12.6913820018,10.0
Y1050278,1.59966228762,-2.72702802866,0.894920301684,0.0,25.5627299947,54.0
Y1050279,1.6905319791,1.13518729987,-0.03616901145,1.0,74.0386154938,70.0
Y1050280,-0.148412268617,-0.39779351643,0.839728392673,0.0,12.3180224061,10.0
Y1050281,-1.30803926984,0.47585719999,-0.111196808616,0.0,12.1618257175,10.0
Y1050282,0.00988100445532,-0.502242200014,-0.0595360469304,0.0,22.7266252619,10.0
Y1050283,-0.793379826591,0.124160036327,0.31105368601,0.0,12.2605005633,20.0
Y1050284,-0.0332926725682,-0.312672993242,-0.780103865437,0.0,29.7655201625,30.0
Y1050285,-2.19095539443,0.324298647651,0.189052237052,0.0,1.00252691181,0.0
Y1050286,1.51242325093,0.568434803356,-0.186423027727,1.0,73.4437810968,72.0
Y1050287,1.20677907039,-0.254981294239,-1.12947849073,0.0,44.5740250147,50.0
Y1050288,-2.19095539443,0.324298647651,0.189052237052,0.0,1.00252691181,0.0
Y1050289,1.97331098699,2.74221692235,0.0350970882653,1.0,77.2881757939,60.0
Y1050290,-2.19095539443,0.324298647651,0.189052237052,0.0,1.00252691181,0.0
Y1050291,1.19349706702,0.403500687393,-1.1364843598,0.0,45.1003546277,40.0
Y1050292,0.1009297043,0.320196184425,-1.00869240606,0.0,33.8397690971,50.0
Y1050293,1.20598344326,-0.118552617789,-1.98694860164,1.0,88.2178357616,80.0
Y1050294,0.766797090261,-0.527582625073,0.049841638428,0.0,28.4599661784,40.0
Y1050295,1.28481145424,-0.0768733030003,0.13661387156,0.0,32.6730388112,30.0
Y1050296,-0.583732911647,-0.497120376708,0.137140793109,0.0,15.3698065159,20.0
Y1050297,-1.63165177975,-0.185246875033,0.304115214693,0.0,4.46446260425,10.0
Y1050298,1.0148391319,-1.57473292082,0.762666831276,0.0,22.6051546323,10.0
Y1050299,-1.14736174594,-0.115671613897,0.360796556521,0.0,8.34190507961,10.0
Y1050300,0.946398566915,-1.32494052969,0.707731548659,0.0,22.7573745629,10.0
Y1050301,-0.886177603374,-0.362748371579,1.26077838819,0.0,1.41930370004,10.0
Y1050302,-1.44699975696,-0.0703973019322,0.800109230719,0.0,1.23775583875,10.0
Y1050303,0.461967180936,-0.136289175515,-0.0276321867566,0.0,26.821341159,20.0
Y1050304,-0.939154828834,0.274532424785,0.191757241547,0.0,12.2738868342,10.0
Y1050305,0.129532283402,0.249346113996,-1.15705925807,0.0,35.5326744934,20.0
Y1050306,-1.32491707098,-0.696627864592,0.725492680174,0.0,2.54830624198,10.0
Y1050307,-1.66972293555,-0.356726908703,0.614749085183,0.0,0.837914899929,10.0
