username,active_num_days,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,exam_mean,hw_mean,indicator,final_score
Y1050274,1.68330272225,-1.74196594734,0.526462846474,0.987704677452,-0.410648353003,-0.322979868736,1.0,80
Y1050275,-0.119515923257,0.0427298270529,-0.379254419862,0.30971432892,-0.0892573681336,-0.292014640783,0.0,20
Y1050276,0.480511335669,-1.18642462013,0.204215295273,1.29190082403,0.49973019562,-0.209686278716,0.0,40
Y1050277,-0.783243238626,0.457000550422,-0.656898446861,0.25902697351,-0.356524602256,0.313254128409,0.0,10
Y1050278,0.823001456337,-1.8075465895,0.509781237232,0.357757585468,0.40195674153,-0.616893748143,0.0,54
Y1050279,3.22023363802,-1.46145648508,-0.612784438064,1.47394220299,0.479712984821,0.77340753575,1.0,70
Y1050280,-1.12211435052,-0.237118105448,-0.0549540896831,-0.317276581985,0.562905616447,0.168860271675,0.0,10
Y1050281,-1.80408473586,0.178951213913,-0.0875542185434,0.237250186248,-0.103777189516,-0.0214062761983,0.0,10
Y1050282,-1.29124325144,-0.017310473281,-0.0312491076612,-0.161623263353,-0.162431559556,0.0778378081076,0.0,10
Y1050283,-0.746562471143,-0.334889771135,-0.0120202479239,-0.562472069036,-0.246813942613,-0.0366293575711,0.0,20
Y1050284,-0.649203724565,-0.509424464201,-0.154323370504,-0.753870594541,0.100420869767,0.331894459973,0.0,30
Y1050285,-2.19290250825,0.377589701334,-0.0410260443229,0.482123097433,0.101446224756,-0.119182620861,0.0,0
Y1050286,2.08227725377,-0.976487040073,-0.514449180476,0.130009753695,-0.454566293648,1.09582262811,1.0,72
Y1050287,0.797569502494,-0.447684214797,-0.571312135,-1.23420122745,-1.17956499445,0.0925824068957,0.0,50
Y1050288,-2.19290250825,0.377589701334,-0.0410260443229,0.482123097433,0.101446224756,-0.119182620861,0.0,0
Y1050289,5.6132661694,3.63733993281,-3.12738126977,-1.02552591176,-1.01243516296,-1.85259315942,1.0,60
Y1050290,-2.19290250825,0.377589701334,-0.0410260443229,0.482123097433,0.101446224756,-0.119182620861,0.0,0
Y1050291,-0.367542690984,-0.732135758086,-0.181278143051,-0.693325463342,-1.3818335954,0.319609086696,0.0,40
Y1050292,1.63307157838,-0.307696985106,1.20348077881,-0.428393145461,0.440080005478,-0.229483937376,0.0,50
Y1050293,1.87264717605,-2.07446839231,0.269611079701,0.847061484696,-0.822326130908,-0.140749814387,1.0,80
Y1050294,0.116883676454,-0.105918281692,-0.0339667824889,-0.895753750726,-0.371462178414,0.343869547221,0.0,40
Y1050295,0.09864922862,-0.628013276745,0.106713904022,-1.05038370468,-0.340519356567,0.323255321795,0.0,30
Y1050296,-0.4325675659,-0.00337545356674,0.104381451868,-0.0789989155564,0.287044063775,-0.196332535186,0.0,20
Y1050297,-1.96967612713,0.219922420119,-0.0322802292981,0.239866538351,0.213809217829,-0.0658908581493,0.0,10
Y1050298,-1.42480015133,0.0203130752362,-0.0582055884868,-0.0598594943297,-0.309515579693,-0.0244819156172,0.0,10
Y1050299,-1.76725884311,0.419590066283,0.0168977494504,0.251734752728,-0.0013965790317,-0.111708264195,0.0,10
Y1050300,-1.14818404149,0.0659724040307,0.19763240752,-0.362591727888,-0.0225946687525,0.0102829544287,0.0,10
Y1050301,-1.28400866003,0.538326322659,0.570418461004,0.576652141087,0.516327187589,-0.119998936498,0.0,10
Y1050302,-1.05103904362,0.014810261801,0.0709438749448,0.718094340516,0.849256634588,-0.288783973461,0.0,10
Y1050303,0.524748420545,0.971726874127,0.653411380479,-0.0343724841444,0.0825711750275,-0.273603566503,0.0,20
Y1050304,-1.50504621074,0.338309218518,-0.00920297754448,0.155424398223,0.0224365096715,0.10621530004,0.0,10
Y1050305,-0.0325035932766,-0.691589859001,0.224580193846,-0.274437451657,0.235702060705,0.0578958966137,0.0,20
