username,incomplete_rate,forum_num_days,qz_mean,watched_time_hour,video_stop_backward_seek_sum,final_score
Y1050274,0.118354286967,-0.0741249316661,0.69263046104,0.090875880084,-0.465168832956,80.0
Y1050275,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,20.0
Y1050276,-0.549354486061,-0.0741249316661,-0.0144901770092,-0.41009820935,-0.465168832956,40.0
Y1050277,1.2197147782,-0.0741249316661,-0.89839097457,0.548927248465,-0.465168832956,10.0
Y1050278,1.84693024473,-0.0741249316661,0.162289982503,1.28138808837,-0.465168832956,54.0
Y1050279,-0.227705528543,-0.0741249316661,1.04619078006,0.88813813189,0.460112649989,70.0
Y1050280,-0.17409737035,-0.0741249316661,-0.544830655546,-0.752503394329,-0.465168832956,10.0
Y1050281,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,10.0
Y1050282,-0.17409737035,-0.0741249316661,-0.89839097457,-0.88084284626,-0.465168832956,10.0
Y1050283,-0.0347161548678,-0.0741249316661,0.339070142015,-0.0178182683812,0.460112649989,20.0
Y1050284,2.26507388909,-0.0741249316661,-0.191270336521,0.553262157876,-0.465168832956,30.0
Y1050285,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,0.0
Y1050286,-0.52255040592,-0.0741249316661,0.69263046104,-0.749959499343,-0.465168832956,72.0
Y1050287,0.0250186523648,-0.0741249316661,1.22297093958,-0.350248842176,0.460112649989,50.0
Y1050288,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,0.0
Y1050289,0.622366714237,-0.0741249316661,2.28365189665,-0.648308680539,-0.465168832956,60.0
Y1050290,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,0.0
Y1050291,0.124576661632,-0.0741249316661,1.04619078006,-0.0446265860854,-0.465168832956,40.0
Y1050292,3.1203677069,-0.0741249316661,0.69263046104,1.43851612211,-0.465168832956,50.0
Y1050293,-0.572329411598,-0.0741249316661,1.5765312586,2.48022008806,0.460112649989,80.0
Y1050294,-0.87100344358,-0.0741249316661,0.339070142015,-0.347461272932,-0.465168832956,40.0
Y1050295,1.28306987729,-0.0741249316661,1.22297093958,2.80027917539,-0.465168832956,30.0
Y1050296,0.953623368726,-0.0741249316661,-0.191270336521,-0.0108701592374,-0.465168832956,20.0
Y1050297,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,10.0
Y1050298,-0.87100344358,-0.0741249316661,-0.89839097457,0.359643349079,-0.465168832956,10.0
Y1050299,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,10.0
Y1050300,0.87126174054,-0.0741249316661,-0.89839097457,0.0818846432095,-0.465168832956,10.0
Y1050301,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,10.0
Y1050302,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,10.0
Y1050303,0.473029699292,-0.0741249316661,-0.89839097457,1.71002273328,1.38539413293,20.0
Y1050304,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,10.0
Y1050305,0.522808704971,-0.0741249316661,-0.0144901770092,-0.389837571823,-0.465168832956,20.0
Y1050306,0.98741275379,-0.0741249316661,-0.368050496034,0.649346678564,-0.465168832956,10.0
Y1050307,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,10.0
Y1050308,1.42878660038,-0.0741249316661,-0.89839097457,0.244179796261,1.38539413293,10.0
Y1050309,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,0.0
Y1050310,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,10.0
Y1050311,1.48105455592,-0.0741249316661,0.162289982503,0.326131537216,-0.465168832956,20.0
Y1050312,1.2197147782,-0.0741249316661,-0.89839097457,-0.568014256407,-0.465168832956,10.0
Y1050313,-0.0347161548678,-0.0741249316661,-0.0144901770092,-0.656326491841,-0.465168832956,30.0
Y1050314,-0.87100344358,-0.0741249316661,-0.368050496034,-0.900078629548,-0.465168832956,30.0
Y1050315,0.921040746219,-0.0741249316661,-0.544830655546,0.272858020137,-0.465168832956,20.0
Y1050316,-0.422992396653,-0.0741249316661,-0.191270336521,0.373470111103,-0.465168832956,10.0
Y1050317,0.464733198345,-0.0741249316661,1.04619078006,-0.115195187446,2.31067561588,55.0
Y1050318,-0.200901448401,-0.0741249316661,0.869410620552,0.745425335058,1.38539413293,40.0
Y1050319,-0.87100344358,-0.0741249316661,1.39975109909,0.485180877364,-0.465168832956,76.0
Y1050320,0.079323021816,-0.0741249316661,-0.89839097457,0.410133208857,0.460112649989,10.0
Y1050321,-0.87100344358,-0.0741249316661,1.22297093958,-0.900078629548,-0.465168832956,20.0
Y1050322,0.763558075647,13.4907375632,2.46043205616,1.09433826336,-0.465168832956,99.0
Y1050323,-0.104406761564,-0.0741249316661,2.28365189665,1.79657897088,0.460112649989,88.0
Y1050324,0.866283840809,-0.0741249316661,0.69263046104,-0.253040964525,-0.465168832956,30.0
Y1050325,0.801571133844,-0.0741249316661,0.339070142015,1.18134946675,-0.465168832956,20.0
Y1050326,-0.0727292130655,-0.0741249316661,-0.0144901770092,1.36766128827,-0.465168832956,20.0
Y1050327,-0.391880517058,-0.0741249316661,-0.89839097457,-0.546278029535,1.38539413293,0.0
Y1050328,-0.52255040592,-0.0741249316661,1.5765312586,0.122343468459,-0.465168832956,71.0
Y1050329,2.06769839139,-0.0741249316661,0.869410620552,-0.121393549821,-0.465168832956,20.0
Y1050330,0.644767267211,-0.0741249316661,-0.368050496034,2.1765886643,0.460112649989,10.0
Y1050331,0.423816364607,-0.0741249316661,-0.544830655546,1.9892850132,-0.465168832956,10.0
Y1050332,-0.229533079699,-0.0741249316661,0.515850301528,1.83401733409,3.23595709882,40.0
Y1050333,1.2197147782,-0.0741249316661,-0.721610815058,-0.519584531958,-0.465168832956,10.0
Y1050334,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,20.0
Y1050335,2.26507388909,-0.0741249316661,-0.89839097457,-0.185458284662,-0.465168832956,10.0
Y1050336,-0.87100344358,-0.0741249316661,1.04619078006,-0.900078629548,-0.465168832956,50.0
Y1050337,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,10.0
Y1050338,-0.87100344358,-0.0741249316661,-0.89839097457,-0.900078629548,-0.465168832956,10.0
