username,forum_num_days,stop_video_avg,qz_mean,video_pause_backward_seek_avg,seek_video_avg,num_incomplete,watched_time_hour,indicator,final_score
Y1050274,0.111601835969,-0.763604174149,-0.464899479833,-0.700187592021,-1.32948109654,-0.843534206672,0.786969584251,1.0,80.0
Y1050275,1.63273442268,-0.0783667497276,-0.964975661743,0.00491831709418,-0.505609178293,-0.651475936261,0.269538680781,0.0,20.0
Y1050276,-1.16770673072,0.248830336172,-0.856818025381,-0.0175413244596,-0.517131575585,1.02000265234,0.507382214627,0.0,40.0
Y1050277,-0.465387080103,0.250623649133,0.680478049197,1.0521405004,0.0037881924299,-0.538819610032,0.0805043608725,0.0,10.0
Y1050278,0.412339337078,-1.84135867375,1.6234966257,-1.02811455976,0.743700537743,0.54264112784,0.105384769124,0.0,54.0
Y1050279,2.00567587393,0.59224972421,-0.302597611843,1.9660841059,-0.5518064451,0.490540252315,0.559314004203,1.0,70.0
Y1050280,0.219271564819,-1.95081956291,3.35873548555,-0.132199747576,2.03486388264,1.98254485164,-0.954364872199,0.0,10.0
Y1050281,-0.213785498587,-0.0773054100891,0.420195233688,0.145619235747,0.474602726985,-0.296571697135,-0.791730508236,0.0,10.0
Y1050282,0.862752447317,-0.995824363723,0.920256111502,-0.231831410621,0.281678227811,0.357336134319,-0.81809909174,0.0,10.0
Y1050283,-0.958385082301,0.37137999192,-0.886223320744,-0.275808168449,0.422675420492,0.722329031208,0.0973798826046,0.0,20.0
Y1050284,0.166526424758,-0.366176371651,-0.942891196407,-0.632316591942,-0.331121162615,0.782725967107,0.83124308583,0.0,30.0
Y1050285,-2.94689560173,0.556620625414,0.190556078458,0.198585462623,0.299251809222,-0.00507436803671,-0.0841040334793,0.0,0.0
Y1050286,1.45764826077,-0.498135739148,0.508369042974,0.994653649035,-1.33344150439,0.1060939406,-0.410309036314,1.0,72.0
Y1050287,1.48947431165,-1.42836429098,0.752040881315,-0.4756128736,-0.447978346359,0.762775801898,-0.947506533127,0.0,50.0
Y1050288,-2.94689560173,0.556620625414,0.190556078458,0.198585462623,0.299251809222,-0.00507436803671,-0.0841040334793,0.0,0.0
Y1050289,5.03716098785,5.73746499559,3.88755609728,0.410269485163,-0.895326952964,1.72669736032,0.0834854992325,1.0,60.0
Y1050290,-2.94689560173,0.556620625414,0.190556078458,0.198585462623,0.299251809222,-0.00507436803671,-0.0841040334793,0.0,0.0
Y1050291,-0.490449963996,-0.950618246847,0.115187737857,-0.392224665476,-1.6052878243,0.691266117374,0.0828873304317,0.0,40.0
Y1050292,1.24370567755,0.0905822212779,-1.46880540044,-0.499235259522,0.255173279404,0.0390874703792,0.320775128522,0.0,50.0
Y1050293,1.40127515823,-2.16146316309,1.33915648715,-0.948861863303,-0.570563052386,0.0235799632794,0.421665027163,1.0,80.0
Y1050294,1.13788874228,-1.22438925511,1.35340453799,0.0858702149048,-0.0403709902414,-0.0612960710432,0.0368970298862,0.0,40.0
Y1050295,0.601457692846,0.347736459484,-1.48727666371,-0.277996610914,0.472943028343,1.15939350083,0.0797747053571,0.0,30.0
Y1050296,-2.3361399732,-0.0322494250238,0.0882859225943,-0.0402629435216,-0.841097623582,0.288374385642,0.0581847835489,0.0,20.0
Y1050297,-2.02182186162,0.207888273116,-0.000825619415257,-0.284524708601,0.519898214995,-0.729770662116,0.671217256902,0.0,10.0
Y1050298,0.394330613504,-0.363010159966,0.0165270471018,-0.0402967339327,-0.362521703965,-0.270289024381,-0.385017710808,0.0,10.0
Y1050299,-1.04583468795,0.557995952426,-0.337258485676,0.248101284599,0.164262309744,-0.767371806189,-0.334580634734,0.0,10.0
Y1050300,1.41185256647,-0.45836613165,0.60951115603,0.319752406677,-0.181788636947,-0.571347809078,-2.0472960577,0.0,10.0
Y1050301,0.105066138231,0.564428923962,0.17638051659,0.421971139533,1.34366724409,-1.9983461771,-0.306029307653,0.0,10.0
Y1050302,-0.0196585208943,0.64466634921,-0.866507105363,-0.282791088255,2.04305102993,-0.186641267891,0.497529594623,0.0,10.0
Y1050303,0.980157748879,-0.00191839704831,-0.535843301113,0.23224123804,-0.862790303456,-0.243521256805,-1.55432613129,0.0,20.0
Y1050304,0.234277557058,-0.0113424375361,-0.332273485267,-0.219851303051,1.14084905999,0.0397329541725,1.04962912623,0.0,10.0
Y1050305,1.96903085614,-0.595881228287,-0.851456858468,-0.763143909355,0.683971567065,0.489570269615,0.729574259156,0.0,20.0
Y1050306,-0.586731138503,1.1015710266,-1.11294321256,-0.0250678221549,0.998165392694,-1.11708405003,-1.37713258119,0.0,10.0
Y1050307,-1.09358334356,0.499112644126,-0.330206801631,-0.273412737872,1.2627426699,-0.651734724809,-0.388430180916,0.0,10.0
Y1050308,0.808792309395,1.74110007905,-0.485757988148,2.1964150498,1.30168424303,-0.353687397084,0.317416830431,0.0,10.0
Y1050309,-2.94689560173,0.556620625414,0.190556078458,0.198585462623,0.299251809222,-0.00507436803671,-0.0841040334793,0.0,0.0
Y1050310,0.122602695167,-0.519831216177,0.335160125163,-0.19346303859,0.221186150347,0.289234781894,-0.226598309352,0.0,10.0
Y1050311,2.10552674303,1.83078196484,-3.32407811821,0.594334139475,1.25394479266,2.7382383151,-0.946315413086,0.0,20.0
Y1050312,-0.362789903055,0.275593376751,-1.3765497094,-0.513964632153,-0.230941644843,0.242623980199,-0.14687270402,0.0,10.0
Y1050313,-0.674403547643,0.126457116518,-0.660627528506,-0.395544758485,-0.1983422896,-0.776261291335,-0.205543907432,0.0,30.0
Y1050314,1.40084636583,0.0157690885404,-0.478477284592,-0.19673899167,1.394868243,0.258551797097,-0.399817732973,0.0,30.0
Y1050315,2.28790535354,0.660739219252,-1.33747733376,0.717745577209,0.048623338752,-0.459131181408,-0.292309169413,0.0,20.0
Y1050316,0.0298705024831,-0.890276638098,1.36271380237,-0.313871967581,1.04545106659,-0.638446069336,-0.0159612785477,0.0,10.0
Y1050317,1.08238127485,0.58565695053,-1.64752907111,0.323138786896,0.0988661088264,1.26667824083,0.529711614406,0.0,55.0
Y1050318,2.00220859866,-0.440938547128,0.828165924001,1.0064721441,-0.233461430053,0.0517124262571,-1.04345678894,0.0,40.0
Y1050319,1.14837816749,-0.460090913058,-0.587736998263,-0.409829026473,-0.0412086406733,0.201152658074,0.379704292691,1.0,76.0
Y1050320,0.439136932393,-0.778323730845,0.0991158358668,-0.732416751457,-0.0322760337358,-0.424260417181,-0.434344521789,0.0,10.0
Y1050321,-1.02323248515,-0.410576747243,-0.341722654502,-0.57347403569,-0.8451370941,-0.333640118317,0.613145161235,0.0,20.0
Y1050322,2.78167405001,-1.10664429726,0.195903909835,0.0736519857131,-0.335612489402,0.521916672961,0.611837981115,1.0,99.0
Y1050323,2.22100261742,-0.823347947966,-0.134153788314,0.0619034966949,-1.11058805062,-0.698014504661,0.238942552379,1.0,88.0
Y1050324,2.07614470129,0.648060924787,-1.81835239703,0.430265006907,-0.291424721227,0.11151487555,-0.311221274175,0.0,30.0
Y1050325,1.75408459476,0.610006235714,-1.15701268803,0.253081548979,1.21495767381,0.123792691147,-0.353326404284,0.0,20.0
Y1050326,1.0575667279,-0.132680805092,0.719647799449,0.97399447258,0.135929663962,0.0402908071605,-0.571363070161,0.0,20.0
Y1050327,-2.94689560173,0.556620625414,0.190556078458,0.198585462623,0.299251809222,-0.00507436803671,-0.0841040334793,0.0,0.0
Y1050328,2.96390844804,1.27071177478,0.11406195021,3.51669772289,-0.898234576111,-0.817121729272,0.149439739817,1.0,71.0
Y1050329,-0.528308116512,0.560400959911,-0.98581401246,-0.185276037587,0.449792372618,-0.496621905143,-0.0822481508108,0.0,20.0
Y1050330,0.58838491757,-1.15061817874,0.712555405643,-0.897679596328,0.794072856739,-0.517680770123,0.508132664174,0.0,10.0
Y1050331,0.323468955946,-0.553831654749,-0.0907419453185,-0.993854742455,1.07227406831,-0.755168657165,0.313255490592,0.0,10.0
Y1050332,1.67014055343,-1.13582827999,1.12007118623,-0.241887845298,0.482872946204,-0.935441904556,-0.457785467949,0.0,40.0
