username,forum_num_days,problem_avg_count,video_backward_seek_avg,watched_time_hour,qz_mean,indicator,final_score
Y1050274,1.29899130229,-0.921261192712,-0.419833871623,0.508406642038,0.411118126405,1.0,80.0
Y1050275,-0.867518562624,0.171890929161,0.225795818295,0.215368125241,0.239849559912,0.0,20.0
Y1050276,-0.0548581078017,-0.793685587404,-1.2042961079,-1.50181051876,-0.422051243177,0.0,40.0
Y1050277,-1.09832702225,0.0536798642354,0.0741473392213,0.617279750514,0.0813977117655,0.0,10.0
Y1050278,1.03804781543,-0.684023653996,0.119060095824,0.893311902843,-0.516842006524,0.0,54.0
Y1050279,2.56045528397,3.74471808844,-3.21767980373,0.750949536119,-0.39022979496,1.0,70.0
Y1050280,-0.993906595501,-0.0335217168015,0.021862417334,0.350919653246,-0.421443609968,0.0,10.0
Y1050281,-1.30029743434,0.234223331979,0.236773743935,0.215295182644,-0.316519319421,0.0,10.0
Y1050282,-1.02383420209,0.0606934537246,-0.0648263150599,0.0207729077946,0.216677716035,0.0,10.0
Y1050283,-0.707616522343,-0.0103257069045,-0.0345563728567,0.398412929394,0.726039940716,0.0,20.0
Y1050284,-0.700289292643,-0.0420722353911,0.216442846119,0.92100680432,-0.0460747480158,0.0,30.0
Y1050285,-1.86178934548,0.33198091767,-0.0386929028769,-0.0605258683315,0.13896561103,0.0,0.0
Y1050286,0.407454985044,-0.423608796889,-0.503511588561,-0.218007982286,1.61927694134,1.0,72.0
Y1050287,1.21332055528,-0.309882416895,0.202608475773,0.229985678289,1.42866673594,0.0,50.0
Y1050288,-1.86178934548,0.33198091767,-0.0386929028769,-0.0605258683315,0.13896561103,0.0,0.0
Y1050289,4.00754790799,5.80258887767,-0.358453842104,-1.48433366985,1.58312790534,1.0,60.0
Y1050290,-1.86178934548,0.33198091767,-0.0386929028769,-0.0605258683315,0.13896561103,0.0,0.0
Y1050291,1.79900347746,-1.72705180796,-1.95150456292,-1.52135328357,0.338635915677,0.0,40.0
Y1050292,1.80819781193,-0.369916400289,0.604541651333,-0.406834667844,-0.437633373774,0.0,50.0
Y1050293,2.97491520455,-1.79039811321,-0.787891869083,0.775356756059,-0.216261593178,1.0,80.0
Y1050294,0.456224269055,-0.37183663379,0.114694010539,0.531114629477,0.0763899944613,0.0,40.0
Y1050295,2.11444064823,-1.13692651486,0.0941100541863,1.28535615982,-0.87498598746,0.0,30.0
Y1050296,0.415319087227,-0.464594878335,-0.144468919039,-0.625109524181,-0.920891182202,0.0,20.0
Y1050297,-1.76054472721,0.297218801901,-0.0628293397764,-0.00889014016958,0.287905186523,0.0,10.0
Y1050298,-0.51472337701,0.0250313374053,0.400288371783,0.546290703602,-0.49222987111,0.0,10.0
Y1050299,-1.65930010894,0.262456686131,-0.0869657766759,0.0427455879923,0.436844762017,0.0,10.0
Y1050300,-0.639483620295,0.0619822547064,0.134905686278,-0.368971397321,-0.372181608376,0.0,10.0
Y1050301,-1.30997662358,0.130142136198,0.0791203624508,0.211889672499,-0.358599885551,0.0,10.0
Y1050302,-1.53444941175,0.185107839893,-0.0109572394238,0.0923935694635,-0.166350768759,0.0,10.0
Y1050303,0.0374688113843,0.18748297502,0.826387671819,0.137326200216,-0.618842464407,0.0,20.0
Y1050304,-1.38726805618,0.11635711135,0.0295212942549,0.260036789546,-0.33400676636,0.0,10.0
Y1050305,-0.275351449129,-0.328450668213,-0.208205744582,0.19971364697,-0.0966821919507,0.0,20.0
Y1050306,-0.0639046457658,0.00776289831696,0.822967830008,1.04007331514,-1.02924934014,0.0,10.0
Y1050307,-1.30588051995,0.0484144670968,-0.137988623298,-0.100845391052,-0.307221128598,0.0,10.0
Y1050308,-0.0501620543871,0.803635239885,1.53523454036,-0.582190032539,-0.546522457848,0.0,10.0
Y1050309,-1.86178934548,0.33198091767,-0.0386929028769,-0.0605258683315,0.13896561103,0.0,0.0
Y1050310,-1.5908843964,0.259375835534,-0.020114926213,-0.167217022231,-0.0221339004021,0.0,10.0
Y1050311,0.701474351827,-0.501103809161,-0.12139045652,-0.293501971743,-0.24440081227,0.0,20.0
Y1050312,-1.55394550134,0.222578252797,-0.0445126869006,0.162576669051,0.321255977154,0.0,10.0
Y1050313,-0.680066466491,0.340441516986,0.554448413349,-0.016298450128,0.0376517463662,0.0,30.0
Y1050314,-0.591042223374,-0.395638697936,-0.613208444636,-0.641945198508,-0.414672440546,0.0,30.0
Y1050315,-0.0715549304829,0.291801435955,0.830729806079,0.0332606382154,-0.235912724929,0.0,20.0
Y1050316,0.303818647335,-0.785568004168,-0.707894517342,-0.727036405903,-0.97597998652,0.0,10.0
Y1050317,1.0552794691,-0.535384888116,-0.328258687846,-0.88293767748,0.544830321347,0.0,55.0
Y1050318,1.67985280817,0.380640001574,1.5669011562,-0.333878044062,0.326985203968,0.0,40.0
Y1050319,1.70790559932,-1.37311408823,-0.921864198244,0.472766002722,0.330222289272,1.0,76.0
Y1050320,-0.0700148544056,-0.423531084006,-0.27250341423,-0.32778966653,-0.705217879402,0.0,10.0
Y1050321,-1.05183239933,0.0538839915136,-0.231784398073,0.352559956964,1.33048221498,0.0,20.0
Y1050322,3.58915469182,4.09191564729,-1.94225208428,2.73837240043,0.862243610144,1.0,99.0
Y1050323,3.5953071342,-0.314903960719,1.58228210507,0.90537640786,0.912325393132,1.0,88.0
Y1050324,0.745403837889,1.03101152222,1.91226325071,-0.877078230454,0.739057282832,0.0,30.0
Y1050325,0.910572586393,-0.445840973571,0.142081545673,-0.334374496139,-0.688307648877,0.0,20.0
Y1050326,0.707567299815,-0.410003542651,0.0055432573283,-0.550690738048,-0.489078690065,0.0,20.0
Y1050327,-1.20300911263,-0.0575376955649,-0.407309697537,-0.645191462359,-0.256804998997,0.0,0.0
Y1050328,3.08633608741,-1.25277863728,-0.878191745098,-2.65614971953,0.141597805907,1.0,71.0
Y1050329,1.38999185793,-1.11767182542,-1.06548192313,-1.31076271679,-0.0374388903181,0.0,20.0
Y1050330,-0.0135311951383,-0.30943155237,0.53204390983,1.47199461763,-1.3344122134,0.0,10.0
Y1050331,0.196869909906,-0.00575168946077,0.938134879332,0.908768650763,-1.26932943304,0.0,10.0
Y1050332,2.4157167707,-0.631373319734,0.637892099438,-0.0756001300211,-0.773371578989,0.0,40.0
Y1050333,-1.39710970859,0.0544597312882,-0.237134766505,-0.193142365025,-0.104019645244,0.0,10.0
Y1050334,-1.26432457382,0.147683160246,0.0622617242367,0.305358961908,0.0747023944074,0.0,20.0
Y1050335,-0.752655063722,-0.0157193410913,0.0949466438777,0.214319545547,-0.274393651218,0.0,10.0
Y1050336,1.23773033673,-1.05482265326,-0.848106702244,0.12305194507,0.857316458797,0.0,50.0
Y1050337,0.189825558281,-0.589350808805,-0.583006313416,-1.01489079554,-0.732659574236,0.0,10.0
Y1050338,-1.0835410866,0.0580880374744,-0.0228904379887,0.116823406459,-0.0175361542675,0.0,10.0
Y1050339,-1.1788123481,0.0993973042787,-0.0668858677105,0.121046575619,0.29596300211,0.0,20.0
Y1050340,0.760231263054,-0.285644214498,0.782877115761,0.665218759859,-1.65833587788,0.0,10.0
Y1050341,-0.080387884267,-0.394123864275,-0.393255999727,-0.277638930924,0.138653068405,0.0,20.0
Y1050342,-0.0276655868783,-0.312868845056,-0.150774024563,0.780448837433,1.03269159695,0.0,50.0
Y1050343,-1.86178934548,0.33198091767,-0.0386929028769,-0.0605258683315,0.13896561103,0.0,0.0
Y1050344,1.49460771625,-0.99126515475,0.00246614616962,1.62266681233,-0.303749649597,0.0,40.0
Y1050345,-1.58421332938,0.203565307112,-0.160782933615,-0.0572942971622,0.394778225415,0.0,10.0
Y1050346,-0.5633622527,-0.0131371918545,0.104318298434,0.426517714609,0.392396828393,0.0,50.0
Y1050347,0.108017794857,-0.4221041495,-0.291087521146,0.0536549424933,0.277284479628,0.0,20.0
