username,incomplete_rate,forum_num_days,qz_mean,watched_time_hour,video_stop_backward_seek_sum,indicator,predict_score,real_score
Y1050274,0.299381690447,0.38485420823,-0.400730158897,-0.567067147199,0.0631482318331,1.0,61.5436720696,80.0
Y1050275,-1.58895556984,0.0988385432337,0.192742422708,0.111011038053,-0.117258165175,0.0,7.89416958193,20.0
Y1050276,-0.687270832123,0.263454150834,-0.00222780436819,-0.382620818822,-0.0624857276346,0.0,21.6106790598,40.0
Y1050277,0.30824033796,-0.0843995796898,-1.07516204382,1.1847178434,-0.395402291534,0.0,11.9656192145,10.0
Y1050278,1.59530643593,0.0953197448419,-1.45460073865,0.716210023241,-0.344111558169,0.0,28.8590953105,54.0
Y1050279,1.09554841937,-0.182510846154,0.371270768382,-0.842464679215,-0.266884218682,1.0,68.5271054427,70.0
Y1050280,-0.982610711796,0.179605661412,-0.213842406261,0.204629921741,0.172928483996,0.0,13.7839785208,10.0
Y1050281,-1.58895556984,0.0988385432337,0.192742422708,0.111011038053,-0.117258165175,0.0,7.89416958193,10.0
Y1050282,-1.23966936191,0.105632263485,-0.213100111472,0.468120129301,0.150633631975,0.0,8.51370305622,10.0
Y1050283,0.278544333,-0.232773669491,0.284070449871,-0.217712082309,0.271706314888,0.0,28.6773472853,20.0
Y1050284,1.17462597369,0.114891630086,-1.6752286834,1.1929201348,0.269673458516,0.0,22.9882277065,30.0
Y1050285,-1.58895556984,0.0988385432337,0.192742422708,0.111011038053,-0.117258165175,0.0,7.89416958193,0.0
Y1050286,-0.524337240173,0.4990753543,0.00230490449717,-0.896887793577,0.456829184747,1.0,59.6647164572,72.0
Y1050287,0.551319998786,0.048592146569,0.271142183491,-0.846948369921,0.859652078975,0.0,40.8644810823,50.0
Y1050288,-1.58895556984,0.0988385432337,0.192742422708,0.111011038053,-0.117258165175,0.0,7.89416958193,0.0
Y1050289,0.896456897238,0.917387215547,-0.649401687012,-1.4967824439,1.39185936741,1.0,83.5916207606,60.0
Y1050290,-1.58895556984,0.0988385432337,0.192742422708,0.111011038053,-0.117258165175,0.0,7.89416958193,0.0
Y1050291,0.398388200669,0.497527185127,-0.395536502638,-0.827820422418,0.293121713089,0.0,37.9599400707,40.0
Y1050292,2.57607946526,0.229016050434,-2.19474538269,0.973389788182,0.233683603995,0.0,37.7843874627,50.0
Y1050293,2.16860771118,-0.281132647104,0.519827805796,-1.41188244806,-1.46156547612,1.0,78.3672943476,80.0
Y1050294,-0.626110473949,0.342608357604,0.186399369816,-0.811027793866,-0.119648756746,0.0,26.5046371444,40.0
Y1050295,2.78556721375,0.143520942207,-1.1700835051,-0.361228443547,-1.38773263899,0.0,45.9968319533,30.0
Y1050296,0.195048237089,0.179371276249,-0.892391111016,0.52000283076,0.176050763901,0.0,20.9827034231,20.0
Y1050297,-1.58895556984,0.0988385432337,0.192742422708,0.111011038053,-0.117258165175,0.0,7.89416958193,10.0
Y1050298,-0.819940997459,-0.0855242529359,0.147129752263,0.113165533909,-1.09676888627,0.0,9.89774733763,10.0
Y1050299,-1.58895556984,0.0988385432337,0.192742422708,0.111011038053,-0.117258165175,0.0,7.89416958193,10.0
Y1050300,-0.145643961393,-0.0208514307966,-0.855678103514,1.00538096617,-0.173672558388,0.0,10.9283221192,10.0
Y1050301,-1.58895556984,0.0988385432337,0.192742422708,0.111011038053,-0.117258165175,0.0,7.89416958193,10.0
Y1050302,-1.58895556984,0.0988385432337,0.192742422708,0.111011038053,-0.117258165175,0.0,7.89416958193,10.0
Y1050303,1.25212842183,-1.34196110275,0.508445859461,1.13264301109,-0.984769022856,0.0,15.064703393,20.0
Y1050304,-1.58895556984,0.0988385432337,0.192742422708,0.111011038053,-0.117258165175,0.0,7.89416958193,10.0
Y1050305,-0.155604816395,0.27527191286,-0.626263005103,0.166761821872,0.356912379424,0.0,22.5489636195,20.0
Y1050306,0.525096375939,0.036835061731,-0.937892374086,0.670299633989,-0.384637545097,0.0,19.5282513641,10.0
Y1050307,-1.58895556984,0.0988385432337,0.192742422708,0.111011038053,-0.117258165175,0.0,7.89416958193,10.0
Y1050308,0.820201226704,-1.1142541571,0.00589301682252,1.6198404804,0.542920239151,0.0,13.5409798266,10.0
