username,video_stop_backward_seek_avg,watched_time_hour,qz_mean,hw_mean,indicator,predict_score,real_score
Y1050274,2.21493165246,-1.64690943399,0.857254881851,-0.639945983488,1.0,75.7433904361,80.0
Y1050275,-1.29943342112,0.0329669411608,0.309946549104,-0.165771714966,0.0,9.14084631843,20.0
Y1050276,0.810441251423,-0.926078297024,1.10109114928,-1.88953139658,0.0,36.6729734969,40.0
Y1050277,0.367130816776,0.0048643905233,-1.7896168641,-0.00487513597898,0.0,24.2586425915,10.0
Y1050278,2.30950732395,-1.25137839736,-0.17187503505,-1.16781836043,0.0,59.4170873968,54.0
Y1050279,2.96625433627,0.404419120037,0.846594670455,-0.810281856024,1.0,67.6693725626,70.0
Y1050280,-0.368977006446,0.0551223379599,-0.944152884463,-0.138608738705,0.0,16.4815417014,10.0
Y1050281,-1.29943342112,0.0329669411608,0.309946549104,-0.165771714966,0.0,9.14084631843,10.0
Y1050282,-1.29943342112,0.0329669411608,0.309946549104,-0.165771714966,0.0,9.14084631843,10.0
Y1050283,-0.290699643719,-0.628629979279,0.43399514207,0.998968324801,0.0,37.0214721251,20.0
Y1050284,-0.858083536102,-0.231361424237,0.309820855905,0.30220808079,0.0,20.6089320578,30.0
Y1050285,-1.29943342112,0.0329669411608,0.309946549104,-0.165771714966,0.0,9.14084631843,0.0
Y1050286,1.60518561982,-0.937405029515,1.34466565343,0.870528320164,1.0,74.3783085561,72.0
Y1050287,0.656403057066,-0.812918461391,-0.394944632743,1.36911800126,0.0,50.5037805754,50.0
Y1050288,-1.29943342112,0.0329669411608,0.309946549104,-0.165771714966,0.0,9.14084631843,0.0
Y1050289,0.954386964884,-0.204954135921,0.863671734375,2.08170081254,1.0,66.0994654489,60.0
Y1050290,-1.29943342112,0.0329669411608,0.309946549104,-0.165771714966,0.0,9.14084631843,0.0
Y1050291,-0.0761281992482,-0.55814129885,0.00330960582799,0.896972418556,0.0,36.8145301039,40.0
Y1050292,0.98352256399,-0.20824415074,-2.12748845202,0.390302906228,0.0,35.7404801548,50.0
Y1050293,3.30433347181,-0.530987831052,-0.540636223984,-0.794648202109,1.0,74.2909723047,80.0
Y1050294,1.78822606199,1.74537944922,-0.419865224316,1.21499511688,0.0,43.4315925316,40.0
