evaluation_num,pmse,r_square,adj_r_square
1,524.7556333619294,-1.0181926613852212,-1.053599550181453
2,493.86814078439596,-0.8994003952608969,-0.9327232092128424
3,550.8427443398662,-1.1185228200061221,-1.1556898870237733
4,427.4973117045367,-0.6441404005832625,-0.6729849690145477
5,438.9169226922469,-0.6880598435125678,-0.7176749284864725
6,527.7930517503266,-1.0298744711863788,-1.0654863040142097
7,687.0094373499977,-1.6422153791455525,-1.6885700349200357
8,671.9566355009284,-1.5843228053575462,-1.6296618019427664
9,525.9182482474109,-1.022664039452882,-1.0581493734783711
10,408.2101542496262,-0.5699626363826173,-0.5975058405296807
11,633.9273493390697,-1.4380634393401333,-1.4808364821355742
12,585.4101806885093,-1.251468027120488,-1.2909674661927775
13,659.7415185897206,-1.5373438731825413,-1.5818586779752177
14,526.8108851449446,-1.0260970911846798,-1.0616426541879198
15,526.6663292977289,-1.0255411342183076,-1.0610769435905585
16,591.9246540382143,-1.2765224743170491,-1.3164614650945414
17,423.1832113224295,-0.6275485144211896,-0.6561019971303332
18,553.0397237129642,-1.1269723293893654,-1.1642876334137404
19,545.9217257215718,-1.0995967465529342,-1.1364317771942138
20,462.8848732141555,-0.7802397817094349,-0.81147205858153
21,623.0803598962553,-1.3963462797712873,-1.4383874425742924
22,532.6461093160608,-1.048539168698429,-1.084478452359805
23,579.7074275309819,-1.2295354287061042,-1.268650085350071
24,402.4486026263437,-0.5478039010303077,-0.574958355434348
25,590.9632816268918,-1.2728250680920623,-1.3126991920936777
26,628.2066436183427,-1.4160617959665358,-1.4584488450185802
27,919.9395275010413,-2.538056735905992,-2.60012790671136
28,540.7865350698978,-1.0798469746036083,-1.1163355180177068
29,422.63122058935966,-0.6254255764748213,-0.6539418146585902
30,715.0848693244722,-1.7501925539937626,-1.7984415461690921
31,515.9926435197857,-0.9844904947635815,-1.019306117478732
32,536.3335201802877,-1.0627208278795166,-1.0989089125791573
33,509.8172954464634,-0.9607403120676248,-0.9951392649109163
34,604.3746540208015,-1.324404758949472,-1.3651837898082348
35,637.9472795115488,-1.4535239566887546,-1.4965682366306625
36,657.021850153975,-1.5268841190999454,-1.571215419435032
37,838.4735595010663,-2.224741340477362,-2.2813157499594214
38,581.6179243733851,-1.2368831358326293,-1.2761266996191667
39,463.99494295837616,-0.7845090729165793,-0.8158162496344139
40,454.3971439213135,-0.7475962579784114,-0.7782558414517171
41,629.0532958744448,-1.4193179923013202,-1.461762167604852
42,426.75831854545373,-0.6412982575443773,-0.6700929638170856
43,735.1834589835481,-1.8274910593842977,-1.8770961656892857
44,675.4340195435551,-1.5976967083887246,-1.6432703348516848
45,652.1949839991664,-1.5083201528806351,-1.5523257695978394
46,444.6173872092718,-0.7099836398919228,-0.7399833528724828
47,536.6111172194069,-1.063788456832032,-1.0999952718641728
48,530.995135210836,-1.042189577362067,-1.078017464684209
49,722.2255320404472,-1.7776553046049006,-1.8263860994225305
50,630.957178190363,-1.4266402601796275,-1.4692128963231297
51,584.7121015221599,-1.248783237932869,-1.288235575440463
52,611.7975622947832,-1.3529530165617043,-1.3942328940452429
53,638.470833347185,-1.4555375272761752,-1.4986171330178628
54,502.07695597807,-0.930971224670391,-0.9648479128225029
55,534.7826641113423,-1.0567562871710008,-1.0928397308055797
56,553.8736830401753,-1.1301797091430386,-1.1675512829876533
57,627.533603462978,-1.413473305979926,-1.4558149429269425
58,485.97556693206855,-0.8690458195012076,-0.9018360970363166
59,767.529513384202,-1.951892905626397,-2.0036805004619476
60,492.35814753227373,-0.8935930115828024,-0.926813941610571
61,394.76357695189637,-0.5182475486394607,-0.5448834705454162
62,656.3350518604204,-1.5242427157727931,-1.5685276756986317
63,435.0357418812653,-0.6731329515799382,-0.7024861612567794
64,682.2641219196142,-1.6239650542920554,-1.669999528928758
65,478.29683868951906,-0.839513686823375,-0.8717858567676446
66,651.1797386975338,-1.5044155533165795,-1.5483526682870457
67,506.29526885424406,-0.9471947152798754,-0.9813560260742593
68,539.8067572352471,-1.0760787817344588,-1.1125012165017298
69,497.93853257041746,-0.9150549862919299,-0.9486524421917883
70,633.7363104337674,-1.4373287100829168,-1.4800888628913889
71,501.8130142838725,-0.9299561137189374,-0.963814992906989
72,641.7705901639873,-1.46822828192203,-1.511530532482066
73,478.3497950049924,-0.839717355046196,-0.8719930981171817
74,503.00309425177375,-0.9345331215774182,-0.9684722991489518
75,637.264161407562,-1.4508967072479182,-1.493894895094373
76,478.44636780874737,-0.8400887708280129,-0.8723710299653464
77,582.7624452148807,-1.2412849248106919,-1.2806057129652655
78,514.9277407767715,-0.9803949143364188,-1.0151386847633734
79,518.8406459333696,-0.9954438170440463,-1.0304516033079771
80,484.4637143077904,-0.8632312847398269,-0.8959195528931572
81,590.9601517104762,-1.2728130305379342,-1.3126869433543895
82,492.21850341356514,-0.8930559449604252,-0.9262674527667485
83,441.8639035903414,-0.6993938337427881,-0.7292077606505563
84,606.2871379673788,-1.3317601084123667,-1.3726681804897765
85,791.3625689952556,-2.043554042495869,-2.096949727451937
86,637.3773242565447,-1.451331927790278,-1.4943377510848443
87,612.4414568268049,-1.355429413453162,-1.3967527364961998
88,418.80004112079274,-0.6106909880371998,-0.6389487246694314
89,671.5709465561563,-1.5828394585415646,-1.628152431498434
90,514.7422087250469,-0.9796813642543689,-1.0144126162588316
91,440.52291281827877,-0.6942364279655053,-0.7239598740701634
92,480.97847537877374,-0.8498271720776107,-0.8822802803596741
93,703.1926993802666,-1.7044556650811522,-1.7519022556966113
94,585.0129666134527,-1.249940355037881,-1.289412992845563
95,509.54068401812134,-0.9596764737412806,-0.9940567627542856
96,497.26704020349285,-0.9124724490480303,-0.9460245972769432
97,366.6066144525576,-0.4099568101122759,-0.4346928945002104
98,425.74902011933375,-0.6374165294651712,-0.666143135245262
99,581.3500450523885,-1.2358528808998552,-1.275078370038449
100,563.8551289940772,-1.1685680173258768,-1.2066130702614184
